az_center_grid,el_center_grid,score_grid,score_grid_norm,truth_center_az,truth_center_el,fixed_est_center_az,fixed_est_center_el,c05_est_center_az,c05_est_center_el
-0.806,9.511,87812.3384227202,0.291610073909799,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.571,89240.4083953115,0.299464286236582,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.631,90437.4047437359,0.30604762154602,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.691,91446.9263104498,0.311599868204529,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.751,92304.3928715948,0.31631583070189,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.811,93035.9004739635,0.320339034142849,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.871,93657.7936489114,0.323759371475308,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.931,94176.9097506447,0.326614447321393,0,10.31,0.02,10.36,-0.012,10.312
-0.806,9.991,94591.5137876696,0.32889471943749,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.051,94892.9568130766,0.330552619660459,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.111,95068.035648459,0.331515532104114,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.171,95101.906306931,0.331701816633859,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.231,94981.2397271025,0.331038165022307,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.291,94697.1692872516,0.329475811921147,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.351,94247.5380649146,0.327002894517403,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.411,93638.055480262,0.323650813932268,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.471,92882.2032299996,0.319493717868925,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.531,92000.0128839396,0.314641777541365,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.591,91016.0703881381,0.309230212682715,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.651,89957.21106192,0.303406614307335,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.711,88850.3375739489,0.297318943842816,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.771,87720.6636201726,0.29110587357085,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.831,86590.5225687322,0.28489023431816,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.891,85478.7386797245,0.278775557241156,0,10.31,0.02,10.36,-0.012,10.312
-0.806,10.951,84400.4671589509,0.272845194140872,0,10.31,0.02,10.36,-0.012,10.312
-0.806,11.011,83367.3705746031,0.26716328773343,0,10.31,0.02,10.36,-0.012,10.312
-0.806,11.071,82387.9998533626,0.261776867082558,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.511,87032.9058681664,0.287323289021547,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.571,88714.2392424913,0.296570419461585,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.631,90173.4748473948,0.304596039001022,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.691,91453.1106904414,0.311633881547359,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.751,92587.6938479199,0.317873951846616,0,10.31,0.02,10.36,-0.012,10.312
-0.766,9.811,93602.4113048055,0.323454775273363,0,10.31,0.02,10.36,-0.012,10.312
