metric,value,unit,pass_flag,phase_factor
active_phase_factor,1,dimensionless,1,1
stable_rank_scale_invariant_flag,1,boolean,1,1
nonorthogonal_whitening_error,1.34784401722873e-14,relative,1,1
rank_deficient_whitening_error,8.30585541168641e-16,relative,1,1
general_psd_whitening_error,2.19841301351956e-14,relative,1,1
rank_deficient_whitener_output_rows,4,rows,1,1
well_conditioned_svd_pinv_max_relative_error,1.6805786491218e-15,relative,1,1
well_conditioned_svd_qr_max_relative_error,7.2024799248077e-16,relative,1,1
manifold_scale_score_relative_spread,5.9372429940126e-16,relative,1,1
stress_nonfinite_count,0,count,1,1
duplicate_manifold_effective_rank,1,rank,1,1
B_less_K_rank_deficient_flag,1,boolean,1,1
concentrated_sigma2_mle_max_relative_error,0,relative,1,1
concentrated_duplicate_rank_deficient_flag,1,boolean,1,1
common_source_violation_count,0,count,1,1
rss_material_negative_count,0,count,1,1
rss_roundoff_clipped_count,0,count,1,1
svd_score_calls,18,count,1,1
qr_score_calls,10,count,1,1
pinv_reference_calls,16,count,1,1
legacy_ridge_comparison_calls,6,count,1,1
legacy_fast_comparison_calls,6,count,1,1
multi_start_runs,0,count,1,1
validation_runtime_sec,0.7634598,second,1,1
overall_pass_flag,1,boolean,1,1
