case_name,matrix_rows,requested_K,num_snapshots,manifold_scale,column_delta,effective_rank,rank_threshold,svd_score,qr_score,pinv_score,svd_pinv_relative_error,svd_qr_relative_error,rss,rss_raw,rss_clipped_flag,status,finite_flag,pass_flag,phase_factor
random_full_rank,6,2,7,1,NaN,2,1.58566096947734e-15,14.959441959775,14.959441959775,14.959441959775,2.37489719760504e-16,1.18744859880252e-16,24.1352365456896,24.1352365456896,0,OK,1,1,1
scale_1e-8,6,2,7,1e-08,NaN,2,1.58566096947734e-23,14.959441959775,14.959441959775,14.959441959775,2.37489719760504e-16,1.18744859880252e-16,24.1352365456896,24.1352365456896,0,OK,1,1,1
scale_1,6,2,7,1,NaN,2,1.58566096947734e-15,14.959441959775,14.959441959775,14.959441959775,2.37489719760504e-16,1.18744859880252e-16,24.1352365456896,24.1352365456896,0,OK,1,1,1
scale_1e8,6,2,7,100000000,NaN,2,1.58566096947734e-07,14.959441959775,14.959441959775,14.959441959775,0,4.74979439521008e-16,24.1352365456896,24.1352365456896,0,OK,1,1,1
near_delta_1e-2,6,2,7,1,0.01,2,1.88413450224899e-15,7.3989383848828,7.3989383848828,7.39893838488279,1.6805786491218e-15,7.2024799248077e-16,31.6957401205819,31.6957401205819,0,OK,1,1,1
near_delta_1e-6,6,2,7,1,1e-06,2,1.88411095042077e-15,7.39893838491069,7.39893838594703,7.3989383850717,2.17612127202622e-11,1.40066146931879e-10,31.695740120554,31.695740120554,0,OK,1,1,1
near_delta_1e-10,6,2,7,1,1e-10,2,1.88411095042053e-15,7.39894045048227,7.39894045048227,7.3989510455499,1.43196887808249e-06,0,31.6957380549824,31.6957380549824,0,OK,1,1,1
near_delta_1e-14,6,2,7,1,1e-14,2,1.88411095042053e-15,7.37374532413916,7.34784461280486,7.47559089217716,0.0136237482102684,0.0035125584347907,31.7209331813255,31.7209331813255,0,OK,1,1,1
exact_duplicate,6,2,7,1,0,1,1.88411095042053e-15,3.05912160777085,3.05912160777085,3.05912160777085,5.80675457584918e-16,5.80675457584919e-16,36.0355568976938,36.0355568976938,0,RANK_DEFICIENT,1,1,1
B_less_K,2,3,7,1,NaN,2,1.35597142064868e-15,10.6616052941161,10.6616052941161,10.6616052941161,0,0,0,0,0,RANK_DEFICIENT,1,1,1
