scenario,fixture_kind,K,oracle_Q,B_e,Nphi,L,Nphi_gt_Q_flag,whitening_effective_rank,rank_Ge,singular_values_Ge,sigma_min_Ge,sigma_ratio_Ge,rank_threshold_Ge,rank_Ce_truth,singular_values_Ce_truth,sigma_min_Ce_truth,sigma_ratio_Ce_truth,rank_threshold_Ce,rank_Ce_from_data,local_alias_min_chordal_distance,local_alias_tolerance,local_alias_candidates_checked,local_alias_flag,truth_model_relative_residual,truth_dml_rss_relative,status,data_status,expected_status,high_confidence_group_flag,pass_flag,phase_factor
k1_q1_l1_noiseless,physical_factor1_sequential_elevation_dbf,1,1,9,65,1,1,9,1,5.65685424949,5.65685424949238,1,1.13046657025232e-14,1,8.0622577483,8.06225774829855,1,1.16361754374107e-13,1,0.0564596036271282,1.99840144432528e-15,20,0,9.78243817287002e-15,0,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k1_q1_l4_white_noise,physical_factor1_sequential_elevation_dbf,1,1,9,65,4,1,9,1,5.65685372286,5.65685372285556,1,1.13046646500914e-14,1,16.1647765218,16.1647765218082,1,9.33218368286441e-13,1,0.0564065924115823,1.99840144432528e-15,20,0,8.9474095256779e-15,0,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_distinct_elevation_l1,physical_factor1_sequential_elevation_dbf,2,2,9,65,1,1,9,2,7.05980430888 3.76285790707,3.76285790706514,0.532997480161149,1.41083231275244e-14,2,9.0109998763 5.04002789966,5.04002789966177,0.559319494934089,1.30054853988277e-13,2,0.0529565794297498,3.99680288865056e-15,104,0,8.82682037438474e-15,4.08649748255979e-16,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q1_common_elevation_l3,physical_factor1_sequential_elevation_dbf,2,1,9,65,3,1,9,1,5.65685424949,5.65685424949238,1,1.13046657025232e-14,1,18.1720467461,18.1720467461398,1,7.86825963383034e-13,1,0.0564596036271282,1.99840144432528e-15,20,0,9.28631762629166e-15,1.20495420092249e-15,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_extremely_close_l1,physical_factor1_sequential_elevation_dbf,2,2,9,65,1,1,9,2,7.9992019811 0.112993247494,0.112993247493577,0.0141255649951821,1.59856167924742e-14,2,8.1587862511 6.32725903602,6.32725903601639,0.775514744630407,1.17754940536572e-13,2,2.1073424255447e-08,3.99680288865056e-15,21,0,8.94583275449471e-15,0,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_weak_secondary_l4,physical_factor1_sequential_elevation_dbf,2,2,9,65,4,1,9,2,7.06086711587 3.76086535197,3.76086535196592,0.532635056041607,1.41104470425516e-14,2,16.1247533159 0.475742053101,0.475742053101439,0.0295038344947621,9.30907764681583e-13,2,0.0528832509770215,3.99680288865056e-15,104,0,8.40304899073359e-15,0,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_coherent_sources_l4,physical_factor1_sequential_elevation_dbf,2,2,9,65,4,1,9,2,7.06086711587 3.76086535197,3.76086535196592,0.532635056041607,1.41104470425516e-14,2,16.779271305 10.3823433999,10.3823433998823,0.61876008863306,9.68694133640861e-13,2,0.0528832509770215,3.99680288865056e-15,104,0,8.97593859551384e-15,2.3355349869122e-15,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_reduced_aperture_l1,physical_factor1_sequential_elevation_dbf,2,2,9,9,1,1,9,2,7.06086711587 3.76086535197,3.76086535196592,0.532635056041607,1.41104470425516e-14,2,3.82261217933 0.384234468067,0.384234468067301,0.100516204637536,7.63911370026508e-15,2,0.0528832509770215,3.99680288865056e-15,104,0,8.46708007082434e-15,3.68604751092253e-16,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
k2_q2_correlated_noise_l4,physical_factor1_sequential_elevation_dbf,2,2,9,65,4,1,9,2,5.50777623863 2.98086053734,2.98086053733781,0.541209447913235,1.10067479902958e-14,2,16.4895740071 12.2782917812,12.2782917812304,0.744609398396742,9.5196944590388e-13,2,0.0551461739090035,3.99680288865056e-15,104,0,1.03674981796299e-14,0,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,GROUP_IDENTIFIABLE,1,1,1
structural_rank_ce_deficient_l1,explicit_mmv_structural_counterexample,2,2,9,8,1,1,9,2,7.32778091987 3.20991950276,3.20991950275809,0.438047962658883,1.46438479739602e-14,1,4 3.92523114671e-16,3.92523114670944e-16,9.81307786677359e-17,7.105427357601e-15,1,0.0781661536676182,3.99680288865056e-15,14,0,0,0,GROUP_UNIDENTIFIABLE,GROUP_UNIDENTIFIABLE,GROUP_UNIDENTIFIABLE,0,1,1
