metric,value,unit,status,pass_flag,phase_factor
active_phase_factor,1,dimensionless,PASS,1,1
public_interface_gate_count,4,count,PASS,1,1
physical_scenario_count,9,count,PASS,1,1
structural_counterexample_count,1,count,PASS,1,1
identifiable_scenario_pass_count,9,count,PASS,1,1
rank_Ce_deficient_rejection_flag,1,boolean,PASS,1,1
rank_Ce_deficient_high_confidence_count,0,count,PASS,1,1
rank_Ce_counterexample_Nphi_gt_Q_flag,1,boolean,PASS,1,1
common_elevation_group_sum_relative_error,3.89116356050091e-15,relative,PASS,1,1
max_identifiable_truth_residual,1.03674981796299e-14,relative,PASS,1,1
extremely_close_max_abs_error_deg,1.77635683940025e-15,degree,PASS,1,1
extremely_close_sigma_ratio_Ge,0.0141255649951821,ratio,PASS,1,1
correlated_noise_max_abs_error_deg,0,degree,PASS,1,1
max_group_recovery_relative_fro_error,0.00104180667050236,relative,PASS,1,1
max_group_recovery_subspace_chordal_distance,0.00103763818778524,chordal,PASS,1,1
max_group_recovery_offdiagonal_crosstalk,3.48701974525243e-14,absolute_mixing,PASS,1,1
local_alias_violation_count,0,count,PASS,1,1
main_estimator_pass_count,10,count,PASS,1,1
vertical_element_baseline_pass_count,10,count,PASS,1,1
beam_peak_baseline_pass_count,3,count,PASS,1,1
main_search_is_local_full_reference_flag,1,boolean,PASS,1,1
ap_dml_exact_reproduction_available_flag,0,boolean,DOCUMENTED_GAP,1,1
pr_dml_exact_reproduction_available_flag,0,boolean,DOCUMENTED_GAP,1,1
score_calls,1228,count,PASS,1,1
svd_calls,3877,count,PASS,1,1
multi_start_runs,0,count,PASS,1,1
max_primary_input_bytes,37440,byte,PASS,1,1
max_candidate_manifold_bytes,30240,byte,PASS,1,1
peak_process_memory_profiled_flag,0,boolean,NOT_PROFILED,1,1
code_analyzer_message_count,0,count,PASS,1,1
scope_source_violation_count,0,count,PASS,1,1
validation_runtime_sec,2.6076184,second,PASS,1,1
overall_pass_flag,1,boolean,PASS,1,1
