scenario,fixture_kind,method,search_reference,K,oracle_Q,Nphi,L,aperture_columns,noise_model,observation_regime,coefficient_rank_evidence_kind,row_whitening_rank,column_whitening_rank,column_whitening_applied,column_covariance_model,Z_score_column_count,Z_recovery_column_count,row_whitening_error,column_whitening_error,truth_on_registered_grid_flag,search_domain_source,truth_eta_deg,eta_hat_deg,max_abs_error_deg,score,rss,rank_Ge,rank_Ce_hat_diagnostic,rank_Z_score_diagnostic,rank_Z_recovery_diagnostic,num_score_eval,num_svd,num_multi_start,runtime_sec,estimate_status,support_status,upstream_group_support_status,expected_upstream_group_support_status,method_status_scope,method_certification_status,expected_support_status,statistical_calibration_status,registered_model_certified_flag,structural_gate_pass_flag,estimate_returned_flag,expected_estimate_status,pass_flag,phase_factor
k1_q1_l1_noiseless,physical_factor1_separable_matrix_normal_mmv,grouped_svd_dml,registered_local_full_reference,1,1,65,1,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,65,65,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,10,10,0,2080,0,1,1,1,1,21,48,0,0.0350476,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
k1_q1_l1_noiseless,physical_factor1_separable_matrix_normal_mmv,vertical_element_domain_dml,registered_local_full_reference,1,1,65,1,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,32,65,0,identity,65,65,0,0,1,pre_registered_local_fixture_grid,10,10,0,2080,0,1,1,1,1,21,48,0,0.0180344,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_REGISTERED_REFERENCE,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
k1_q1_l1_noiseless,physical_factor1_separable_matrix_normal_mmv,elevation_beam_peak,single_peak_q1_only,1,1,65,1,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,65,65,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,10,10,0,2080,1120.58655286115,NaN,NaN,NaN,NaN,9,0,0,0.0007899,ESTIMATE_RETURNED,NOT_APPLICABLE_BASELINE,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,UPSTREAM_FIXTURE_ONLY,NOT_APPLICABLE_BASELINE,NOT_APPLICABLE_BASELINE,NOT_CALIBRATED_STAGE4,0,0,1,ESTIMATE_RETURNED,1,1
k1_q1_l4_white_noise,physical_factor1_separable_matrix_normal_mmv,grouped_svd_dml,registered_local_full_reference,1,1,65,4,65,white,NOISY_UNCALIBRATED,NOISY_DIAGNOSTIC_ONLY,9,65,0,identity,260,260,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,10.3,10.3,0,8362.26855940604,0.0524857831460395,1,1,9,9,21,48,0,0.0223348,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_CALIBRATED_STAGE4,0,1,1,ESTIMATE_RETURNED,1,1
k1_q1_l4_white_noise,physical_factor1_separable_matrix_normal_mmv,vertical_element_domain_dml,registered_local_full_reference,1,1,65,4,65,white,NOISY_UNCALIBRATED,NOISY_DIAGNOSTIC_ONLY,32,65,0,identity,260,260,0,0,1,pre_registered_local_fixture_grid,10.3,10.3,0,8362.27036530427,0.202126157419116,1,1,32,32,21,48,0,0.0340153,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,METHOD_REGISTERED_REFERENCE,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_CALIBRATED_STAGE4,0,1,1,ESTIMATE_RETURNED,1,1
k1_q1_l4_white_noise,physical_factor1_separable_matrix_normal_mmv,elevation_beam_peak,single_peak_q1_only,1,1,65,4,65,white,NOISY_UNCALIBRATED,NOISY_DIAGNOSTIC_ONLY,9,65,0,identity,260,260,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,10.3,10,0.300000000000001,8124.96068344936,4760.81226264349,NaN,NaN,NaN,NaN,9,0,0,0.0005502,ESTIMATE_RETURNED,NOT_APPLICABLE_BASELINE,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,UPSTREAM_FIXTURE_ONLY,NOT_APPLICABLE_BASELINE,NOT_APPLICABLE_BASELINE,NOT_CALIBRATED_STAGE4,0,0,1,ESTIMATE_RETURNED,1,1
k2_q2_distinct_elevation_l1,physical_factor1_separable_matrix_normal_mmv,grouped_svd_dml,registered_local_full_reference,2,2,65,1,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,65,65,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,9.2 11,9.2 11,0,3338.41402932867,1.36424205265939e-12,2,2,2,2,105,216,0,0.0395435,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
k2_q2_distinct_elevation_l1,physical_factor1_separable_matrix_normal_mmv,vertical_element_domain_dml,registered_local_full_reference,2,2,65,1,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,32,65,0,identity,65,65,0,0,1,pre_registered_local_fixture_grid,9.2 11,9.2 11,0,3338.41770535837,0,2,2,2,2,105,216,0,0.0359728,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_REGISTERED_REFERENCE,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
k2_q1_common_elevation_l3,physical_factor1_separable_matrix_normal_mmv,grouped_svd_dml,registered_local_full_reference,2,1,65,3,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,195,195,5.23312216165259e-13,0,1,pre_registered_local_fixture_grid,10,10,0,10567.1450542045,1.2732925824821e-11,1,1,1,1,21,48,0,0.0095825,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_AND_UPSTREAM_REGISTERED_MODEL,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
k2_q1_common_elevation_l3,physical_factor1_separable_matrix_normal_mmv,vertical_element_domain_dml,registered_local_full_reference,2,1,65,3,65,none,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,32,65,0,identity,195,195,0,0,1,pre_registered_local_fixture_grid,10,10,0,10567.1450542045,0,1,1,1,1,21,48,0,0.0117761,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,METHOD_REGISTERED_REFERENCE,GROUP_REGISTERED_MODEL_CERTIFIED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,1,1
