scenario,Nphi,L,observation_regime,coefficient_rank_evidence_kind,row_whitening_rank,column_whitening_rank,column_whitening_applied,column_covariance_model,truth_on_registered_grid_flag,search_domain_source,estimate_status,support_status,statistical_calibration_status,registered_model_certified_flag,structural_gate_pass_flag,estimate_returned_flag,expected_estimate_status,expected_support_status,phase_factor,group_index,evaluation_scope,relative_fro_error,registered_fro_gate,subspace_chordal_distance,registered_subspace_gate,subspace_rank_estimate,subspace_rank_truth,max_offdiagonal_crosstalk,diagonal_mixing_error,rank_Ge,rank_Ce_hat_diagnostic,recovery_solve_status,pass_flag
k1_q1_l1_noiseless,65,1,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,3.40866575158994e-15,5e-10,0,5e-07,1,1,0,4.44089209850063e-16,1,1,RECOVERY_RETURNED,1
k1_q1_l4_white_noise,65,4,NOISY_UNCALIBRATED,NOISY_DIAGNOSTIC_ONLY,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,NOT_CALIBRATED_STAGE4,0,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_SUPPORTED_UNCALIBRATED,1,1,TEST_ONLY_TRUTH_EVALUATOR,0.000916783762671513,0.08,0.000914310602044278,0.35,1,1,0,2.22044604925031e-16,1,1,RECOVERY_RETURNED,1
k2_q2_distinct_elevation_l1,65,1,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,4.09014847917707e-15,5e-09,0,5e-07,1,1,1.71658754944584e-16,4.44305997370834e-16,2,2,RECOVERY_RETURNED,1
k2_q2_distinct_elevation_l1,65,1,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,2,TEST_ONLY_TRUTH_EVALUATOR,4.01992046802713e-15,5e-09,0,5e-07,1,1,1.71658754944584e-16,4.44305997370834e-16,2,2,RECOVERY_RETURNED,1
k2_q1_common_elevation_l3,65,3,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,3.89116356050091e-15,5e-09,2.1073424255447e-08,5e-07,1,1,0,4.44089209850063e-16,1,1,RECOVERY_RETURNED,1
k2_q2_extremely_close_l1,65,1,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,8.21827067577046e-14,5e-08,2.1073424255447e-08,5e-07,1,1,3.48701974525243e-14,3.42684680036095e-14,2,2,RECOVERY_RETURNED,1
k2_q2_extremely_close_l1,65,1,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,2,TEST_ONLY_TRUTH_EVALUATOR,1.02935251162941e-13,5e-08,0,5e-07,1,1,3.48701974525243e-14,3.42684680036095e-14,2,2,RECOVERY_RETURNED,1
k2_q2_weak_secondary_l4,65,4,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,3.54539362108093e-15,5e-08,0,5e-07,1,1,1.11022302462516e-16,2.22044604925031e-16,2,2,RECOVERY_RETURNED,1
k2_q2_weak_secondary_l4,65,4,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,2,TEST_ONLY_TRUTH_EVALUATOR,2.79814241379791e-14,5e-08,0,5e-07,1,1,1.11022302462516e-16,2.22044604925031e-16,2,2,RECOVERY_RETURNED,1
k2_q2_coherent_sources_l4,65,4,NOISELESS_STRUCTURAL,NOISELESS_EXACT_DATA,9,65,0,identity,1,pre_registered_local_fixture_grid,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,NOT_CALIBRATED_STAGE4,1,1,1,ESTIMATE_RETURNED,GROUP_REGISTERED_MODEL_CERTIFIED,1,1,TEST_ONLY_TRUTH_EVALUATOR,3.65724392345625e-15,5e-08,2.1073424255447e-08,5e-07,1,1,1.11022302462516e-16,2.22044604925031e-16,2,2,RECOVERY_RETURNED,1
