scenario,data_split,trial_id,method,score,rss,normalized_score_gap_to_local_full,success_flag,wrong_local_peak_flag,num_score_eval_total,statistical_calibration_status,domain_hash,phase_factor
design_grid_q1_k2_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,18776.3504676563,0,3.87506487307893e-16,1,0,43,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q1_k2_l4,DESIGN,1,GROUPED_CONDITIONAL_ONLY,18776.3504676563,0,3.87506487307893e-16,1,0,24,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q1_k2_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,18776.3504676563,0,3.87506487307893e-16,1,0,76,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q1_k2_l4,DESIGN,1,LOCAL_FULL_DML_REFERENCE,18776.3504676564,0,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q1_k2_l4,DESIGN,1,CONVENTIONAL_DBF,18240.8087278252,535.541739831162,0.028522142295633,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q2_k1_k1_l4,DESIGN,1,MAIN_GROUPED_CONDITIONAL_JOINT,18308.0815878643,0,-9.93544514653898e-16,1,0,38,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q2_k1_k1_l4,DESIGN,1,GROUPED_CONDITIONAL_ONLY,18308.0815878643,0,-9.93544514653898e-16,1,0,17,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q2_k1_k1_l4,DESIGN,1,DIRECT_AP_COORDINATE_ASCENT_FIXED_CENTER,18308.0815878643,0,-9.93544514653898e-16,1,0,102,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q2_k1_k1_l4,DESIGN,1,LOCAL_FULL_DML_REFERENCE,18308.0815878643,1.81898940354586e-11,0,1,0,210,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
design_grid_q2_k1_k1_l4,DESIGN,1,CONVENTIONAL_DBF,17714.0405401559,594.041047708335,0.0324469303273197,0,0,0,NOT_CALIBRATED_STAGE5,e70016c924fdb6837e7a741304fbd992c4d8f05413ba03743350eec5c03963bd,1
