metric,value,unit,status,pass_flag,statistical_calibration_status,phase_factor
active_phase_factor,1,dimensionless,PASS,1,NOT_CALIBRATED_STAGE5,1
locked_configuration_hash,77e50c6af0c1f6078ebedcd05084b1d11abe606d026677d4017ca2d83d459a86,sha256,PASS,1,NOT_CALIBRATED_STAGE5,1
registered_test_row_count,54,count,PASS,1,NOT_CALIBRATED_STAGE5,1
code_analyzer_message_count,0,count,PASS,1,NOT_CALIBRATED_STAGE5,1
stage5_scope_violation_count,0,count,PASS,1,NOT_CALIBRATED_STAGE5,1
step11_frozen_file_count,351,count,PASS,1,NOT_CALIBRATED_STAGE5,1
step11_frozen_hash_mismatch_count,0,count,PASS,1,NOT_CALIBRATED_STAGE5,1
group_noise_covariance_final_relative_error,0.014476,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
conditional_manifold_formula_error,3.6057e-15,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
conditional_manifold_derivative_error,5.6177e-10,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
conditional_whitening_sample_error,0.0048615,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
full_sequential_staged_error,3.6968e-15,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
full_sequential_covariance_sample_error,0.014895,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
full_sequential_manifold_error,0,relative,PASS,1,NOT_CALIBRATED_STAGE5,1
joint_monotonicity_violation_count,0,count,PASS,1,NOT_CALIBRATED_STAGE5,1
deterministic_main_score_gap,8.1063e-16,normalized,PASS,1,NOT_CALIBRATED_STAGE5,1
canonical_label_set_difference,0,degree_frobenius,PASS,1,NOT_CALIBRATED_STAGE5,1
oracle_to_estimated_azimuth_degradation,0,degree_rmse,PASS,1,NOT_CALIBRATED_STAGE5,1
estimated_to_perturbed_azimuth_degradation,0,degree_rmse,PASS,1,NOT_CALIBRATED_STAGE5,1
core_noisy_minimum_nmc,200,count_per_method,PASS,1,NOT_CALIBRATED_STAGE5,1
experiment_method_row_count,2305,count,PASS,1,NOT_CALIBRATED_STAGE5,1
experiment_calibration_violation_count,0,count,PASS,1,NOT_CALIBRATED_STAGE5,1
normal_holdout_main_success_rate,1,rate,PASS,1,NOT_CALIBRATED_STAGE5,1
normal_holdout_main_wilson_low,0.98161,rate,PASS,1,NOT_CALIBRATED_STAGE5,1
stress_holdout_main_success_rate,0.18,rate,PASS,1,NOT_CALIBRATED_STAGE5,1
stress_holdout_main_wilson_low,0.13733,rate,PASS,1,NOT_CALIBRATED_STAGE5,1
paired_success_difference_vs_direct,0,rate_difference,PASS,1,NOT_CALIBRATED_STAGE5,1
paired_success_difference_95_low,0,rate_difference,PASS,1,NOT_CALIBRATED_STAGE5,1
score_call_reduction_vs_direct,0.44954,fraction,PASS,1,NOT_CALIBRATED_STAGE5,1
score_call_reduction_vs_local_full,0.74945,fraction,PASS,1,NOT_CALIBRATED_STAGE5,1
mean_main_score_gap_to_local_full,3.7299e-07,normalized,PASS,1,NOT_CALIBRATED_STAGE5,1
pareto_gate_pass,true,boolean,PASS,1,NOT_CALIBRATED_STAGE5,1
stage5_overall_pass,true,boolean,PASS,1,NOT_CALIBRATED_STAGE5,1
