config_id,center_az_deg,center_el_deg,direction_id,valid_point_count,tail_point_count,minimum_valid_r_rad,max_sigma2_ratio_error,max_coherence_ratio_error,max_normalized_gram_ratio_error,sigma2_ratio_error_slope,coherence_ratio_error_slope,normalized_gram_ratio_error_slope,taylor_sum_residual_slope,taylor_difference_residual_slope,taylor_residual_decrease_flag,tail_status,fixed_measurement_hash,pass_flag,baseline_commit,stage6_source_tree_hash,stage6_dependency_tree_hash,stage6_controls_hash,stage6_measurement_plan_hash,stage6_experiment_plan_hash,stage6_provenance_hash,provenance_contract_version,baseline_ancestor_flag,working_tree_clean_at_start,phase_factor,theory_status,prior_art_status
SEQ_3X3_WHITE,7.6,9.8,V_AZ,9,3,2.72707695624114e-05,3.36342122853051e-06,9.45715229661026e-06,2.72029796566375e-06,1.99931171047389,1.99767374239906,1.99893662061249,3.99296588751485,3.09381962248964,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,7.6,9.8,V_EL,9,3,2.72707695624114e-05,1.89065020506085e-06,5.0271203200225e-06,1.24549921243222e-06,1.99960317645386,1.99860131740418,1.99876805299921,3.99922470293062,3.3488640081638,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,7.6,9.8,V_DIAG_POS,9,3,2.72707695624114e-05,3.50448088803912e-06,8.11795992539111e-06,1.10377051987243e-06,1.99913382661874,1.99768513808528,1.99713162451528,4.00136199532494,3.47166580445066,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,7.6,9.8,V_DIAG_NEG,9,3,2.72707695624114e-05,3.50630418255449e-06,8.12306837516541e-06,1.10533491270992e-06,1.99913313201731,1.99771762726714,1.997169323316,3.99880065102767,3.34505175587527,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8,9.8,V_AZ,9,3,2.72707695624114e-05,3.32001623393197e-06,9.40105718838513e-06,2.76866685866572e-06,1.99932099449539,1.99766876244878,1.99887579232934,3.99745268798904,3.20376346036698,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8,9.8,V_EL,9,3,2.72707695624114e-05,1.89067428113532e-06,5.02714618344502e-06,1.24551333968714e-06,1.9996024115449,1.99839718378311,1.99948089267714,3.99694065567279,3.37761324190615,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8,9.8,V_DIAG_POS,9,3,2.72707695624114e-05,3.48733539257129e-06,8.08768450133446e-06,1.11661702251187e-06,1.99913294077864,1.99777648938816,1.99711187757462,3.99957406619315,3.30548178358254,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8,9.8,V_DIAG_NEG,9,3,2.72707695624114e-05,3.49666610399701e-06,8.11381912868558e-06,1.12418659659053e-06,1.9991290229802,1.99762390200107,1.99736886765857,3.99934226869118,3.58029155057478,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8.4,9.8,V_AZ,9,3,2.72707695624114e-05,3.36286937729913e-06,9.45522146389433e-06,2.71947536711892e-06,1.99931056520722,1.99771996584292,1.99888887395888,4.00046821120578,3.06392859462197,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
SEQ_3X3_WHITE,8.4,9.8,V_EL,9,3,2.72707695624114e-05,1.89070602807373e-06,5.02724411644007e-06,1.24552191826943e-06,1.99960258992822,1.9986513374622,1.99949275385849,4.00059156562968,3.32523595724367,1,NONDEGENERATE_ASYMPTOTIC_SUPPORTED,896edb1e11bf0e53e8f7d874fa14b442dd7759bc8c8da151a7eaf930b8ccaf0d,1,0430f25272690a3ddf378dcf0bab465ca93edb68,605d76b653c633c5eabf6c95422403256b9d0da6000e6e2561a518635cf6e5ce,c5ed245229e0273dbfe6295530c14630054b091045981f837c83c69a6b8d3453,941f53cad599294a76b1aa07e5b1f06c5c51b73b12de63caf3d6e8886b6fa03d,28425e98c333d60e88417dfa7dfa7e50ea30d420cc66e630f456c8c9836e30b2,baee3ecbaa7e949bab7df0d44496ccd5fddec4d935ca777dbe9d1d0e7d7b211e,f2209ac492954ccca41e6a6e3860e1286ebdbbc22b29189117049bc01cec48be,STAGE6_PROVENANCE_CONTRACT_V1,1,1,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
