metric,value,unit,status,pass_flag,fixed_measurement_hash,theory_status_detail,physical_null_status,stage6_controls_hash,stage6_experiment_plan_hash,phase_factor,theory_status,prior_art_status
active_phase_factor,1,dimensionless,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
registered_measurement_config_count,5,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
registered_primary_secant_case_count,1296,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_first_derivative_relative_error,5.88974509523221e-09,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_stage5_manifold_jacobian_relative_error,1.63992798491311e-12,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_second_derivative_relative_error,3.21222107858931e-05,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_third_derivative_relative_error,0.00065833775916113,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
minimum_primary_tangent_eigenvalue,2165191.82170008,per_radian_squared,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_sigma2_tail_ratio_error,4.01018878082304e-06,absolute_ratio_error,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_coherence_tail_ratio_error,1.04212196372355e-05,absolute_ratio_error,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_normalized_gram_tail_ratio_error,6.11803083117035e-06,absolute_ratio_error,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
minimum_tail_point_count,3,count,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_exact_identity_relative_error,1.39768507616424e-12,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
maximum_geometry_invariance_error,9.43356504023996e-13,relative,PASS,1,MULTIPLE_REGISTERED_MODELS,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,NO_EXACT_PHYSICAL_TANGENT_NULL_FOUND,7344172be8a6cba67eb96c4453bcfaf8fdafea7784137d2faf8186ddc675dd53,d76ec3ca634608f351af919d63f6fe2a8acabe5ee4fffc532f84e8db32a28ad5,1,THEORY_SUPPORTED_AS_SCENARIO_SPECIFIC_COROLLARY,SCENARIO_SPECIFIC_COROLLARY_PRIOR_ART_BOUNDED
