scenario_id,element_snr_db,method_id,subset_id,n_trials,oracle_k_success_rate,Wilson_95_low,Wilson_95_high,azimuth_rmse_all_trials,elevation_rmse_all_trials,pair_rmse_all_trials,unconditional_penalized_error,wrong_local_peak_rate,paired_success_difference,paired_success_difference_95_low,paired_success_difference_95_high,paired_error_difference,paired_error_difference_95_low,paired_error_difference_95_high,diagnostic_status,stage7_1_stable_code_identity_hash
D0318,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.53,0.460916829150018,0.597952451267346,0.0304138126514912,0.197989898732234,0.200312256240102,0.345784434653101,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,0,GREEDY_ETA_080,RECT_E28_A31,200,0.51,0.441185876784587,0.578437216687868,0.0320156211871643,0.203346994076628,0.205851888502389,0.355992745733333,0,-0.02,-0.0638481446775572,0.0238481446775572,0.0102083110802316,-0.0130929452149946,0.0335095673754577,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.5,0.431360859603892,0.568639140396108,0.0353553390593274,0.202977831301845,0.206033977780365,0.361642369140845,0,-0.03,-0.0779487658701,0.0179487658701,0.015857934487744,-0.00899561637942595,0.0407114853549139,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,5,FIXED_RECT_3X5,RECT_E14_A31,200,0.69,0.62282822433742,0.750010551639219,0.0173205080756888,0.176918060129542,0.177763888346312,0.259036407129518,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,5,GREEDY_ETA_080,RECT_E28_A31,200,0.685,0.617650439142697,0.745376790097715,0.01802775637732,0.175712833908056,0.176635217326557,0.259923946425406,0,-0.005,-0.0375764812246996,0.0275764812246997,0.000887539295887961,-0.0163206148610172,0.0180956934527931,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,5,FULL_PARENT_5X5,RECT_E31_A31,200,0.66,0.591884955268363,0.722084540290912,0.01802775637732,0.177763888346312,0.178675683852057,0.272492694039129,0,-0.03,-0.0607866403917912,0.000786640391791219,0.0134562869096106,-0.00341092324731609,0.0303234970665372,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,10,FIXED_RECT_3X5,RECT_E14_A31,200,0.865,0.810708616292475,0.905534295452121,8.88178419700125e-16,0.126589889011722,0.126589889011722,0.151620506980981,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,10,GREEDY_ETA_080,RECT_E28_A31,200,0.86,0.805101191342925,0.901330173665444,8.88178419700125e-16,0.124398553046247,0.124398553046247,0.150559846809201,0,-0.005,-0.0269570656942975,0.0169570656942975,-0.00106066017177981,-0.0133995810883576,0.011278260744798,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
D0318,10,FULL_PARENT_5X5,RECT_E31_A31,200,0.865,0.810708616292475,0.905534295452121,8.88178419700125e-16,0.123592070943083,0.123592070943083,0.149476384175345,0,0,-0.0240647957622647,0.0240647957622647,-0.00214412280563537,-0.0159594731900983,0.0116712275788275,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.97,0.936105707545481,0.986179685659889,0.108007154392295,0.052308936995306,0.120007375979562,0.130526984387499,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,0,GREEDY_ETA_080,RECT_E28_A31,200,0.975,0.942821659593358,0.989275280348239,0.107980722190859,0.0522735461983547,0.119968162430751,0.128422195925534,0,0.005,-0.00479981992270026,0.0147998199227003,-0.00210478846196537,-0.00718680480340589,0.00297722787947515,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.96,0.923067931799067,0.979594367933848,0.110148411269097,0.0532214583805406,0.122332318449614,0.135072888184816,0,-0.01,-0.0295996398454005,0.00959963984540052,0.00454590379731697,-0.00523574316019958,0.0143275507548335,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,5,FIXED_RECT_3X5,RECT_E14_A31,200,1,0.981154673622734,1,0.105566445180613,0.0512720428179365,0.117358837429466,0.116439460001956,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,5,GREEDY_ETA_080,RECT_E28_A31,200,1,0.981154673622734,1,0.10580299782176,0.0512359357999532,0.117555924841619,0.116686165094704,0,0,0,0,0.000246705092747876,-0.000236828003840573,0.000730238189336325,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,5,FULL_PARENT_5X5,RECT_E31_A31,200,1,0.981154673622734,1,0.105620511351701,0.0511998033186602,0.117375944205209,0.116462214969631,0,0,0,0,2.27549676741761e-05,-0.000933213723577291,0.000978723658925643,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,10,FIXED_RECT_3X5,RECT_E14_A31,200,1,0.981154673622734,1,0.105566445180613,0.0514881531936054,0.117453413178841,0.116243596246048,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,10,GREEDY_ETA_080,RECT_E28_A31,200,1,0.981154673622734,1,0.105329361281988,0.0515240834631295,0.117256153462354,0.1159968911533,0,0,0,0,-0.000246705092747958,-0.000730238189336406,0.00023682800384049,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
V0014,10,FULL_PARENT_5X5,RECT_E31_A31,200,1,0.981154673622734,1,0.104293562806563,0.0517033602762184,0.116406119713437,0.115038742067316,0,0,0,0,-0.00120485417873197,-0.00224513712812406,-0.000164571229339888,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,0,FIXED_RECT_3X5,RECT_E14_A31,200,0.535,0.465866468723632,0.60281435842996,0.0743045902391875,0.210507589061047,0.223236684223064,0.333428044236878,0.025,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,0,GREEDY_ETA_080,RECT_E28_A31,200,0.57,0.500704877641527,0.636656776665656,0.072916473159818,0.208463866811239,0.220848354813796,0.316302224266676,0.045,0.035,-8.70444020752217e-05,0.0700870444020752,-0.0171258199702023,-0.0355252999427699,0.00127366000236525,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,0,FULL_PARENT_5X5,RECT_E31_A31,200,0.53,0.460916829150018,0.597952451267346,0.0610161131692587,0.214062906895033,0.222589070204795,0.337090172925487,0.04,-0.005,-0.0560444138229501,0.0460444138229501,0.00366212868860891,-0.0247761007136074,0.0321003580908252,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
H0057,5,FIXED_RECT_3X5,RECT_E14_A31,200,0.66,0.591884955268363,0.722084540290912,0.0466044235004769,0.157106331090277,0.163873034872914,0.263601066054679,0,0,0,0,0,0,0,POST_HOC_EDGE_SENSITIVITY_NOT_USED_FOR_SELECTION,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c
