artifact_id,relative_path,artifact_type,evidence_class,byte_count,sha256,required_by_closure_runner,included_in_deterministic_bundle,self_referential_exclusion_flag,contains_runtime_metadata,file_exists_flag,pass_flag,stage7_1_stable_code_identity_hash,stage7_1_evidence_bundle_hash,bundle_contract_version
stage7_1_provenance,results/stage7_1_provenance.csv,CSV,RUNTIME_PROVENANCE,664,3c8dc00cdfb08300e02488f632920ac5b01b05caaab8724ccf351d17a3f65be5,1,0,0,1,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
stage7_1_source_manifest,results/stage7_1_source_manifest.csv,CSV,DETERMINISTIC_CORE,20593,1ed0d167e6b787141a407cf3376bc04b1ceb1e25374155cc22d5090b328877a6,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
stage7_core_historical_comparison,results/stage7_core_historical_comparison.csv,CSV,DETERMINISTIC_CORE,70533,183ce62df7e440fdb0073a6f17f02c387375c589b3b52cee3c5043f37fcf1b1e,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
sequential_3by5_semantics,results/sequential_3by5_semantics.md,MARKDOWN,DETERMINISTIC_CORE,443,7ef7f473bf11a817da5578807e478a9bf3131d94d08413809ecc4e35b95a3b4f,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
method_subset_aliases,results/method_subset_aliases.csv,CSV,DETERMINISTIC_CORE,2748,8868c756b1600ebdf398c20666029397edbd060160f5b987101446e7a01aa86f,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
minimum_cost_feasible_3by5,results/minimum_cost_feasible_3by5.csv,CSV,DETERMINISTIC_CORE,1835,a71429e00724360d42a40e5f9f6ee3499bb68aa684e4b4b4c396614d33d71296,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
same_cost_dominance,results/same_cost_dominance.csv,CSV,DETERMINISTIC_CORE,1344,f26c3d0b05b57b2fd4d8621bb2800c4426b2d7d331d1d1ef013016464c09b3ff,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
existing_method_pareto_sensitivity,results/existing_method_pareto_sensitivity.csv,CSV,DETERMINISTIC_CORE,3690,b73d22ab584d9041da311f14eede74ad1d28fea75941866523262d016a5c02e3,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
complexity_accounting_correction,results/complexity_accounting_correction.csv,CSV,DETERMINISTIC_CORE,1295,1572d7740196d8f9a1e3567354048ed35cbb6200088c71d9a9945ce9181e1eb9,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
edge_diagnostic_plan,results/edge_diagnostic_plan.csv,CSV,DETERMINISTIC_CORE,44750,61cc5d0ac50bc5f231f1335acd9d2855ba8a551493cb15205db6eb81a8995bc0,1,1,0,0,1,1,f3e84ecd77e63632d9e2eb0e70c0600fa0f370193ad27d6fa5717f0381700b4c,af40f8a7e8a0edfc7077594ebf08257cd0c7385d10902bc8dd624c83434bc322,STAGE7_1_DETERMINISTIC_EVIDENCE_BUNDLE_V1
