baseline_id,reproduction_status,factor1_physical_subset_flag
FULL_PARENT_5X5,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
STAGE6_CENTER_3X3,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
FIXED_AZ_1X3,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
FIXED_EL_3X1,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
FIXED_RECT_3X3,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
FIXED_RECT_3X5,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
FIXED_RECT_5X3,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
EXACT_ETA_080,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
GREEDY_ETA_080,REPRODUCED_FACTOR1_PHYSICAL_SUBSET,1
EXACT_ETA_090,DESIGN_OPERATING_POINT_INFEASIBLE,0
EXACT_ETA_095,DESIGN_OPERATING_POINT_INFEASIBLE,0
GREEDY_ETA_090,DESIGN_OPERATING_POINT_INFEASIBLE,0
GREEDY_ETA_095,DESIGN_OPERATING_POINT_INFEASIBLE,0
LEGACY_GREEDY_COMBINED_B7,LEGACY_FACTOR2_OR_NONSEQUENTIAL_NOT_COMPARABLE,0
LIU_2026,EXACT_REPRODUCTION_UNAVAILABLE,0
CHEPURI_LEUS,INDEPENDENT_OBSERVATION_REFERENCE_NOT_PHYSICAL_SUBSET,0
CONTINUOUS_SVD,UNCONSTRAINED_SUBSPACE_REFERENCE,0
