subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E01_A01,1,1,1,1,1,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1855445,0.1855445,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E01_A02,1,2,1,2,6,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1615679,0.1615679,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E01_A03,1,3,1,1;2,1;6,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2798056,0.2798056,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A04,1,4,1,3,11,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1612204,0.1612204,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E01_A05,1,5,1,1;3,1;11,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2805534,0.2805534,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A06,1,6,1,2;3,6;11,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2299744,0.2299744,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A07,1,7,1,1;2;3,1;6;11,1,3,3,2080,195,2275,3,48,99840,33328,130,1.82706238114528e-10,1.24153284615735e-05,6.16247808299028e-10,1.83127910779696e-10,D0320,V0234,H0085,3,2,4,0,0.2172144,0.2172144,FIM_SCENARIO_VALID,2,2,1184,2368,1.9546875e-06
RECT_E01_A08,1,8,1,4,16,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1294283,0.1294283,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,2.1703125e-06
RECT_E01_A09,1,9,1,1;4,1;16,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2230354,0.2230354,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
RECT_E01_A10,1,10,1,2;4,6;16,1,2,2,2080,130,2210,2,32,66560,33312,65,0,0,0,0,D0001,V0001,H0001,2,2,3,0,0.2204393,0.2204393,SUBSET_FIM_RANK_LOSS,2,2,1184,2368,1.908984375e-06
