subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total,output_channel_count,output_bytes_complex_double,weight_memory_bytes,estimated_data_movement_bytes,incremental_cost_over_conventional,eta_design,eta_validation,eta_holdout,eta_parent_relative,worst_design_scenario_id,worst_validation_scenario_id,worst_holdout_scenario_id,minimum_whitening_rank,minimum_manifold_rank,minimum_fim_rank,data_processing_violation_count,runtime,offline_subset_design_runtime,status,covariance_decomposition_count,whitener_eigendecomposition_count,fim_evaluation_count,generalized_eigenvalue_evaluation_count,measured_online_dbf_runtime
RECT_E01_A01,1,1,1,1,1,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.6307828,0.6307828,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E01_A02,1,2,1,2,6,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.5672963,0.5672963,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E01_A04,1,4,1,3,11,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.6222537,0.6222537,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E01_A08,1,8,1,4,16,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4725472,0.4725472,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E01_A16,1,16,1,5,21,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4865065,0.4865065,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E02_A01,2,1,2,1,2,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4795713,0.4795713,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E02_A02,2,2,2,2,7,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4444238,0.4444238,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E02_A04,2,4,2,3,12,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4072222,0.4072222,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E02_A08,2,8,2,4,17,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4473648,0.4473648,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E02_A16,2,16,2,5,22,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4664898,0.4664898,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E04_A01,4,1,3,1,3,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.5176152,0.5176152,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E04_A02,4,2,3,2,8,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4843218,0.4843218,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E04_A04,4,4,3,3,13,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.4915051,0.4915051,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E04_A08,4,8,3,4,18,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.5943655,0.5943655,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E04_A16,4,16,3,5,23,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.3617466,0.3617466,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E08_A01,8,1,4,1,4,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.201975,0.201975,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E08_A02,8,2,4,2,9,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1803686,0.1803686,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E08_A04,8,4,4,3,14,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1884019,0.1884019,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E08_A08,8,8,4,4,19,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1941036,0.1941036,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
RECT_E08_A16,8,16,4,5,24,1,1,1,2080,65,2145,1,16,33280,33296,0,0,0,0,0,D0001,V0001,H0001,1,1,0,0,0.1784647,0.1784647,SUBSET_WHITENING_RANK_INSUFFICIENT,2,2,1184,2368,4.0345703125e-06
