profile_id,B_e,B_a,B_out,measured_online_dbf_runtime,runtime_mean,runtime_std,batch_samples,repeats,warmup_repeats,benchmark_seed,status
BE1_BA1,1,1,1,2.1703125e-06,2.73705078125e-06,2.08359126884408e-06,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE1_BA2,1,2,2,1.908984375e-06,2.0922265625e-06,4.18328264359986e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE1_BA3,1,3,3,1.9546875e-06,2.06212890625e-06,3.29768617907738e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE1_BA4,1,4,4,2.059765625e-06,2.256171875e-06,5.74389765976584e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE1_BA5,1,5,5,2.116015625e-06,2.2172265625e-06,2.18846639984121e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE2_BA1,2,1,2,3.78984375e-06,4.0772265625e-06,7.59018970400298e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE2_BA2,2,2,4,3.901171875e-06,4.05162109375e-06,4.94274603726154e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE2_BA3,2,3,6,3.9181640625e-06,4.17130859375e-06,7.04583960984464e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE2_BA4,2,4,8,3.9994140625e-06,4.116015625e-06,2.76733280371651e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE2_BA5,2,5,10,3.946484375e-06,4.195390625e-06,6.41407822614907e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE3_BA1,3,1,3,5.4916015625e-06,5.72435546875e-06,6.81990286662387e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE3_BA2,3,2,6,5.7822265625e-06,5.9726171875e-06,5.95459902352736e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE3_BA3,3,3,9,5.985546875e-06,6.1994140625e-06,5.69726352819978e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE3_BA4,3,4,12,5.9126953125e-06,6.0573828125e-06,7.1616726704867e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE3_BA5,3,5,15,6.0689453125e-06,6.25216796875e-06,5.22090680565574e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE4_BA1,4,1,4,6.893359375e-06,7.0673046875e-06,5.50736573460991e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE4_BA2,4,2,8,7.0060546875e-06,7.3526953125e-06,8.30366962131469e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE4_BA3,4,3,12,7.182421875e-06,7.41515625e-06,6.30294528017438e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE4_BA4,4,4,16,7.375390625e-06,7.42470703125e-06,4.64915423125349e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE4_BA5,4,5,20,7.5912109375e-06,7.60986328125e-06,3.54717564873007e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE5_BA1,5,1,5,9.2501953125e-06,9.45453125e-06,8.44423582101695e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE5_BA2,5,2,10,9.7109375e-06,1.036919921875e-05,1.76484018364685e-06,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE5_BA3,5,3,15,9.7236328125e-06,1.05716015625e-05,1.69652192650552e-06,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE5_BA4,5,4,20,9.4693359375e-06,9.6019140625e-06,5.48124994432369e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
BE5_BA5,5,5,25,1.00150390625e-05,1.000234375e-05,5.52696604332975e-07,256,20,3,20260718,POST_FREEZE_DIAGNOSTIC_NOT_USED_FOR_SELECTION
