sequential_channel_id,global_elevation_beam_id,global_azimuth_beam_id,elevation_beam_deg,azimuth_beam_deg,parent_elevation_channel_id,physical_weight_hash,column_index_in_W0,candidate_pool_source
1,1,1,9.2,6.8,1,962b2eabccb6f7c8a5170ab0e232e6db62a558812912a625703b13b60324e424,1,REGISTERED_STAGE7_FALLBACK_5X5
2,2,1,9.6,6.8,2,514c379edd2cbb571c833e7c509124c88749c02414391d2d4debf80ee6e93479,2,REGISTERED_STAGE7_FALLBACK_5X5
3,3,1,10,6.8,3,85ab342e63da23b7cec98d8b75a2dc93e46d051baa6fc2861d9934b34db49fbd,3,REGISTERED_STAGE7_FALLBACK_5X5
4,4,1,10.4,6.8,4,9e1d4229e0cb1d288dda8b3c5e7f0ab13a15885b5770bdf475ffa5ef6f681826,4,REGISTERED_STAGE7_FALLBACK_5X5
5,5,1,10.8,6.8,5,f35b027bfac8ecd2ed3142b22ad27cd30e0d7643f63baf847c5d1a1110c21a97,5,REGISTERED_STAGE7_FALLBACK_5X5
6,1,2,9.2,7.4,1,0669e98eadda9c77c147b725c28fb87f3ec8c67eb46d2793485de2273c9c3b50,6,REGISTERED_STAGE7_FALLBACK_5X5
7,2,2,9.6,7.4,2,368378fb1bbe993442cd0e1aaf945e7861295087b6618d2e8d4adbc81126208d,7,REGISTERED_STAGE7_FALLBACK_5X5
8,3,2,10,7.4,3,b24295510d9f0ee2dcaaf1acdbeb594db0d957e7a0d69e5939dea52402583a96,8,REGISTERED_STAGE7_FALLBACK_5X5
9,4,2,10.4,7.4,4,fd0e05e4d3f61fd401ed7a196ebaabf5328c43469bdce8c955b7f3e47316441e,9,REGISTERED_STAGE7_FALLBACK_5X5
10,5,2,10.8,7.4,5,d6571addf6ac7822cd2bbfe4a698a1af87096e2d8684d5b44ba2609198634173,10,REGISTERED_STAGE7_FALLBACK_5X5
11,1,3,9.2,8,1,3f5371f584c85ea7a1133f2566b6573d6a455ad93b6728a9da2184aa68a4073a,11,REGISTERED_STAGE7_FALLBACK_5X5
12,2,3,9.6,8,2,25586123290e2c5fa0579b4e25c3ac60b74dd5ccab04f4bd56cc19f9bc56efc2,12,REGISTERED_STAGE7_FALLBACK_5X5
13,3,3,10,8,3,a533a9b8fafa5e7472a0b6eaac67096915b3c66cf4b414b96de6f4d30a5fbb9f,13,REGISTERED_STAGE7_FALLBACK_5X5
14,4,3,10.4,8,4,076d3e1f286a11383dfde87c7eedd1abf769cb8d4a75a20283325645b275b156,14,REGISTERED_STAGE7_FALLBACK_5X5
15,5,3,10.8,8,5,a086bd23b37812d6cb9f63b6fce21ee491c5cedebe2b54c128a7b9afd6d3908e,15,REGISTERED_STAGE7_FALLBACK_5X5
16,1,4,9.2,8.6,1,114f4e457c7fd0d46153cf8f886eb8b3f5bd662e9d0ee34a79af09d1a052746a,16,REGISTERED_STAGE7_FALLBACK_5X5
17,2,4,9.6,8.6,2,42c59fe6276781d0a1c5e726bccbd4d5c3fa64e6f83790ce14048e33e238f747,17,REGISTERED_STAGE7_FALLBACK_5X5
18,3,4,10,8.6,3,d9d754cb96f4b12f811cb1ad2faafa9fa1de108c548d0180617ffdb829c5ba9a,18,REGISTERED_STAGE7_FALLBACK_5X5
19,4,4,10.4,8.6,4,f73c9ab4e52543d3e2d4b9d39856d5f7e508016341480a3e493be3165ef5836a,19,REGISTERED_STAGE7_FALLBACK_5X5
20,5,4,10.8,8.6,5,a7a0f17ae24e6250b55cc7552777482007a3bd199b7e04060b66bdceab69b8d7,20,REGISTERED_STAGE7_FALLBACK_5X5
21,1,5,9.2,9.2,1,a0cce19df931d8cc6fad537c3cd52c1989460e738fe309f2e510040f27f7606d,21,REGISTERED_STAGE7_FALLBACK_5X5
22,2,5,9.6,9.2,2,bf972d334d595af7cc7653ff1cfb6d7e7996b0df99fe0362ba9b03bb3a5c9d32,22,REGISTERED_STAGE7_FALLBACK_5X5
23,3,5,10,9.2,3,edaf8ad8e04ecb564d07b218dfe33d249569ebf0c8af7aeca04d459e8b847547,23,REGISTERED_STAGE7_FALLBACK_5X5
24,4,5,10.4,9.2,4,a6b2d5d4270b3aef2ae0a4f80943fb618c950e9914b8511aced1f7093c67caa7,24,REGISTERED_STAGE7_FALLBACK_5X5
25,5,5,10.8,9.2,5,2994a0d968e6acba6a24c152adaff50301c2db2824469675cfefbdca0b4a4483,25,REGISTERED_STAGE7_FALLBACK_5X5
