scenario_id,data_split,K,center_az_deg,center_el_deg,direction_angle_deg,separation_deg,secondary_power_db,L,correlation_magnitude,correlation_phase_rad,noise_covariance_id,element_snr_db,Nmc,seed,mismatch_id,noise_sigma_override
N0,NORMAL_HOLDOUT,2,8,10,0,0.2,0,4,0,0,WHITE,0,200,270001,NONE,NaN
N1,NORMAL_HOLDOUT,2,8,10,90,0.4,-6,8,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,5,200,270002,NONE,NaN
N2,NORMAL_HOLDOUT,2,8,10,45,0.2,-6,4,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,10,200,270003,NONE,NaN
N3,NORMAL_HOLDOUT,2,8,10,0,0.4,0,8,0,0,WHITE,5,200,270004,NONE,NaN
N4,NORMAL_HOLDOUT,2,8,10,90,0.2,0,4,0,0,WHITE,10,200,270005,NONE,NaN
N5,NORMAL_HOLDOUT,2,8,10,-45,0.4,-6,8,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,0,200,270006,NONE,NaN
T0_-15,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,-15,200,271001,NONE,NaN
T1_-15,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,-15,200,272001,NONE,NaN
T0_-12,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,-12,200,271002,NONE,NaN
T1_-12,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,-12,200,272002,NONE,NaN
T0_-09,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,-9,200,271003,NONE,NaN
T1_-09,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,-9,200,272003,NONE,NaN
T0_-06,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,-6,200,271004,NONE,NaN
T1_-06,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,-6,200,272004,NONE,NaN
T0_-03,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,-3,200,271005,NONE,NaN
T1_-03,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,-3,200,272005,NONE,NaN
T0_+00,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,0,200,271006,NONE,NaN
T1_+00,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,0,200,272006,NONE,NaN
T0_+03,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,3,200,271007,NONE,NaN
T1_+03,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,3,200,272007,NONE,NaN
T0_+06,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,6,200,271008,NONE,NaN
T1_+06,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,6,200,272008,NONE,NaN
T0_+09,THRESHOLD_HOLDOUT,2,8,10,0,0.2,-3,4,0.5,0,WHITE,9,200,271009,NONE,NaN
T1_+09,THRESHOLD_HOLDOUT,2,8,10,45,0.1,-6,8,0.9,0,STAGE5_TOEPLITZ_CORRELATED,9,200,272009,NONE,NaN
M0,MISMATCH_HOLDOUT,2,8,10,45,0.2,-3,4,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,5,200,273001,M0_COVARIANCE,NaN
M1,MISMATCH_HOLDOUT,2,8,10,45,0.2,-3,4,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,5,200,273002,M1_GAIN_PHASE,NaN
M2,MISMATCH_HOLDOUT,2,8,10,45,0.2,-3,4,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,5,200,273003,M2_POSITION,NaN
M3,MISMATCH_HOLDOUT,2,8,10,45,0.2,-3,4,0.5,1.0471975511966,STAGE5_TOEPLITZ_CORRELATED,5,200,273004,M3_CHANNEL_FAILURE,NaN
S0_STAGE5_COHERENT_WEAK,STRESS_HOLDOUT,2,8,10,0,0.6,-18.4163750790475,4,1,0.4,WHITE,NaN,200,274001,STAGE5_COHERENT_WEAK,0.004
