subset_id,elevation_mask_integer,azimuth_mask_integer,I_e_global,I_a_global,sequential_channel_ids,B_e,B_a,B_out,MAC_el,MAC_az,MAC_total
RECT_E01_A01,1,1,1,1,1,1,1,1,2080,65,2145
RECT_E01_A02,1,2,1,2,6,1,1,1,2080,65,2145
RECT_E01_A03,1,3,1,1;2,1;6,1,2,2,2080,130,2210
RECT_E01_A04,1,4,1,3,11,1,1,1,2080,65,2145
RECT_E01_A05,1,5,1,1;3,1;11,1,2,2,2080,130,2210
RECT_E01_A06,1,6,1,2;3,6;11,1,2,2,2080,130,2210
RECT_E01_A07,1,7,1,1;2;3,1;6;11,1,3,3,2080,195,2275
RECT_E01_A08,1,8,1,4,16,1,1,1,2080,65,2145
RECT_E01_A09,1,9,1,1;4,1;16,1,2,2,2080,130,2210
RECT_E01_A10,1,10,1,2;4,6;16,1,2,2,2080,130,2210
RECT_E01_A11,1,11,1,1;2;4,1;6;16,1,3,3,2080,195,2275
RECT_E01_A12,1,12,1,3;4,11;16,1,2,2,2080,130,2210
RECT_E01_A13,1,13,1,1;3;4,1;11;16,1,3,3,2080,195,2275
RECT_E01_A14,1,14,1,2;3;4,6;11;16,1,3,3,2080,195,2275
RECT_E01_A15,1,15,1,1;2;3;4,1;6;11;16,1,4,4,2080,260,2340
RECT_E01_A16,1,16,1,5,21,1,1,1,2080,65,2145
RECT_E01_A17,1,17,1,1;5,1;21,1,2,2,2080,130,2210
RECT_E01_A18,1,18,1,2;5,6;21,1,2,2,2080,130,2210
RECT_E01_A19,1,19,1,1;2;5,1;6;21,1,3,3,2080,195,2275
RECT_E01_A20,1,20,1,3;5,11;21,1,2,2,2080,130,2210
RECT_E01_A21,1,21,1,1;3;5,1;11;21,1,3,3,2080,195,2275
RECT_E01_A22,1,22,1,2;3;5,6;11;21,1,3,3,2080,195,2275
RECT_E01_A23,1,23,1,1;2;3;5,1;6;11;21,1,4,4,2080,260,2340
RECT_E01_A24,1,24,1,4;5,16;21,1,2,2,2080,130,2210
RECT_E01_A25,1,25,1,1;4;5,1;16;21,1,3,3,2080,195,2275
RECT_E01_A26,1,26,1,2;4;5,6;16;21,1,3,3,2080,195,2275
RECT_E01_A27,1,27,1,1;2;4;5,1;6;16;21,1,4,4,2080,260,2340
RECT_E01_A28,1,28,1,3;4;5,11;16;21,1,3,3,2080,195,2275
RECT_E01_A29,1,29,1,1;3;4;5,1;11;16;21,1,4,4,2080,260,2340
RECT_E01_A30,1,30,1,2;3;4;5,6;11;16;21,1,4,4,2080,260,2340
RECT_E01_A31,1,31,1,1;2;3;4;5,1;6;11;16;21,1,5,5,2080,325,2405
RECT_E02_A01,2,1,2,1,2,1,1,1,2080,65,2145
RECT_E02_A02,2,2,2,2,7,1,1,1,2080,65,2145
RECT_E02_A03,2,3,2,1;2,2;7,1,2,2,2080,130,2210
RECT_E02_A04,2,4,2,3,12,1,1,1,2080,65,2145
RECT_E02_A05,2,5,2,1;3,2;12,1,2,2,2080,130,2210
RECT_E02_A06,2,6,2,2;3,7;12,1,2,2,2080,130,2210
RECT_E02_A07,2,7,2,1;2;3,2;7;12,1,3,3,2080,195,2275
RECT_E02_A08,2,8,2,4,17,1,1,1,2080,65,2145
RECT_E02_A09,2,9,2,1;4,2;17,1,2,2,2080,130,2210
RECT_E02_A10,2,10,2,2;4,7;17,1,2,2,2080,130,2210
RECT_E02_A11,2,11,2,1;2;4,2;7;17,1,3,3,2080,195,2275
RECT_E02_A12,2,12,2,3;4,12;17,1,2,2,2080,130,2210
RECT_E02_A13,2,13,2,1;3;4,2;12;17,1,3,3,2080,195,2275
RECT_E02_A14,2,14,2,2;3;4,7;12;17,1,3,3,2080,195,2275
RECT_E02_A15,2,15,2,1;2;3;4,2;7;12;17,1,4,4,2080,260,2340
RECT_E02_A16,2,16,2,5,22,1,1,1,2080,65,2145
RECT_E02_A17,2,17,2,1;5,2;22,1,2,2,2080,130,2210
RECT_E02_A18,2,18,2,2;5,7;22,1,2,2,2080,130,2210
RECT_E02_A19,2,19,2,1;2;5,2;7;22,1,3,3,2080,195,2275
RECT_E02_A20,2,20,2,3;5,12;22,1,2,2,2080,130,2210
RECT_E02_A21,2,21,2,1;3;5,2;12;22,1,3,3,2080,195,2275
RECT_E02_A22,2,22,2,2;3;5,7;12;22,1,3,3,2080,195,2275
RECT_E02_A23,2,23,2,1;2;3;5,2;7;12;22,1,4,4,2080,260,2340
RECT_E02_A24,2,24,2,4;5,17;22,1,2,2,2080,130,2210
RECT_E02_A25,2,25,2,1;4;5,2;17;22,1,3,3,2080,195,2275
RECT_E02_A26,2,26,2,2;4;5,7;17;22,1,3,3,2080,195,2275
RECT_E02_A27,2,27,2,1;2;4;5,2;7;17;22,1,4,4,2080,260,2340
RECT_E02_A28,2,28,2,3;4;5,12;17;22,1,3,3,2080,195,2275
RECT_E02_A29,2,29,2,1;3;4;5,2;12;17;22,1,4,4,2080,260,2340
RECT_E02_A30,2,30,2,2;3;4;5,7;12;17;22,1,4,4,2080,260,2340
