measurement_config_id,calibration_cell_id,center_az_deg,center_el_deg,snr_db,L,noise_profile_id,model_key,fixed_measurement_hash,Bboot_per_cell,global_cell_index,calibration_data_seed,bootstrap_seed_start,bootstrap_seed_end,seed_block_stride,bootstrap_seed_formula
PRIMARY_RECT_E14_A31,C1_001,8,10,-12,1,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,199,1,2026072100,2126072100,2126072298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_002,8,10,-12,1,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,199,2,2026072101,2126073100,2126073298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_003,8,10,-12,4,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,199,3,2026072102,2126074100,2126074298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_004,8,10,-12,4,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,199,4,2026072103,2126075100,2126075298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_005,8,10,-12,8,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,199,5,2026072104,2126076100,2126076298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_006,8,10,-12,8,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,199,6,2026072105,2126077100,2126077298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_007,8,10,-6,1,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,199,7,2026072106,2126078100,2126078298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_008,8,10,-6,1,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,199,8,2026072107,2126079100,2126079298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_009,8,10,-6,4,WHITE,PRIMARY_RECT_E14_A31__WHITE,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,199,9,2026072108,2126080100,2126080298,1000,bootstrap_seed_start + bootstrap_index - 1
PRIMARY_RECT_E14_A31,C1_010,8,10,-6,4,STAGE5_TOEPLITZ_CORRELATED,PRIMARY_RECT_E14_A31__STAGE5_TOEPLITZ_CORRELATED,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,199,10,2026072109,2126081100,2126081298,1000,bootstrap_seed_start + bootstrap_index - 1
