calibration_cell_id,K1_fit_count,K2_fit_count,score_call_count,svd_call_count
C1_001,200,199,35959,82570
C1_002,200,199,37323,85344
C1_003,200,199,35211,81112
C1_004,200,199,36051,83062
C1_005,200,199,35303,81404
C1_006,200,199,36264,83475
C1_007,200,199,34882,80423
C1_008,200,199,36053,82964
C1_009,200,199,34386,79497
C1_010,200,199,35575,82066
C1_011,200,199,34503,79834
C1_012,200,199,35567,82058
C1_013,200,199,34064,78875
C1_014,200,199,34944,80815
C1_015,200,199,33774,78325
C1_016,200,199,35459,81810
C1_017,200,199,34545,79776
C1_018,200,199,35482,81833
C1_019,200,199,34062,78913
C1_020,200,199,34737,80388
C1_021,200,199,34325,79336
C1_022,200,199,35728,82339
C1_023,200,199,35175,81026
C1_024,200,199,36064,82915
C1_025,200,199,34261,79272
C1_026,200,199,35673,82204
C1_027,200,199,35194,81125
C1_028,200,199,36086,83017
C1_029,200,199,35451,81662
C1_030,200,199,35946,82717
C1_031,200,199,33391,77582
C1_032,200,199,35365,81536
C1_033,200,199,33676,78077
C1_034,200,199,34550,79971
C1_035,200,199,33170,77071
C1_036,200,199,34417,79718
C1_037,200,199,32526,75717
C1_038,200,199,34541,79942
C1_039,200,199,32203,75114
C1_040,200,199,33825,78536
C1_041,200,199,32357,75408
C1_042,200,199,33870,78601
C1_043,200,199,32308,75359
C1_044,200,199,33938,78749
C1_045,200,199,32285,75276
C1_046,200,199,33977,78828
C1_047,200,199,32953,76564
C1_048,200,199,33834,78485
C1_049,200,199,32360,75511
C1_050,200,199,33674,78245
C1_051,200,199,32554,75785
C1_052,200,199,34090,79021
C1_053,200,199,32772,76203
C1_054,200,199,34295,79366
C1_055,200,199,32766,76237
C1_056,200,199,33798,78369
C1_057,200,199,33037,76748
C1_058,200,199,33903,78594
C1_059,200,199,33164,77035
C1_060,200,199,33805,78376
C1_061,200,199,34815,80416
C1_062,200,199,35737,82358
C1_063,200,199,34455,79706
C1_064,200,199,35820,82691
C1_065,200,199,34149,79200
C1_066,200,199,35254,81605
C1_067,200,199,34457,79688
C1_068,200,199,35022,81113
C1_069,200,199,33108,77099
C1_070,200,199,34873,80864
C1_071,200,199,33511,77982
C1_072,200,199,34336,79687
C1_073,200,199,32251,75362
C1_074,200,199,34198,79449
C1_075,200,199,32694,76245
C1_076,200,199,34132,79183
C1_077,200,199,33055,76946
C1_078,200,199,34207,79298
C1_079,200,199,32390,75641
C1_080,200,199,33760,78491
C1_081,200,199,32693,76184
C1_082,200,199,33991,78862
C1_083,200,199,33112,77043
C1_084,200,199,33608,77999
C1_085,200,199,33045,76816
C1_086,200,199,34078,79129
C1_087,200,199,33235,77226
C1_088,200,199,34063,79034
C1_089,200,199,32740,76231
C1_090,200,199,33868,78539
C1_091,200,199,36273,83174
C1_092,200,199,35103,81034
C1_093,200,199,33551,77782
C1_094,200,199,34758,80429
C1_095,200,199,32994,76715
C1_096,200,199,34485,79866
C1_097,200,199,32638,75929
C1_098,200,199,34403,79714
C1_099,200,199,32603,75974
C1_100,200,199,33704,78295
C1_101,200,199,32408,75539
C1_102,200,199,33404,77655
C1_103,200,199,32425,75636
C1_104,200,199,33763,78494
C1_105,200,199,31828,74359
C1_106,200,199,33250,77361
C1_107,200,199,32140,74971
C1_108,200,199,33316,77427
C1_109,200,199,32439,75610
C1_110,200,199,33285,77416
C1_111,200,199,32959,76590
C1_112,200,199,34003,78834
C1_113,200,199,33061,76792
C1_114,200,199,33928,78639
C1_115,200,199,32701,76092
C1_116,200,199,32886,76537
C1_117,200,199,32780,76291
C1_118,200,199,33626,78057
C1_119,200,199,32739,76110
