measurement_config_id,stratum_id,L,noise_profile_id,profile_id,row_count,valid_fit_fraction,lrt_split_detection_rate,separation_evaluated_rate,joint_refinement_improvement_fraction,mean_joint_2d_rmse_deg,mean_separation_vector_error_deg
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
SENSITIVITY_FULL_PARENT_5X5,K1V_L1_N1,1,WHITE,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,2,1,1,1,0,1,0.143312510873732,0.20531415706603
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,3,1,1,0,0,1,0.345854579714037,0.280109909208321
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,4,1,1,0,0,1,0.141421356237309,0.199999999999999
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,5,1,1,0,0,1,0.201556443707464,0.35
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,6,1,1,0,0,0,0.370467503200375,0.706388479315794
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,7,1,1,0,0,0,0.583830338691189,0.336795869192417
PRIMARY_RECT_E14_A31,K1V_L1_N1,1,WHITE,8,1,1,0,0,1,0.458277643227554,0.400091980835414
SENSITIVITY_FULL_PARENT_5X5,K1V_L1_N1,1,WHITE,8,1,1,0,0,1,0.458277643227554,0.400091980835414
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
SENSITIVITY_FULL_PARENT_5X5,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,1,1,1,1,1,1,0.0249999999999995,0.0499999999999989
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,2,1,1,1,0,1,0.438857823710976,0.781271244657921
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,3,1,1,0,0,1,0.104071036404692,0.208142072809383
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,4,1,1,0,0,1,0.346410161513776,0.282842712474619
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,5,1,1,0,0,1,0.260066566369523,0.332473270764635
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,6,1,1,0,0,1,0.374494553935728,0.714831926896162
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,7,1,1,0,0,1,0.428703623222855,0.77791206846122
PRIMARY_RECT_E14_A31,K1V_L1_N2,1,STAGE5_TOEPLITZ_CORRELATED,8,1,1,0,0,1,0.450496759666854,0.782169624749863
