section,scope,measurement_config_id,metric,numerator,denominator,value
K1,OVERALL,PRIMARY_RECT_E14_A31,false_split_rate,30,60,0.5
K1,OVERALL,PRIMARY_RECT_E14_A31,nondecision_rate,0,60,0
K1,OVERALL,SENSITIVITY_FULL_PARENT_5X5,false_split_rate,30,60,0.5
K1,OVERALL,SENSITIVITY_FULL_PARENT_5X5,nondecision_rate,0,60,0
K1,K1V_L1_N1,PRIMARY_RECT_E14_A31,false_split_rate,0,10,0
K1,K1V_L1_N2,PRIMARY_RECT_E14_A31,false_split_rate,2,10,0.2
K1,K1V_L4_N1,PRIMARY_RECT_E14_A31,false_split_rate,5,10,0.5
K1,K1V_L4_N2,PRIMARY_RECT_E14_A31,false_split_rate,7,10,0.7
K1,K1V_L8_N1,PRIMARY_RECT_E14_A31,false_split_rate,8,10,0.8
K1,K1V_L8_N2,PRIMARY_RECT_E14_A31,false_split_rate,8,10,0.8
K2,OVERALL,PRIMARY_RECT_E14_A31,valid_fit_fraction,48,48,1
K2,OVERALL,PRIMARY_RECT_E14_A31,lrt_split_detection_rate,27,48,0.5625
K2,OVERALL,PRIMARY_RECT_E14_A31,joint_refinement_improvement_fraction,38,48,0.791666666666667
K2,OVERALL,PRIMARY_RECT_E14_A31,median_joint_2d_rmse_deg,NaN,NaN,0.191106738854644
K2,OVERALL,PRIMARY_RECT_E14_A31,median_separation_vector_error_deg,NaN,NaN,0.267754256464842
K2,OVERALL,SENSITIVITY_FULL_PARENT_5X5,valid_fit_fraction,12,12,1
K2,OVERALL,SENSITIVITY_FULL_PARENT_5X5,lrt_split_detection_rate,7,12,0.583333333333333
K2,OVERALL,SENSITIVITY_FULL_PARENT_5X5,joint_refinement_improvement_fraction,12,12,1
K2,OVERALL,SENSITIVITY_FULL_PARENT_5X5,median_joint_2d_rmse_deg,NaN,NaN,0.127863342352704
K2,OVERALL,SENSITIVITY_FULL_PARENT_5X5,median_separation_vector_error_deg,NaN,NaN,0.159198967298104
K1_WILSON_DIAGNOSTIC,OVERALL,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.622649757584442
K1_WILSON_DIAGNOSTIC,K1V_L1_N1,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.277532799862889
K1_WILSON_DIAGNOSTIC,K1V_L1_N2,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.509837528463358
K1_WILSON_DIAGNOSTIC,K1V_L4_N1,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.763406909487436
K1_WILSON_DIAGNOSTIC,K1V_L4_N2,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.892208732593699
K1_WILSON_DIAGNOSTIC,K1V_L8_N1,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.943317848545625
K1_WILSON_DIAGNOSTIC,K1V_L8_N2,PRIMARY_RECT_E14_A31,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.943317848545625
K1_WILSON_DIAGNOSTIC,OVERALL,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.622649757584442
K1_WILSON_DIAGNOSTIC,K1V_L1_N1,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.277532799862889
K1_WILSON_DIAGNOSTIC,K1V_L1_N2,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.509837528463358
K1_WILSON_DIAGNOSTIC,K1V_L4_N1,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.763406909487436
K1_WILSON_DIAGNOSTIC,K1V_L4_N2,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.892208732593699
K1_WILSON_DIAGNOSTIC,K1V_L8_N1,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.943317848545625
K1_WILSON_DIAGNOSTIC,K1V_L8_N2,SENSITIVITY_FULL_PARENT_5X5,false_split_wilson_upper_not_formal_gate,NaN,NaN,0.943317848545625
