trial_id,global_trial_index,truth_K,trial_type,support_or_difficulty,noise_profile_id,L,snr_db,noise_seed,element_trial_hash,method_id,fit1_valid,fit2_valid,fit1_status,fit2_status,fit1_selected_start,fit2_selected_start,fit1_start_count,fit2_start_count,rss1,rss2,rss_gap,lambda_12,lrt_status,n_complex_observations,k1_estimate_az_deg,k1_estimate_el_deg,k2_estimate_target1_az_deg,k2_estimate_target1_el_deg,k2_estimate_target2_az_deg,k2_estimate_target2_el_deg,known_K_joint_rmse_deg,known_K_azimuth_rmse_deg,known_K_elevation_rmse_deg,known_K_separation_vector_error_deg,initial_known_K_joint_rmse_deg,refinement_improved_flag,score_call_count,svd_call_count,runtime_sec,shared_initialization_runtime_sec,initialization_runtime_sec,refinement_runtime_sec,continuous_solver_status,monotonicity_violation_count,truth_used_in_initialization_flag,truth_used_in_fit_flag,truth_used_in_lrt_flag,shared_element_data_flag,phase_factor
R1_K1_N1_L1_SM6_ON_GRID,1,1,K1,ON_GRID,WHITE,1,-6,2726072800,77b6dc2d20aa1e1896ddeaa2e7fd3ac75cbffb2e9398130dd1c4aedddeb2872d,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,11.1626636812304,9.22784934313893,1.93481433809143,5.71045786400165,OK,0,8,10,8.4,10,8.6,10,0,0,0,NaN,0,1,186,430,0.5574906,0.3091631,0,0.2483275,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L1_SM6_ON_GRID,1,1,K1,ON_GRID,WHITE,1,-6,2726072800,77b6dc2d20aa1e1896ddeaa2e7fd3ac75cbffb2e9398130dd1c4aedddeb2872d,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.1843442178699,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.05289499756985,9.99208949825341,NaN,NaN,NaN,NaN,0.0534832385500136,0.0528949975698545,0.00791050174658636,NaN,0,0,1731,3502,2.1763592,0.3091631,0.2316767,1.6355194,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SM6_ON_GRID,1,1,K1,ON_GRID,WHITE,1,-6,2726072800,77b6dc2d20aa1e1896ddeaa2e7fd3ac75cbffb2e9398130dd1c4aedddeb2872d,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.1843442178699,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.05289499756985,9.99208949825341,NaN,NaN,NaN,NaN,0.0534832385500136,0.0528949975698545,0.00791050174658636,NaN,0,0,1521,3061,1.5308477,0.3091631,0.0022139,1.2194707,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SM6_INSIDE_OFF_GRID,2,1,K1,INSIDE_OFF_GRID,WHITE,1,-6,2726072800,a69af32df9fd07e0e87be66a533fc6c6851bf2216e7635e4579b76e36aea23d7,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,12.4024157814924,9.65139401539341,2.75102176609903,7.52366736756898,OK,0,8.2,10,7.6,9.8,8,10,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,193,437,0.5797749,0.3238807,0,0.2558942,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L1_SM6_INSIDE_OFF_GRID,2,1,K1,INSIDE_OFF_GRID,WHITE,1,-6,2726072800,a69af32df9fd07e0e87be66a533fc6c6851bf2216e7635e4579b76e36aea23d7,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.1988989390309,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.14740798336182,10.0864989011861,NaN,NaN,NaN,NaN,0.0492929665937897,0.0474079833618237,0.0135010988138564,NaN,0.141421356237309,1,1739,3517,2.2077246,0.3238807,0.2648419,1.619002,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SM6_INSIDE_OFF_GRID,2,1,K1,INSIDE_OFF_GRID,WHITE,1,-6,2726072800,a69af32df9fd07e0e87be66a533fc6c6851bf2216e7635e4579b76e36aea23d7,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.1988989390309,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.14740798336182,10.0864989011861,NaN,NaN,NaN,NaN,0.0492929665937897,0.0474079833618237,0.0135010988138564,NaN,0.141421356237309,1,1567,3153,1.5704854,0.3238807,0.0014589,1.2451458,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SP6_ON_GRID,3,1,K1,ON_GRID,WHITE,1,6,2726072801,17b249457ef35544fb0ef812f09f5dad81de428c5a053431eac87e32f06bf577,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q2_KQ1_PLUS_KQ1,2,3,10.7631649721443,9.18907889393813,1.57408607820616,4.7434185509816,OK,0,8,10,8.2,9.8,8,10,0,0,0,NaN,0,1,152,356,0.2537337,0.1048433,0,0.1488904,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
R1_K1_N1_L1_SP6_ON_GRID,3,1,K1,ON_GRID,WHITE,1,6,2726072801,17b249457ef35544fb0ef812f09f5dad81de428c5a053431eac87e32f06bf577,M1_CONVENTIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M1_K1_CONVENTIONAL_SINGLETON_PEAK,,1,2,10.0679733484594,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.0087784275652,9.98956425552265,NaN,NaN,NaN,NaN,0.0136369187617282,0.00877842756520231,0.0104357444773466,NaN,0,0,1736,3511,1.4769105,0.1048433,0.1965134,1.1755538,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SP6_ON_GRID,3,1,K1,ON_GRID,WHITE,1,6,2726072801,17b249457ef35544fb0ef812f09f5dad81de428c5a053431eac87e32f06bf577,M2_GROUPED_CONDITIONAL_CONTINUOUS_FULL_SEQUENTIAL_DML,1,0,VALID_FOR_LRT,FIT_NOT_RETURNED,M2_K1_GROUPED_Q1_KQ1,,1,2,10.0679733484594,NaN,NaN,NaN,NOT_RUN_INVALID_FIT,0,8.0087784275652,9.98956425552265,NaN,NaN,NaN,NaN,0.0136369187617282,0.00877842756520231,0.0104357444773466,NaN,0,0,1565,3149,1.2909176,0.1048433,0.0001322,1.1859421,K1:CONTINUOUS_REFINEMENT_CONVERGED|K2:NO_VALID_START,0,0,0,0,1,1
R1_K1_N1_L1_SP6_INSIDE_OFF_GRID,4,1,K1,INSIDE_OFF_GRID,WHITE,1,6,2726072801,f233936ed090258da8a6381a652c5104ee6b89f7c39ee9d470235e032be7d973,M0_FIXED_GRID_REGISTERED_STAGE8,1,1,VALID_FOR_LRT,VALID_FOR_LRT,K1_GROUPED_Q1_KQ1,K2_GROUPED_Q1_KQ2,2,3,74.0435259661899,9.18694615356617,64.8565798126237,62.606085867133,OK,0,8.2,10,8.2,10,8,10.2,0.141421356237309,0.0999999999999996,0.0999999999999996,NaN,0.141421356237309,1,173,397,0.2708082,0.1056206,0,0.1651876,REGISTERED_STAGE8_FIXED_GRID_BASELINE,0,0,0,0,1,1
