global_trial_index,trial_id,K,mode,noise_profile_id,L,snr_db,profile_id,element_trial_hash,fit_valid,fit_status,selected_source,selected_start_id,angles_hat_deg,joint_rmse_deg,rss,loglik_concentrated,effective_rank,score_call_count,svd_call_count,runtime_sec,fixed_grid_angles_deg,fixed_grid_joint_rmse_deg,fixed_grid_rss,fixed_grid_loglik,fixed_grid_valid,fixed_grid_condition_number,continuous_rss,continuous_loglik,continuous_valid,continuous_upgrade_flag,fallback_flag,q,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,truth_used_in_fit_flag
1,V22_K1_N1_L1_SM6_C1_ON_GRID,1,CORE_LITE,WHITE,1,-6,C1_ON_GRID,137bcb32be6b56e7df5620a5d518d11d7be484a422d41aafac599829e8baea8c,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.0425780927397756 10.102528314712766],0.111017788210705,10.5153141349915,-26.8426855259304,1,220,465,0.1479997,[8 10.199999999999999],0.199999999999999,12.7012997347338,-29.6757602143926,1,NaN,10.5153141349915,-26.8426855259304,1,1,0,NaN,1,1,0,0,0,0
1,V22_K1_N1_L1_SM6_C1_ON_GRID,1,CORE_PLUS,WHITE,1,-6,C1_ON_GRID,137bcb32be6b56e7df5620a5d518d11d7be484a422d41aafac599829e8baea8c,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.0425780927397756 10.102528314712766],0.111017788210705,10.5153141349915,-26.8426855259304,1,220,465,0.1312506,[8 10.199999999999999],0.199999999999999,12.7012997347338,-29.6757602143926,1,NaN,10.5153141349915,-26.8426855259304,1,1,0,NaN,1,1,0,0,0,0
2,V22_K1_N1_L1_SM6_C2_OFF_GRID_NE,1,CORE_LITE,WHITE,1,-6,C2_OFF_GRID_NE,9a9b9db851b4c70293016beb686ada2ced09a63e2300f7e8b4af21e4f6cf3341,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.1300942491697761 10.138810359703333],0.0491111784973109,12.8997672993518,-29.9083343571326,1,210,445,0.1247604,[8.1999999999999993 10.199999999999999],0.141421356237309,15.0787145549865,-32.2494570297292,1,NaN,12.8997672993518,-29.9083343571326,1,1,0,NaN,1,1,0,0,0,0
2,V22_K1_N1_L1_SM6_C2_OFF_GRID_NE,1,CORE_PLUS,WHITE,1,-6,C2_OFF_GRID_NE,9a9b9db851b4c70293016beb686ada2ced09a63e2300f7e8b4af21e4f6cf3341,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.1300942491697761 10.138810359703333],0.0491111784973109,12.8997672993518,-29.9083343571326,1,210,445,0.1279923,[8.1999999999999993 10.199999999999999],0.141421356237309,15.0787145549865,-32.2494570297292,1,NaN,12.8997672993518,-29.9083343571326,1,1,0,NaN,1,1,0,0,0,0
3,V22_K1_N1_L1_SM6_C3_OFF_GRID_SW,1,CORE_LITE,WHITE,1,-6,C3_OFF_GRID_SW,2a7813e074cefd7dbc468b877ec7cbfd373f4be7a647279a50a10e6daab3fb1c,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[7.9520791696354527 9.9091867493873398],0.0528832324487072,6.62330727755989,-19.9091177804769,1,220,465,0.128892,[8 10],0.141421356237309,8.76387429866458,-24.1097664518897,1,NaN,6.62330727755989,-19.9091177804769,1,1,0,NaN,1,1,0,0,0,0
3,V22_K1_N1_L1_SM6_C3_OFF_GRID_SW,1,CORE_PLUS,WHITE,1,-6,C3_OFF_GRID_SW,2a7813e074cefd7dbc468b877ec7cbfd373f4be7a647279a50a10e6daab3fb1c,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[7.9520791696354527 9.9091867493873398],0.0528832324487072,6.62330727755989,-19.9091177804769,1,220,465,0.1361181,[8 10],0.141421356237309,8.76387429866458,-24.1097664518897,1,NaN,6.62330727755989,-19.9091177804769,1,1,0,NaN,1,1,0,0,0,0
4,V22_K1_N1_L1_SM6_C4_NEAR_CELL_EDGE,1,CORE_LITE,WHITE,1,-6,C4_NEAR_CELL_EDGE,f5feda52c4e95b292b44357d18a456e13695b1d267771e97ea3b633b6fba05bf,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.3930440245520934 10.154535429365588],0.0571362692057566,13.8674301238555,-30.9933392825928,1,210,445,0.123583,[8.4000000000000004 10.199999999999999],0.0707106781186532,14.2361216955827,-31.3869330119694,1,NaN,13.8674301238555,-30.9933392825928,1,1,0,NaN,1,1,0,0,0,0
4,V22_K1_N1_L1_SM6_C4_NEAR_CELL_EDGE,1,CORE_PLUS,WHITE,1,-6,C4_NEAR_CELL_EDGE,f5feda52c4e95b292b44357d18a456e13695b1d267771e97ea3b633b6fba05bf,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.3930440245520934 10.154535429365588],0.0571362692057566,13.8674301238555,-30.9933392825928,1,210,445,0.1387212,[8.4000000000000004 10.199999999999999],0.0707106781186532,14.2361216955827,-31.3869330119694,1,NaN,13.8674301238555,-30.9933392825928,1,1,0,NaN,1,1,0,0,0,0
5,V22_K1_N1_L1_SP0_C1_ON_GRID,1,CORE_LITE,WHITE,1,0,C1_ON_GRID,939579734a9faec26836548cd6d5bfaf165926ea6d9e741aa7ef31ec2dac2ce0,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.0042948746701246 9.9815466540653528],0.0189465544259593,12.0134664259076,-28.8406186124399,1,209,443,0.1281381,[8 10],0,12.2653645524633,-29.1518862750778,1,NaN,12.0134664259076,-28.8406186124399,1,1,0,NaN,1,1,0,0,0,0
5,V22_K1_N1_L1_SP0_C1_ON_GRID,1,CORE_PLUS,WHITE,1,0,C1_ON_GRID,939579734a9faec26836548cd6d5bfaf165926ea6d9e741aa7ef31ec2dac2ce0,1,KNOWN_K_FIT_VALID,CONTINUOUS_UPGRADE,B1_K1_CONVENTIONAL_SINGLETON_PEAK,[8.0042948746701246 9.9815466540653528],0.0189465544259593,12.0134664259076,-28.8406186124399,1,209,443,0.1393054,[8 10],0,12.2653645524633,-29.1518862750778,1,NaN,12.0134664259076,-28.8406186124399,1,1,0,NaN,1,1,0,0,0,0
