row_type,comparison_set,scope_type,scope_value,method_id,total_row_count,applicable_count,valid_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_separation_error_deg,p90_separation_error_deg,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_runtime_sec,p90_runtime_sec,comparison_id,paired_count,wins,ties,losses
METHOD,ALL_72,ALL,ALL,CORE_LITE,72,72,72,0.183811850990091,0.379192294969721,0.111803398874989,0.333491953564155,18.4349488229221,45.0000000000001,0.200000000000001,0.432455532033676,0.209316976878972,0.447213595499958,0.16847655,0.20971774,,0,0,0,0
METHOD,ALL_72,ALL,ALL,CORE_PLUS,72,72,72,0.149626996474891,0.376176285107754,0.100000000000001,0.286042975891651,2.69384766999316,45.0000000000001,0.189961428040542,0.436543083521303,0.206155281280883,0.447213595499958,2.57997365,3.73130391,,0,0,0,0
METHOD,ALL_72,ALL,ALL,TANGENT_PROFILE_SAFE,72,72,72,0.0775186890096949,0.252820120179067,0.0298956121224337,0.113458866029915,6.0771458852456,26.5299703244257,0.107609189968801,0.30507622190136,0.124214296061161,0.348286111920459,4.95313365,5.35530264,,0,0,0,0
METHOD,ALL_72,ALL,ALL,FULL4D_BEAMSPACE_CML_MULTISTART,72,72,72,0.135869740106959,0.336851510259108,0.0967243495414444,0.265470245860935,4.84455461124083,27.7263979363041,0.135907452865804,0.422894634335067,0.147068520215505,0.432795825273518,5.480052,7.47654163,,0,0,0,0
METHOD,ELEMENT_REFERENCE_24,ALL,ALL,TANGENT_PROFILE_SAFE,24,24,24,0.0765091670672102,0.325921606978476,0.0363008508820863,0.109848826033631,4.07041281549757,24.3052828356271,0.102802578113203,0.218123893356536,0.107889934563037,0.228190268924595,4.94605905,5.33479947,,0,0,0,0
METHOD,ELEMENT_REFERENCE_24,ALL,ALL,FULL4D_BEAMSPACE_CML_MULTISTART,24,24,24,0.16352011693301,0.365684996958073,0.101661930069153,0.317037017423619,4.61800394875521,23.7719491745687,0.158288892447292,0.323931135309061,0.16323946681171,0.339363911421273,5.3743425,5.99335585,,0,0,0,0
METHOD,ELEMENT_REFERENCE_24,ALL,ALL,FULL4D_ELEMENT_CML_MULTISTART,24,24,24,0.164849075164194,0.339412532238778,0.0963250797181775,0.308766711179446,4.69347857532609,23.7312515637259,0.158734889756945,0.403397803443327,0.163669311674284,0.411231101711839,14.7131242,96.61137747,,0,0,0,0
METHOD,MUSIC_APPLICABLE_48,ALL,ALL,TANGENT_PROFILE_SAFE,48,48,48,0.075522316196436,0.12915199612389,0.0260914743809628,0.100000000000001,3.82790241231851,17.1768578736238,0.107609189968801,0.1993,0.116415460192488,0.19932965312196,5.02643735,5.46602394,,0,0,0,0
METHOD,MUSIC_APPLICABLE_48,ALL,ALL,FULL4D_BEAMSPACE_CML_MULTISTART,48,48,48,0.112998174679587,0.285503702237247,0.0935342893478972,0.261181296866084,2.98398808081878,19.4717944502094,0.126169539129938,0.293700399491857,0.129287119382403,0.294848562525141,5.3853182,5.9921016,,0,0,0,0
METHOD,MUSIC_APPLICABLE_48,ALL,ALL,BEAMSPACE_MUSIC_K2,48,48,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45414199375,0.6738142425,,0,0,0,0
METHOD,MUSIC_APPLICABLE_48,ALL,ALL,ELEMENT_MUSIC_K2,48,48,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3364232125,6.6812021825,,0,0,0,0
PAIRED,ALL_72,PAIR,TANGENT_PROFILE_SAFE_vs_FULL4D_BEAMSPACE_CML_MULTISTART,TANGENT_PROFILE_SAFE,72,72,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_PROFILE_SAFE_vs_FULL4D_BEAMSPACE_CML_MULTISTART,72,56,0,16
PAIRED,ELEMENT_REFERENCE_24,PAIR,TANGENT_PROFILE_SAFE_vs_FULL4D_BEAMSPACE_CML_MULTISTART,TANGENT_PROFILE_SAFE,24,24,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TANGENT_PROFILE_SAFE_vs_FULL4D_BEAMSPACE_CML_MULTISTART,24,21,0,3
