trial_id,element_trial_hash,noise_profile_id,L,SNR,snr_db,profile_id,K1_center_deg,K1_center_error_deg,tangent_axis_hat,axis_status,axis_error_deg,line_t_min_deg,line_t_max_deg,raw_anchor_valid_count,anchor_scan_node_count,selected_t_deg,selected_rho_deg,selected_alpha_deg,q0,q1,q2,curvature_valid_flag,B0_rank,B0_condition,projector_expansion_status,conditional_status,conditional_invalid_count,q2_nonconcave_count,rho_out_of_contract_count,raw_candidate_valid,raw_candidate_angles,raw_candidate_loglik,raw_candidate_RSS,upgrade_flag,fallback_flag,fallback_reason,center_error_deg,rho_error_deg,rho_relative_error,separation_vector_error_deg,joint_RMSE_deg,score_call_count,SVD_call_count,runtime_sec,tangent_raw_candidate_valid,truth_used_in_fit_flag
VA1_K2_N1_L1_SM6_P1,c220e51b76b510438e4ee5f24ed3b1095d1cbb9a87ed60c0e10efb5bc7892c36,WHITE,1,-6,-6,P1,[7.9833025131778159 10.019911749521766],0.0259862239502887,[0.49920741033885802 0.86648252230657896],TANGENT_DIRECTION_VALID,15.0524234707584,-0.25379825196746,0.20783829545556,0,65,NaN,NaN,NaN,NaN,NaN,NaN,0,0,Inf,NOT_RUN,NOT_RUN,65,0,65,0,[NaN NaN;NaN NaN],NaN,NaN,0,1,ANCHOR_PROFILE_NO_VALID_SCAN_NODE,0.141421356237309,NaN,NaN,0.0171572875253814,0.141681308325435,379,895,4.6454229,1,0
VA1_K2_N1_L1_SM6_P2,1a1e738854f2670f481f5f4fdf0119e5ea3cb345d3a49b98d481be0da0d81a94,WHITE,1,-6,-6,P2,[8.0655772582560221 10.07977083264548],0.156310137991498,[0.9119365531063971 0.41033123584297532],TANGENT_DIRECTION_VALID,24.2256442158543,-0.681817049756702,0.293005154987832,22,65,-0.529657330265368,0.345260296485658,-0.357027182022539,515.438084793597,6.7279237736154,-9.74326304254748,1,2,1.55831894138411,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,43,0,13,1,[7.5825633781662853 9.8624358857444001;7.8974188628679087 10.004106969888872],-23.358280455111,8.33562928339279,1,0,NOT_APPLICABLE,0.464823484291345,0.145260296485659,0.726301482428296,0.182380038514951,0.473683957044066,390,919,4.7364208,1,0
VA1_K2_N1_L1_SM6_P3,0fe0810a5035505accb3aba4a9c5e7b17e70311f3fe0d23d243e50a4f0e5bcba,WHITE,1,-6,-6,P3,[7.7371495927790876 9.8000000000000007],0.341350633706774,[0.00048699811163714158 0.99999988141641272],TANGENT_DIRECTION_VALID,0.0279029375168158,0,0.400000047433439,0,65,NaN,NaN,NaN,NaN,NaN,NaN,0,0,Inf,NOT_RUN,NOT_RUN,65,0,65,0,[NaN NaN;NaN NaN],NaN,NaN,0,1,ANCHOR_PROFILE_NO_VALID_SCAN_NODE,0.0999999999999996,NaN,NaN,0.0500000000000007,0.103077640640441,325,793,5.132307,0,0
VA1_K2_N1_L1_SM6_P4,4576e8833804b8a64ee1576dd1b3cff8c3f384991590020034ef9a8c354b0d2b,WHITE,1,-6,-6,P4,[8.1387653434157414 9.9949465564237112],0.0593543998747381,[0.97474578424897884 0.22331738868445319],TANGENT_DIRECTION_VALID,57.9039542718332,-0.757905656380904,0.473184561592774,0,65,NaN,NaN,NaN,NaN,NaN,NaN,0,0,Inf,NOT_RUN,NOT_RUN,65,6,39,0,[NaN NaN;NaN NaN],NaN,NaN,0,1,ANCHOR_PROFILE_NO_VALID_SCAN_NODE,0.111803398874989,NaN,NaN,0.732709297750583,0.383034892343424,339,815,5.1127773,1,0
VA1_K2_N1_L1_SP0_P1,963c4c2b4b6ded9974c4e9f049df7b9f051fb55c07dfa8e77bacc7b15904b220,WHITE,1,0,0,P1,[7.4000000000000004 9.8000000000000007],0.632455532033675,[0.70439785987524106 0.70980536416906581],TANGENT_DIRECTION_VALID,0.219081429396492,0,0.56353476627816,0,65,NaN,NaN,NaN,NaN,NaN,NaN,0,0,Inf,NOT_RUN,NOT_RUN,65,0,65,0,[NaN NaN;NaN NaN],NaN,NaN,0,1,ANCHOR_PROFILE_NO_VALID_SCAN_NODE,0,NaN,NaN,0.265685424949237,0.132842712474619,293,723,4.9736826,0,0
VA1_K2_N1_L1_SP0_P2,fe464ee7654b4b7fb59f9177c4cc1f78456ae64582a51007eaa2936972d31694,WHITE,1,0,0,P2,[8.1767835198018126 10.001823610230979],0.023287990618929,[0.9912217708271378 0.13220968587177315],TANGENT_DIRECTION_VALID,7.59730032909512,-0.783662690493183,0.426964472183686,2,65,-0.0276457138201402,0.259189382865491,0.101948977612605,2086.82282522986,0.570757458159771,-1.10104328319646,1,2,1.29605348816891,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,63,0,40,1,[8.1493804863932322 9.9981685790911161;8.4062946454567573 10.032435925981062],-33.2232402274862,16.0900810307462,0,1,ANCHOR_LOGLIK_BELOW_FIXED_GRID,0,0.0591893828654914,0.295946914327458,0.200000000000001,0.100000000000001,318,777,4.9477848,1,0
VA1_K2_N1_L1_SP0_P3,e09203064bfe6aafbaa31dda3c8ec2df0de04efe13f961c62b76cfef8bb60d47,WHITE,1,0,0,P3,[7.9035886355695268 10.056202500363799],0.0439442747082467,[0.17166696332772596 0.98515504043873059],TANGENT_DIRECTION_VALID,9.88475398413342,-0.260063126967001,0.145964334275914,5,65,-0.000592409608258682,0.13881329508067,0.0688142379320765,2066.71376758549,0.199743711008849,-0.7194689488956,1,2,2.88904966363722,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,60,0,41,1,[7.9034869384110307 10.055618885052219;7.9273165952470448 10.192371502380849],-22.8564911625342,8.06139318045916,1,0,NOT_APPLICABLE,0.028512869777525,0.0111867049193282,0.074578032795522,0.0272643667185552,0.0316041162839751,386,908,4.9819843,1,0
VA1_K2_N1_L1_SP0_P4,51f10c12d4c30475b2620149cbaa3de2f8b6ba4ace168f76f094ab91ef15132b,WHITE,1,0,0,P4,[8.1699828999339257 9.8890640115016559],0.0927944016491951,[-0.13291189378192048 0.9911278567830204],TANGENT_DIRECTION_VALID,37.3621078929976,-0.0898612735906113,0.313719351514922,1,65,-0.00808708411604991,0.145920888575933,0.0648733601719164,2058.23335796493,0.0276316100630186,-0.0946801048591476,1,2,2.93305390368056,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,64,0,13,1,[8.1710577695989635 9.8810486771540909;8.1516631479559951 10.025674934708229],-28.0563393134301,11.4014773162376,0,1,ANCHOR_LOGLIK_BELOW_FIXED_GRID,0.0500000000000007,0.0459208885759329,0.459208885759329,0.35376148215657,0.183811850990091,398,936,5.0840408,1,0
VA1_K2_N1_L1_SP6_P1,f2a4106f9b1e08e24ae0435cd0c188d9fee0e6099cd80260d00b80bf4ec2d33b,WHITE,1,6,6,P1,[7.9995692869995345 10.006100090490024],0.00611527739969787,[0.12578481381318463 0.99205754904339216],TANGENT_DIRECTION_VALID,37.7739199639337,-0.207750135754482,0.195452279655496,23,65,0.119039326766125,0.0682821760292678,0.153180414780759,8020.97465933323,0.320368407407361,-2.3459153327952,1,2,2.91478964061057,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,42,6,27,1,[8.0145426265532578 10.124193953241402;8.0231314873518595 10.191933801436347],-31.2751170922978,14.1303945816553,0,1,ANCHOR_LOGLIK_BELOW_FIXED_GRID,0,0.231717823970732,0.772392746569107,0.283362616650871,0.141681308325435,320,780,4.6022582,1,0
VA1_K2_N1_L1_SP6_P2,e6844047661deaf185b9261f2e8ca6fc1e7ca1c7ac1663acae1f05de49d34b59,WHITE,1,6,6,P2,[8.1407853069152019 10.015631759045768],0.0612432181387596,[0.94770012950209048 0.31916212892779289],TANGENT_DIRECTION_VALID,18.6122615685768,-0.675618250104326,0.484556959305327,10,65,-0.114142758046525,0.346721221394356,0.0592178526506528,8158.62143294769,5.04941239243896,-7.28166042466697,1,2,1.44238417838038,PROJECTOR_EXPANSION_VALID,CONDITIONAL_RHO_VALID,55,0,30,1,[8.0326122003327836 9.9792017133859492;8.3611999467493376 10.089861996550615],-28.1703432266388,11.4884616513718,1,0,NOT_APPLICABLE,0.0346701801045768,0.146721221394357,0.733606106971788,0.169648185367755,0.0916359541235146,346,832,5.1681309,1,0
