scope_type,scope_value,N,classification,median_joint_tangent,median_joint_anchored,p90_joint_tangent,p90_joint_anchored,wins,ties,losses,median_rho_tangent,median_rho_anchored,median_vector_tangent,median_vector_anchored,claim_authorized,analysis_only_flag,fitting_rerun,new_trial_count,new_seed_count
PROFILE,P1,18,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,0.0980031637599268,0.0660984440932298,0.150765604015775,0.147637546791677,7,4,7,0.0986315512015677,0.0473600196161592,0.122916265757685,0.0551372979531804,1,1,0,0,0
PROFILE,P2,18,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,0.111420879696067,0.105770856521755,0.221167974364494,0.414144967116639,6,0,12,0.160092825823576,0.121945758774037,0.18849239648184,0.137595314262148,1,1,0,0,0
PROFILE,P3,18,SEPARATION_STRUCTURE_ONLY,0.0750349434885263,0.0851670287010307,0.101362398576705,0.225052918923805,5,1,12,0.145415569877759,0.110833198893431,0.148942113404092,0.113978240748143,1,1,0,0,0
PROFILE,P4,18,NOT_SUPPORTED,0.113064045082472,0.19382870306074,0.287226635156725,0.347668630837298,5,3,10,0.099,0.139482936062183,0.0992247720461717,0.200188124781388,1,1,0,0,0
L,1,24,SEPARATION_STRUCTURE_ONLY,0.124151075396537,0.151666388442239,0.209680650638421,0.386950247706446,5,8,11,0.148926195308425,0.147101406781473,0.194364148363278,0.185306952558131,1,1,0,0,0
L,4,24,MEDIAN_GAIN_BUT_TAIL_UNSTABLE,0.0925940030024575,0.0899860152204336,0.192163284180226,0.219300643052733,9,0,15,0.148999999999997,0.10720890228853,0.149011013318719,0.107627604905165,1,1,0,0,0
L,8,24,SEPARATION_STRUCTURE_ONLY,0.0701089604186677,0.0795766706717966,0.145639399400643,0.231460756254553,9,0,15,0.0974537451006645,0.0794757457642991,0.0984949338599008,0.088326152632377,1,1,0,0,0
SNR,-6,24,SEPARATION_STRUCTURE_ONLY,0.113570282616239,0.158179181209447,0.197116430816897,0.370615475897218,6,4,14,0.14897495970658,0.0993950151637263,0.150261728879109,0.111659737020341,1,1,0,0,0
SNR,0,24,SEPARATION_STRUCTURE_ONLY,0.0846069824562869,0.0995136384922181,0.209229490336527,0.217611949154319,11,2,11,0.144651014487443,0.116712393810588,0.148421877559375,0.124190020878016,1,1,0,0,0
SNR,6,24,NOT_SUPPORTED,0.0747429183782889,0.0880293805981186,0.134518746810438,0.203100822395943,6,2,16,0.0946065966939462,0.102265727578472,0.0990016503358098,0.120290571334073,1,1,0,0,0
