diagnostic_name,quartile,N,value_min,value_max,wins,ties,losses,median_delta_joint_RMSE_deg,p90_delta_joint_RMSE_deg,median_delta_center_error_deg,median_delta_rho_error_deg,median_delta_vector_error_deg,raw_candidate_valid_rate,fallback_rate,classification,claim_authorized,analysis_only_flag,fitting_rerun,new_trial_count,new_seed_count
b_parallel_abs,Q1,18,0.000387007637934572,0.0304446367460272,5,2,11,0.0216586707835055,0.064168781430504,0.0245357655228504,0,0,0.888888888888889,0.222222222222222,DESCRIPTIVE_ONLY,0,1,0,0,0
b_parallel_abs,Q2,18,0.0367323206222732,0.195134908756768,6,0,12,0.0276014287985845,0.158747348882177,0.0586354736264535,-0.00479878166211098,-0.004782838208122,0.888888888888889,0.222222222222222,DESCRIPTIVE_ONLY,0,1,0,0,0
b_parallel_abs,Q3,18,0.195562963904427,0.336119748767767,5,0,13,0.0234019040525824,0.154383302237807,0.0347910442736883,-0.005398795701854,0.00471979431183855,0.944444444444444,0.111111111111111,DESCRIPTIVE_ONLY,0,1,0,0,0
b_parallel_abs,Q4,18,0.339423207083706,2.00052848177146,7,6,5,0,0.204464316478217,0,0,-7.50553197051973e-05,0.833333333333333,0.333333333333333,DESCRIPTIVE_ONLY,0,1,0,0,0
b_perp,Q1,18,0.00142466450532316,0.0234483260940264,8,1,9,0.00262830244411821,0.069549142315961,0.0002985352282113,-0.0016152707567334,-0.00159228287172955,1,0.0555555555555556,DESCRIPTIVE_ONLY,0,1,0,0,0
b_perp,Q2,18,0.0238476992784236,0.0537490213347079,9,0,9,-0.00144298367851674,0.0587442482311812,0.00953337255007245,-0.0361120642862286,-0.0271061942213235,0.944444444444444,0.166666666666667,DESCRIPTIVE_ONLY,0,1,0,0,0
b_perp,Q3,18,0.0555473434897812,0.115461562501267,5,1,12,0.0299209148213689,0.149636435902749,0.0355165153993873,-7.50553622838462e-05,0.000238288883066599,0.944444444444444,0.111111111111111,DESCRIPTIVE_ONLY,0,1,0,0,0
b_perp,Q4,18,0.13457945881682,1.08469525650691,1,6,11,0.0459266826619547,0.229363092648993,0.048412895872944,0,0,0.666666666666667,0.555555555555556,DESCRIPTIVE_ONLY,0,1,0,0,0
K1_center_error_over_rho,Q1,18,0.0072638889714721,0.05714597346633,5,1,12,0.0255193800269315,0.069549142315961,0.0289011307034154,-0.00110335474040945,-0.00109097110552055,0.944444444444444,0.166666666666667,DESCRIPTIVE_ONLY,0,1,0,0,0
K1_center_error_over_rho,Q2,18,0.0577771333062153,0.223774776766765,6,1,11,0.017154864267481,0.130377453649351,0.0322143762892315,-0.00479878166211098,-0.004782838208122,0.833333333333333,0.277777777777778,DESCRIPTIVE_ONLY,0,1,0,0,0
K1_center_error_over_rho,Q3,18,0.243884536697852,0.346072258844336,6,0,12,0.0190579136658523,0.154383302237807,0.017139248844097,-0.00583522096911265,0.000206494714344557,1,0.0555555555555556,DESCRIPTIVE_ONLY,0,1,0,0,0
K1_center_error_over_rho,Q4,18,0.413711355300779,2.27567089137849,6,6,6,0,0.229363092648993,0,0,0,0.777777777777778,0.388888888888889,DESCRIPTIVE_ONLY,0,1,0,0,0
diagnostic_axis_error_deg,Q1,18,0.0279029375168158,1.48942582230024,6,3,9,0.00262830244411821,0.0554976666312083,0.00254353412143441,-0.00141630260593384,-0.0014162601000962,0.888888888888889,0.222222222222222,DESCRIPTIVE_ONLY,0,1,0,0,0
diagnostic_axis_error_deg,Q2,18,1.66144959376957,3.81666779033338,8,0,10,0.0186636598343002,0.124916573421968,0.0177139226172995,-0.00198446187485685,-0.0019711173505861,0.944444444444444,0.0555555555555556,DESCRIPTIVE_ONLY,0,1,0,0,0
diagnostic_axis_error_deg,Q3,18,3.98116823638162,13.9046824447036,8,0,10,0.00363260917218606,0.136038817280638,0.0142652932777289,-0.00463987491842199,-0.004615453396955,0.944444444444444,0.222222222222222,DESCRIPTIVE_ONLY,0,1,0,0,0
diagnostic_axis_error_deg,Q4,18,14.6157748580011,79.2529268070415,1,5,12,0.0687289809147687,0.177640383432397,0.0980324106243229,0,0,0.777777777777778,0.388888888888889,DESCRIPTIVE_ONLY,0,1,0,0,0
anchor_valid_ratio,Q1,18,0,0.0615384615384615,3,5,10,0.017154864267481,0.106347496443707,0.0322143762892315,0,0.000238288883066599,0.555555555555556,0.666666666666667,DESCRIPTIVE_ONLY,0,1,0,0,0
