global_trial_index,trial_id,method_id,run_role,noise_profile_id,L,snr_db,profile_id,element_trial_hash,element_hash_match_flag,applicable,applicability_status,elevation_fit_valid,elevation_fit_status,elevations_hat_deg,elevation_selection_values,elevation_candidate_count,root_count,registered_root_count,selected_root_moduli,esprit_eigenvalue_moduli,conditional_az_cml_valid,conditional_az_cml_status,raw_vertical_eigenvalues_top3,fbss_eigenvalues_top3,vertical_hermitian_residual,fbss_hermitian_residual,fbss_structure_residual,truth_used_in_fit_flag,profile_used_in_fit_flag
1,TP1_K2_N1_L1_SM6_P1,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P1,984bad696a0febf494ab460bd9d6b7a70c485a11b818490c10325c77e422ed92,1,1,APPLICABLE,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_ELEVATION_INVALID,[8.9438235978795646 2.516102306580986 2.1676561468262148],[8.4604204189490098 1.7130346945540866 1.6093252440213144],0,0,0,0,0
1,TP1_K2_N1_L1_SM6_P1,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P1,984bad696a0febf494ab460bd9d6b7a70c485a11b818490c10325c77e422ed92,1,1,APPLICABLE,0,ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS,[NaN NaN],[NaN NaN],1,60,1,[NaN NaN],[NaN NaN],0,NOT_RUN_ELEVATION_INVALID,[8.9438235978795646 2.516102306580986 2.1676561468262148],[8.4604204189490098 1.7130346945540866 1.6093252440213144],0,0,0,0,0
1,TP1_K2_N1_L1_SM6_P1,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,FORMAL,WHITE,1,-6,P1,984bad696a0febf494ab460bd9d6b7a70c485a11b818490c10325c77e422ed92,1,1,APPLICABLE,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,0,0,[NaN NaN],[0.98390677538329507 0.37706161144582651],0,NOT_RUN_ELEVATION_INVALID,[8.9438235978795646 2.516102306580986 2.1676561468262148],[8.4604204189490098 1.7130346945540866 1.6093252440213144],0,0,0,0,0
2,TP1_K2_N1_L1_SM6_P2,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P2,652bdeec1a071e2b177d30869787f2306e53efe1d1875242b50d8518dfd6cac1,1,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,[NaN NaN],[NaN NaN],0,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_STRUCTURAL_NA,[NaN NaN NaN],[NaN NaN NaN],NaN,NaN,NaN,0,0
2,TP1_K2_N1_L1_SM6_P2,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P2,652bdeec1a071e2b177d30869787f2306e53efe1d1875242b50d8518dfd6cac1,1,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,[NaN NaN],[NaN NaN],0,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_STRUCTURAL_NA,[NaN NaN NaN],[NaN NaN NaN],NaN,NaN,NaN,0,0
2,TP1_K2_N1_L1_SM6_P2,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,FORMAL,WHITE,1,-6,P2,652bdeec1a071e2b177d30869787f2306e53efe1d1875242b50d8518dfd6cac1,1,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,0,NOT_APPLICABLE_EQUAL_ELEVATION_MULTIPLICITY,[NaN NaN],[NaN NaN],0,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_STRUCTURAL_NA,[NaN NaN NaN],[NaN NaN NaN],NaN,NaN,NaN,0,0
3,TP1_K2_N1_L1_SM6_P3,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P3,fe02f667556db2a93b3891e81e7f2c4e4a03a0a4efb2a634acb6fdab773c9779,1,1,APPLICABLE,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_ELEVATION_INVALID,[9.5964562970058118 2.532955374631725 2.3758625273927354],[6.4774252494563189 3.4740719608549773 1.7228198534462178],0,0,0,0,0
3,TP1_K2_N1_L1_SM6_P3,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P3,fe02f667556db2a93b3891e81e7f2c4e4a03a0a4efb2a634acb6fdab773c9779,1,1,APPLICABLE,0,ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS,[NaN NaN],[NaN NaN],0,60,0,[NaN NaN],[NaN NaN],0,NOT_RUN_ELEVATION_INVALID,[9.5964562970058118 2.532955374631725 2.3758625273927354],[6.4774252494563189 3.4740719608549773 1.7228198534462178],0,0,0,0,0
3,TP1_K2_N1_L1_SM6_P3,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,FORMAL,WHITE,1,-6,P3,fe02f667556db2a93b3891e81e7f2c4e4a03a0a4efb2a634acb6fdab773c9779,1,1,APPLICABLE,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,0,0,[NaN NaN],[1.0071462530346182 0.93432716679926386],0,NOT_RUN_ELEVATION_INVALID,[9.5964562970058118 2.532955374631725 2.3758625273927354],[6.4774252494563189 3.4740719608549773 1.7228198534462178],0,0,0,0,0
4,TP1_K2_N1_L1_SM6_P4,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,FORMAL,WHITE,1,-6,P4,fd59f10795f9b4ea86f5bd8912c47704d5f45eef353578dd0937a6a20f93fcae,1,1,APPLICABLE,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,0,0,[NaN NaN],[NaN NaN],0,NOT_RUN_ELEVATION_INVALID,[10.161778457006246 2.3889518090172022 2.2333785890829967],[9.542090599763366 1.6091876483449425 1.4728901282641687],0,0,0,0,0
