scope_type,scope_value,N,element_expected_snr_median_db,element_expected_snr_min_db,element_expected_snr_max_db,element_realized_snr_median_db,element_realized_snr_p90_db,raw_expected_snr_median_db,raw_expected_snr_min_db,raw_expected_snr_max_db,white_expected_snr_median_db,white_expected_snr_min_db,white_expected_snr_max_db,raw_peak_beam_snr_median_db,raw_peak_beam_snr_p90_db,white_receive_gain_median_db,white_receive_gain_min_db,white_receive_gain_max_db,k2_projected_expected_snr_median_db,k2_projected_expected_snr_p90_db
ALL,ALL,72,-4.82163733276644e-16,-6,6,0.00803395858421296,6.04383136037519,29.859283128349,19.9125885180921,37.2463237133762,22.0329332039122,15.419636189126,28.7586511928086,31.7604414338602,39.1269438728807,22.0298285000719,21.419636189126,23.0947966576339,-2.42193326845829,7.95013031576792
SNR,-6,24,-6,-6,-6,-6.00773323835699,-5.8981728149425,22.4998889381824,19.9125885180921,25.2529575259205,16.0298285000641,15.419636189126,17.0947966576339,24.4070283149009,27.1372062901548,22.0298285000641,21.419636189126,23.0947966576339,-5.19915321574334,0.426160561102223
SNR,0,24,-4.82163733276644e-16,-1.92865493310657e-15,9.64327466553287e-16,0.00803395858421296,0.154086480530276,29.859283128349,28.4555705337336,31.2515871987406,22.0329332039122,21.4197201361639,22.6999328246515,31.7604414338602,33.1391808435533,22.0329332039122,21.4197201361639,22.6999328246515,-0.495658676902198,4.26395312820292
SNR,6,24,6,6,6,6.00793303359366,6.10259854021231,35.8581615856687,34.4836137882674,37.2463237133762,28.0333342920124,27.4197195094785,28.7586511928086,37.7778176336173,39.1372943496568,22.0333342920124,21.4197195094785,22.7586511928086,1.2534370990505,9.70301087199574
PROFILE,P1,18,-9.64327466553287e-16,-6,6,-0.00415463515032345,5.99153682453167,29.8584439499017,21.0806751049458,37.2463237133762,22.0419108128362,15.4197201460617,28.6641009188011,31.7689646014978,39.134589878599,22.0350166063291,21.4197201460617,23.0947966576339,1.95013031576792,10.2639531282032
PROFILE,P2,18,9.64327466553287e-16,-6,6,-0.00392556470584424,6.08334180772146,29.8561872381283,22.4875325794646,37.2223443272001,22.0410561151626,15.4197207417143,28.7586511928086,31.7481826458768,39.1080332460008,22.0410561151626,21.4197207397321,22.7586511928086,1.77834684103467,8.39414560751193
PROFILE,P3,18,-9.64327466553287e-16,-6,6,0.0103174747288759,6.02950064262798,29.8558391411516,19.9125885180921,37.2274558509482,22.0452723003032,15.419636189126,28.6831939042935,31.7684761468469,39.1150176126213,22.0447898110969,21.419636189126,22.7199298464111,-6.10376073045842,3.01619126036337
PROFILE,P4,18,-9.64327466553287e-16,-6,6,0.00833152678863706,6.04886455814721,29.859283128349,22.4563137619358,37.2327412697731,22.0329330904638,15.4197200445974,28.6485704062801,31.7614132294361,39.1324465686135,22.0298283878527,21.4197200445974,22.6542013727311,-8.13152498192886,-1.70276819060014
NOISE,WHITE,36,-4.82163733276644e-16,-6,6,0.00819683002728489,6.03147338163924,31.2243830789925,19.9125885180921,37.2463237133762,21.4197204092832,15.419636189126,27.4197207417143,33.134589878599,39.1354001212808,21.4197204457247,21.419636189126,21.4197207451514,-4.04986968423209,5.90633719310246
NOISE,STAGE5_TOEPLITZ_CORRELATED,36,-4.82163733276644e-16,-6,6,0.00787626964555865,6.04865120306749,28.4902484784688,21.0806751049458,34.5247385398601,22.664100918801,16.6399362549925,28.7586511928086,30.387872976576,36.4092375710526,22.664100918801,22.6399362549925,23.0947966576339,-1.40676043558115,9.32904936785751
L,1,24,0,-6,6,0.0967992776450832,6.06552251758045,29.8616919725265,19.9125885180921,37.2463237133762,22.0329332039122,15.419636189126,28.7586511928086,31.7637363751308,39.1221916823493,22.0298285000719,21.419636189126,23.0947966576339,-2.40328730596477,12.0505064099223
L,4,24,-9.64327466553287e-16,-6,6,0.00774157288420648,6.01586549984572,29.8558391411516,22.3970417778059,37.2327412697731,22.0369610572227,15.4197200445974,28.680492164836,31.7573429777362,39.1274222556002,22.0299073460846,21.4197200445974,22.7199298464111,-2.57756400580508,7.26056019686114
L,8,24,-9.64327466553287e-16,-6,6,-0.0145008558056357,6.01856240825423,29.8548939445251,22.4861905315167,37.2291730646865,22.0335221164954,15.4197201296781,28.6831939042935,31.7570185631664,39.1102282820949,22.0320454105246,21.4197195094785,22.6831939042935,-2.67095063214259,7.4134245610754
