trial_id,element_trial_hash,noise_profile_id,L,profile_id,original_element_snr_label_db,N_element,raw_beam_count,whitening_rank,element_signal_energy,element_noise_expected_energy,element_noise_realized_energy,element_snr_expected_db,element_snr_realized_db,raw_beam_signal_energy,raw_beam_noise_expected_energy,raw_beam_noise_realized_energy,raw_beam_snr_expected_db,raw_beam_snr_realized_db,white_beam_signal_energy,white_beam_noise_expected_energy,white_beam_noise_realized_energy,white_beam_snr_expected_db,white_beam_snr_realized_db,raw_receive_gain_db,white_receive_gain_db,raw_peak_beam_index,raw_peak_beam_snr_expected_db,raw_median_beam_snr_expected_db,true_center_projected_signal_energy,true_center_projected_noise_expected_energy,true_center_projected_noise_realized_energy,k2_projected_snr_expected_db,k2_projected_snr_realized_db,raw_covariance_residual,whitening_covariance_residual,whitening_trace,truth_only_diagnostic_flag,fitting_rerun_flag
TP1_K2_N1_L1_SM6_P1,984bad696a0febf494ab460bd9d6b7a70c485a11b818490c10325c77e422ed92,WHITE,1,P1,-6,2080,15,15,522.472377753993,2080,2014.2986427002,-6,-5.86060525128528,5027.90440209532,15,11.5157913061314,25.2529575259205,26.4009322583217,522.472373020316,14.9999999779448,13.7666125812658,15.4197207261087,15.7923624031672,31.2529575259205,21.4197207261087,8,27.1779555757829,25.9535953054514,0.322042102611665,13.9999999779449,12.7704638175764,-16.382153815075,-15.9829401744608,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SM6_P2,652bdeec1a071e2b177d30869787f2306e53efe1d1875242b50d8518dfd6cac1,WHITE,1,P2,-6,2080,15,15,522.472377753993,2080,2169.63239445476,-6,-6.18322821658166,4992.31238296494,15,12.4137051915606,25.2221049349074,26.0440032527172,522.472375309333,14.9999999779448,13.3045397412132,15.4197207451357,15.9406347781696,31.2221049349074,21.4197207451357,8,27.1172576598092,25.5450663430844,6.8445684092355,13.9999999779448,12.3908962993635,-3.1078196651191,-2.57756653857495,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SM6_P3,fe02f667556db2a93b3891e81e7f2c4e4a03a0a4efb2a634acb6fdab773c9779,WHITE,1,P3,-6,2080,15,15,522.472377753993,2080,2079.887636251,-6,-5.99976538329668,1470.11094478915,15,23.4123151610762,19.9125885180921,17.9790574919881,522.462203006663,14.9999999779448,14.179369567297,15.419636189126,15.6639795533532,25.9125885180921,21.419636189126,7,22.0726996114905,20.2980514612616,377.884500928306,13.9999999779448,12.529505041518,14.3123104454044,14.7942516432513,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SM6_P4,fd59f10795f9b4ea86f5bd8912c47704d5f45eef353578dd0937a6a20f93fcae,WHITE,1,P4,-6,2080,15,15,522.472377753993,2080,2052.36977404282,-6,-5.94192275063134,5000.79110457541,15,12.9231625887326,25.2294745431522,25.8766990507106,522.472343537838,14.9999999779448,13.8770909796987,15.4197204810416,15.7576487094092,31.2294745431522,21.4197204810416,8,27.1367998906633,25.5832347544955,0.300028067793713,13.9999999779448,12.5364378314501,-16.6896614988195,-16.2101226622193,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP0_P1,69c1f2c361e00835ced46cedc265961b39332fff744768646410904726e8261d,WHITE,1,P1,0,2080,15,15,2080,2080,1961.84914129985,-1.92865493310657e-15,0.253977262205475,20010.1331699304,15,23.1220146641931,31.2515871987406,29.3722430664567,2079.99997194141,14.9999999779448,13.7831197543623,21.4197207068714,21.7871579957651,31.2515871987406,21.4197207068714,8,33.176544487371,31.9523622773808,1.95736064275893,13.9999999779449,11.7161061332348,-8.54457183413632,-7.77112445610543,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP0_P2,48afd969aa27de5d2b6e8a20c6a93c02387558c426838f644d18adbd8be4de02,WHITE,1,P2,0,2080,15,15,2080,2080,2002.72781679998,9.64327466553287e-16,0.164414049872328,19874.7344516784,15,38.4779062599316,31.2221007565943,27.1308990244334,2079.99999027514,14.9999999779448,28.1059573311358,21.4197207451514,18.6926495032878,31.2221007565943,21.4197207451514,8,33.1172876844775,31.5456666739109,27.3147522646632,13.9999999779448,26.91704772833,2.90269230973957,0.0636984138214604,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP0_P3,55a3b9f5727118b1d04667e9aca3536d1549fbf78c01d8352415d520be9df5b8,WHITE,1,P3,0,2080,15,15,2080,2080,2075.06455570223,0,0.0103172271024325,19900.9541463507,15,14.6627014631577,31.2278263999529,31.3265990675012,2079.99978729457,14.9999999779448,11.1144380790033,21.4197203213372,22.7217577991323,31.2278263999529,21.4197203213372,8,33.1395571346283,31.6867021978615,0.0160545950546158,13.9999999779448,9.52712414893908,-29.4052867917212,-27.7336246876879,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP0_P4,65feeb06e919c72394440bf1e0798b7f519199dd7174d2524e574e756ad26164,WHITE,1,P4,0,2080,15,15,2080,2080,2057.95709632994,0,0.0462701848259827,19913.3108922515,15,26.1069711074911,31.2305221506976,28.8238698558887,2079.99987153587,14.9999999779448,20.9261384932571,21.4197204972292,19.9737421290179,31.2305221506976,21.4197204972292,8,33.1383028310448,31.5877685107669,0.896383334541779,13.9999999779448,18.607153931101,-11.9363426141018,-13.1718617684177,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP6_P1,ed0a09c2b25df0a4408e6fd81e86f3bc2724a2b44041227bfce9356f5e973a6c,WHITE,1,P1,6,2080,15,15,8280.62914751274,2080,2085.1921051358,6,5.9891726301166,79565.2864013371,15,5.7990507441729,37.2463237133762,41.373667213661,8280.62888239716,14.9999999779448,15.6269571618152,27.4197206264111,27.2418889943591,31.2463237133762,21.4197206264111,8,39.1706151779286,37.9470877464824,19.0792213847299,13.9999999779449,15.6103204091093,1.34432612354353,0.871488300976584,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP6_P2,fd2f571293d986ec30ac620050988d1b8749b0445aa405b23d9dfa6ffc2f8a15,WHITE,1,P2,6,2080,15,15,8280.62914751274,2080,2046.73287438564,6,6.07002169755291,79127.180641143,15,19.8000151371094,37.2223443272001,36.0166016949595,8280.62909846464,14.9999999779448,16.486151409951,27.4197207397321,27.0094404827387,31.2223443272001,21.4197207397321,8,39.106891293457,37.3328377394961,18.2971244693147,13.9999999779448,14.5857840321868,1.16254807455747,0.98453063657763,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP6_P3,00c950b057f133049a4c539ff527da1160d694f52810f84a5219faad1a077c8d,WHITE,1,P3,6,2080,15,15,8280.62914751274,2080,2173.83301946766,6,5.80837153772251,78947.3229326418,15,10.6452404841491,37.2124614881247,38.7018193093746,8280.62775150241,14.9999999779448,19.9707944363114,27.4197200332903,26.1766792033845,31.2124614881247,21.4197200332903,8,39.1287489918746,37.6719284087742,20.5572435300929,13.9999999779448,19.377859203276,1.66836845760788,0.256590846943457,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L1_SP6_P4,77e775bd5a80d3e75f1b6a0e8f8d72add3500498483c01486f016d418d537a61,WHITE,1,P4,6,2080,15,15,8280.62914751274,2080,2053.81296871816,6,6.05502443097803,79184.5394595576,15,15.2329994453228,37.2254913613426,37.1585496891917,8280.62848270895,14.9999999779448,6.13093022228098,27.4197204167865,31.305369267594,31.2254913613426,21.4197204167865,8,39.1308335134639,37.5651505899334,9.4678755408392,13.9999999779448,4.65804058510712,-1.69875494681044,3.08049272127394,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L4_SM6_P1,7cb9cd454ddfd92dac0c03478f21c695a15f992806590938d2288af539b77233,WHITE,4,P1,-6,2080,15,15,2089.88951101597,8320,8355.255880821,-6,-6.01836428468539,19979.7273904539,60,90.5778476923011,25.2243830789925,23.4356756150388,2089.88921295406,59.9999999117794,49.6674880174406,15.4197201460617,16.2405106867557,31.2243830789925,21.4197201460617,8,27.134589878599,25.9131502282215,22.0394655040148,55.9999999117794,42.3158635516443,-4.0498696842321,-2.83302150171435,0,5.79666056593029e-09,14.9999999779448,1,0
TP1_K2_N1_L4_SM6_P2,3a46c70551ac29c22722062996aeb1cafcf9dd69f6e4476cd16104aef00a062b,WHITE,4,P2,-6,2080,15,15,2089.88951101597,8320,8337.23199642671,-6,-6.00898560292804,19969.34977848,60,69.8115008658288,25.2221267366505,24.5643694911721,2089.88949959092,59.9999999117794,61.3282204324921,15.4197207417143,15.3246296101545,31.2221267366505,21.4197207417143,8,27.1106978019362,25.4080076275985,12.9820821080876,55.9999999117794,56.8297109243798,-6.34843674725458,-6.41231095328576,0,5.79666056593029e-09,14.9999999779448,1,0
