experiment_id,control_domain,numeric_snr_label_db,method_id,trial_count,valid_rate,element_snr_expected_median_db,element_snr_expected_min_db,element_snr_expected_max_db,white_snr_expected_median_db,white_snr_expected_min_db,white_snr_expected_max_db,joint_RMSE_median_deg,joint_RMSE_p90_deg,interpretation_note
ORIGINAL_ELEMENT_CONTROL,ELEMENT_INPUT_EXPECTED_TOTAL_SNR,-6,CORE_LITE,24,1,-6,-6,-6,16.0298285000641,15.419636189126,17.0947966576339,0.252336707842559,0.427375732342903,HISTORICAL_LABEL_CONTROLS_ELEMENT_INPUT_SNR
PAIRED_WHITE_BEAMSPACE_CONTROL,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,CORE_LITE,24,1,-28.0298285000639,-29.0947966576344,-27.419636189126,-6,-6.00000000000074,-5.99999999999905,0.524245295483454,0.625186263745669,LABEL_CONTROLS_EXPECTED_WHITENED_BEAMSPACE_SNR
ORIGINAL_ELEMENT_CONTROL,ELEMENT_INPUT_EXPECTED_TOTAL_SNR,-6,CORE_PLUS,24,1,-6,-6,-6,16.0298285000641,15.419636189126,17.0947966576339,0.237109204164924,0.405930857908505,HISTORICAL_LABEL_CONTROLS_ELEMENT_INPUT_SNR
PAIRED_WHITE_BEAMSPACE_CONTROL,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,CORE_PLUS,24,1,-28.0298285000639,-29.0947966576344,-27.419636189126,-6,-6.00000000000074,-5.99999999999905,0.523902585866972,0.635682795325745,LABEL_CONTROLS_EXPECTED_WHITENED_BEAMSPACE_SNR
ORIGINAL_ELEMENT_CONTROL,ELEMENT_INPUT_EXPECTED_TOTAL_SNR,-6,TANGENT_PROFILE_SAFE,24,1,-6,-6,-6,16.0298285000641,15.419636189126,17.0947966576339,0.111898016336571,0.289857421658004,HISTORICAL_LABEL_CONTROLS_ELEMENT_INPUT_SNR
PAIRED_WHITE_BEAMSPACE_CONTROL,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,TANGENT_PROFILE_SAFE,24,1,-28.0298285000639,-29.0947966576344,-27.419636189126,-6,-6.00000000000074,-5.99999999999905,0.508783244312557,0.625186263745669,LABEL_CONTROLS_EXPECTED_WHITENED_BEAMSPACE_SNR
ORIGINAL_ELEMENT_CONTROL,ELEMENT_INPUT_EXPECTED_TOTAL_SNR,0,CORE_LITE,24,1,-4.82163733276644e-16,-1.92865493310657e-15,9.64327466553287e-16,22.0329332039122,21.4197201361639,22.6999328246515,0.183811850990091,0.379192294969721,HISTORICAL_LABEL_CONTROLS_ELEMENT_INPUT_SNR
PAIRED_WHITE_BEAMSPACE_CONTROL,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,CORE_LITE,24,1,-22.0329332039119,-22.699932824651,-21.4197201361639,1.92865493310657e-15,-3.53908180225071e-13,6.03668994062316e-13,0.470411305736164,0.555593588304321,LABEL_CONTROLS_EXPECTED_WHITENED_BEAMSPACE_SNR
ORIGINAL_ELEMENT_CONTROL,ELEMENT_INPUT_EXPECTED_TOTAL_SNR,0,CORE_PLUS,24,1,-4.82163733276644e-16,-1.92865493310657e-15,9.64327466553287e-16,22.0329332039122,21.4197201361639,22.6999328246515,0.155383536916772,0.378768607673458,HISTORICAL_LABEL_CONTROLS_ELEMENT_INPUT_SNR
PAIRED_WHITE_BEAMSPACE_CONTROL,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,CORE_PLUS,24,1,-22.0329332039119,-22.699932824651,-21.4197201361639,1.92865493310657e-15,-3.53908180225071e-13,6.03668994062316e-13,0.469699621703765,0.626914368490417,LABEL_CONTROLS_EXPECTED_WHITENED_BEAMSPACE_SNR
