global_trial_index,trial_id,K,noise_profile_id,L,snr_db,profile_id,center_az_deg,center_el_deg,separation_deg,direction_deg,secondary_power_db,correlation_magnitude,source_correlation_contract,source_seed,noise_seed,cpi_id,range_doppler_cell_id,single_cpi_flag,same_range_doppler_cell_flag,cross_cpi_data_used_flag,tracking_input_used_flag,K_estimated_inside_module_flag,paired_original_trial_id,snr_control_domain,white_beamspace_snr_target_db,resulting_element_snr_expected_db,resulting_raw_beamspace_snr_expected_db,resulting_white_beamspace_snr_expected_db,element_trial_hash
1,SW1_K2_N1_L1_SM6_P1,2,WHITE,1,-6,P1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074000,3326075000,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SM6_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197207261087,3.83323679981182,-6.00000000000001,df6717abb6c8aab8508a015d3306b153ccfe874c787b8cadad08c837eba5d13a
2,SW1_K2_N1_L1_SM6_P2,2,WHITE,1,-6,P2,8.2,10,0.2,0,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074001,3326075001,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SM6_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197207451357,3.80238418977177,-6,aa1b0e9f1576346d39d65afb1043cb3496ca803e98fed3345d131f316ddfa096
3,SW1_K2_N1_L1_SM6_P3,2,WHITE,1,-6,P3,7.9,10.1,0.15,90,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074002,3326075002,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SM6_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.419636189126,-1.50704767103385,-6,b3660cd03831c7407f6c538df6805be2ea70cc075c26a84655f32ee6578fa6f5
4,SW1_K2_N1_L1_SM6_P4,2,WHITE,1,-6,P4,8.1,9.95,0.1,135,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074003,3326075003,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SM6_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197204810416,3.80975406211057,-5.99999999999998,6c807e0b30a34ef15e9c5a057edcb0ff0067e3b947a0047e85fd21baf3c4cef7
5,SW1_K2_N1_L1_SP0_P1,2,WHITE,1,0,P1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074004,3326075004,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP0_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197207068714,9.83186649186918,1.92865493310657e-15,52323cdbc476079ab21ba46c24d5222b881eb964b17428627997b309a06730a8
6,SW1_K2_N1_L1_SP0_P2,2,WHITE,1,0,P2,8.2,10,0.2,0,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074005,3326075005,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP0_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197207451514,9.80238001144297,-1.63935669314059e-14,fc3f85635d9d8b10285cdab0102d0d9ef96dd4d828e3854c8f9b326eca7a925e
7,SW1_K2_N1_L1_SP0_P3,2,WHITE,1,0,P3,7.9,10.1,0.15,90,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074006,3326075006,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP0_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197203213372,9.80810607861572,9.64327466553287e-16,aa369159a6dd5ed031e1dea97c8b375f4b55bf0a3272917563b08871bcfed2b1
8,SW1_K2_N1_L1_SP0_P4,2,WHITE,1,0,P4,8.1,9.95,0.1,135,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074007,3326075007,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP0_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197204972292,9.81080165346836,-1.44649119982993e-15,99107b2d5c699fd4d4f67bcc275c92c2add038007d57d2453b7928831218e572
9,SW1_K2_N1_L1_SP6_P1,2,WHITE,1,6,P1,8,10,0.3,45,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074008,3326075008,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP6_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197206264111,15.8266030869651,6.00000000000001,b38d49764b8847ae7edc3eaf0b2a5a54446af779f6b26bfe68773dd2a24bd89c
10,SW1_K2_N1_L1_SP6_P2,2,WHITE,1,6,P2,8.2,10,0.2,0,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074009,3326075009,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP6_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197207397322,15.8026235874679,5.99999999999998,901a3b47cc2c1bacce6f63464692d2597f800519ef8e2b6f0a49b045d03921f7
11,SW1_K2_N1_L1_SP6_P3,2,WHITE,1,6,P3,7.9,10.1,0.15,90,0,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074010,3326075010,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP6_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197200332903,15.7927414548344,6,b11a17d298f634312bf46b4826377192bb51ca6612beb622a10ef34e593965fb
12,SW1_K2_N1_L1_SP6_P4,2,WHITE,1,6,P4,8.1,9.95,0.1,135,-6,1,L1_FULLY_COHERENT_BY_CONTRACT,3326074011,3326075011,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L1_SP6_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197204167865,15.8057709445561,5.99999999999999,1a134101c23478c675e6ebe635114e7af0f6ec1c6047d4a008154d5375b4e075
13,SW1_K2_N1_L4_SM6_P1,2,WHITE,4,-6,P1,8,10,0.3,45,0,0,SPECIFIED_CORRELATION,3326074012,3326075012,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SM6_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197201460617,3.80466293293078,-6,473d9cfdee984c5f1b0cbd2bc6383a0114ea22c95fe7c9b6501b907aa07748f3
14,SW1_K2_N1_L4_SM6_P2,2,WHITE,4,-6,P2,8.2,10,0.2,0,-6,0,SPECIFIED_CORRELATION,3326074013,3326075013,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SM6_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197207417143,3.80240599493617,-6,e75850523ae740b3b0092d4ea7cb5b0d2855551ae21728671dc82cdf4865c55a
15,SW1_K2_N1_L4_SM6_P3,2,WHITE,4,-6,P3,7.9,10.1,0.15,90,0,0.9,SPECIFIED_CORRELATION,3326074014,3326075014,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SM6_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197202905215,3.80794478375403,-6,a1e0b04f2bdda43657105fbe08493ad6c958731b877be3aee6d7eb4529b75195
16,SW1_K2_N1_L4_SM6_P4,2,WHITE,4,-6,P4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,3326074015,3326075015,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SM6_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197200445974,3.78454317043442,-6,38b77ba2c8fdc0ec783d836b59b25e55066f957a6839b86b5232ba92cecd291a
17,SW1_K2_N1_L4_SP0_P1,2,WHITE,4,0,P1,8,10,0.3,45,0,0,SPECIFIED_CORRELATION,3326074016,3326075016,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP0_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197201460617,9.80466293293078,9.64327466553287e-16,679a5d2e0ab2d6bfb1058f6bb0046d919c6ab7ab6511eb050dca6456995a3b80
18,SW1_K2_N1_L4_SP0_P2,2,WHITE,4,0,P2,8.2,10,0.2,0,-6,0,SPECIFIED_CORRELATION,3326074017,3326075017,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP0_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197207417143,9.80240599493617,2.89298239965986e-15,0fa57ac247ee0b25948978fb76ad45e452fc4eeb9ed84c2eb7395d00cf5732e2
19,SW1_K2_N1_L4_SP0_P3,2,WHITE,4,0,P3,7.9,10.1,0.15,90,0,0.9,SPECIFIED_CORRELATION,3326074018,3326075018,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP0_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197201361639,9.79776815724945,-4.82163733276644e-16,dfacba5fdf5259547bd37fcffe97a1b947dd7e888f6694487f0017b65b91493e
20,SW1_K2_N1_L4_SP0_P4,2,WHITE,4,0,P4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,3326074019,3326075019,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP0_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,0,-21.4197205182546,9.81238805067773,-4.82163733276644e-16,cedf4b9e08a3c3c38a3a2ef04feed13c10552efe8dbda8d319892649b432e196
21,SW1_K2_N1_L4_SP6_P1,2,WHITE,4,6,P1,8,10,0.3,45,0,0,SPECIFIED_CORRELATION,3326074020,3326075020,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP6_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197201460617,15.8046629329308,6,a208f094dde39db771ac2da5be72364a1fd8e3eacf00712d6d34924774934436
22,SW1_K2_N1_L4_SP6_P2,2,WHITE,4,6,P2,8.2,10,0.2,0,-6,0,SPECIFIED_CORRELATION,3326074021,3326075021,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP6_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.4197207417143,15.8024059949362,6,a444b533f6d451fab4f4651943165e0cc1d4478ebbfb2fe70aac464b489584d3
23,SW1_K2_N1_L4_SP6_P3,2,WHITE,4,6,P3,7.9,10.1,0.15,90,0,0.9,SPECIFIED_CORRELATION,3326074022,3326075022,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP6_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.419720272473,15.8077355784753,6,65bce83d5c54c5190cfe619e496a712b3538b59758d67a11a3c80dcbe604a06c
24,SW1_K2_N1_L4_SP6_P4,2,WHITE,4,6,P4,8.1,9.95,0.1,135,-6,0.9,SPECIFIED_CORRELATION,3326074023,3326075023,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L4_SP6_P4,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6,-15.419720520713,15.8130207490601,6,0f712be1f453ee211d64bc2f56b84a7ba963fd8cc9f14f418ea33bfef66a81c7
25,SW1_K2_N1_L8_SM6_P1,2,WHITE,8,-6,P1,8,10,0.3,45,0,0,SPECIFIED_CORRELATION,3326074024,3326075024,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L8_SM6_P1,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197201460617,3.80466293293079,-6,76e1de30c89ca88d08792e9e74bd43473919469dcd9c5c1bf4d1334bae5d418e
26,SW1_K2_N1_L8_SM6_P2,2,WHITE,8,-6,P2,8.2,10,0.2,0,-6,0,SPECIFIED_CORRELATION,3326074025,3326075025,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L8_SM6_P2,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197207417143,3.80240599493617,-6,dbffa3e71c9a56a22fa5d02b51ae8c413792f846119d9bda0e654777ada67f92
27,SW1_K2_N1_L8_SM6_P3,2,WHITE,8,-6,P3,7.9,10.1,0.15,90,0,0.9,SPECIFIED_CORRELATION,3326074026,3326075026,ONE_SYNTHETIC_CPI,ONE_SELECTED_RANGE_DOPPLER_CELL,1,1,0,0,0,TP1_K2_N1_L8_SM6_P3,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,-6,-27.4197201296781,3.79747465873605,-6,cc216358a38f2ab23554c1e4440c66d80917b330f2873cb933f1ed30f119241a
