reference_trial_id,method_id,noise_profile_id,L,profile_id,white_beamspace_snr_target_db,reference_joint_RMSE_deg,mc_N,mc_min_joint_RMSE_deg,mc_p10_joint_RMSE_deg,mc_median_joint_RMSE_deg,mc_p90_joint_RMSE_deg,mc_max_joint_RMSE_deg,reference_empirical_percentile,within_mc_min_max,within_mc_p10_p90,descriptive_position
SW1_K2_N1_L1_SM6_P1,CORE_LITE,WHITE,1,P1,-6,0.617484248029375,10,0.141681308325435,0.298877825845435,0.546119105088473,0.584715174098404,0.617484248029375,90,1,0,WITHIN_MC_MIN_MAX
SW1_K2_N1_L1_SM6_P1,CORE_PLUS,WHITE,1,P1,-6,0.591996942783837,10,0.141681308325435,0.154061501448651,0.523666936592712,0.649415925594002,0.649446277334211,70,1,1,WITHIN_MC_MIN_MAX
SW1_K2_N1_L1_SM6_P1,TANGENT_PROFILE_SAFE,WHITE,1,P1,-6,0.617484248029375,10,0.266716612317564,0.276095937187696,0.546119105088473,0.584715174098404,0.617484248029375,90,1,0,WITHIN_MC_MIN_MAX
SW1_K2_N1_L1_SM6_P2,CORE_LITE,WHITE,1,P2,-6,0.435889894354067,10,0.360555127546398,0.4283564176733,0.644299553754043,0.818535277187244,0.818535277187244,10,1,1,WITHIN_MC_MIN_MAX
SW1_K2_N1_L1_SM6_P2,CORE_PLUS,WHITE,1,P2,-6,0.270447572620241,10,0.360555127546398,0.365776053615928,0.688511260681693,0.829401802900411,0.829592637358394,0,0,0,OUTSIDE_MC_MIN_MAX_DESCRIPTIVE_ONLY
SW1_K2_N1_L1_SM6_P2,TANGENT_PROFILE_SAFE,WHITE,1,P2,-6,0.435889894354067,10,0.21204455241651,0.345704070033409,0.565616350468402,0.818535277187244,0.818535277187244,20,1,1,WITHIN_MC_MIN_MAX
SW1_K2_N1_L1_SM6_P3,CORE_LITE,WHITE,1,P3,-6,0.718070330817253,10,0.224999999999999,0.225,0.50062460986252,0.621787133803885,0.628987281270456,100,0,0,OUTSIDE_MC_MIN_MAX_DESCRIPTIVE_ONLY
SW1_K2_N1_L1_SM6_P3,CORE_PLUS,WHITE,1,P3,-6,0.706016015156891,10,0.0679177612257712,0.247117853159966,0.515059779018877,0.621787133803885,0.628987281270456,100,0,0,OUTSIDE_MC_MIN_MAX_DESCRIPTIVE_ONLY
SW1_K2_N1_L1_SM6_P3,TANGENT_PROFILE_SAFE,WHITE,1,P3,-6,0.718070330817253,10,0.224999999999999,0.225,0.50062460986252,0.621787133803885,0.628987281270456,100,0,0,OUTSIDE_MC_MIN_MAX_DESCRIPTIVE_ONLY
SW1_K2_N1_L1_SM6_P4,CORE_LITE,WHITE,1,P4,-6,0.625186263745669,10,0.183811850990091,0.405485822115927,0.507269132684985,0.660713774265767,0.719672795225812,80,1,1,WITHIN_MC_MIN_MAX
