row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
METHOD,EXACT_CELL,-6|P1|WHITE|L=1,-6,CORE_LITE,,,10,10,1,0.546119105088473,NaN,0.30811388300842,NaN,45,NaN,0.123606797749979,NaN,0.412022659166596,NaN,0.368147192211735,NaN,0,0,156.4,360.4,0.14044785,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=1,-6,CORE_PLUS,,,10,10,1,0.523666936592712,NaN,0.422962295112561,NaN,45,NaN,0.222998588745032,NaN,0.743328629150109,NaN,0.299324898298448,NaN,0.6,0.4,1404,2857.3,1.1520717,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=1,-6,TANGENT_PROFILE_SAFE,,,10,10,1,0.546119105088473,NaN,0.283132000150571,NaN,45,NaN,0.114958558739088,NaN,0.38319519579696,NaN,0.243978962605854,NaN,0.2,0.8,350.3,774.2,4.717509,NaN,0,0,0,0,NaN,NaN,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=1,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,1,8,1,0.5,0,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=1,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,3,4,3,0.5,0,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=4,-6,CORE_LITE,,,10,10,1,0.506380358794124,NaN,0.461106256960522,NaN,45,NaN,0.1,NaN,0.333333333333334,NaN,0.212478672477061,NaN,0,0,166,382,0.1486633,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=4,-6,CORE_PLUS,,,10,10,1,0.467875991290873,NaN,0.461106256960522,NaN,44.6386641908447,NaN,0.0980985265574143,NaN,0.326995088524715,NaN,0.211219388173136,NaN,0.5,0.5,1736.3,3524,1.6103034,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=4,-6,TANGENT_PROFILE_SAFE,,,10,10,1,0.506380358794124,NaN,0.461106256960522,NaN,45,NaN,0.1,NaN,0.333333333333334,NaN,0.212478672477061,NaN,0,1,360.6,797.2,4.3139349,NaN,0,0,0,0,NaN,NaN,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=4,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,10,0,0,0,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=4,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,2,5,3,0.4,0,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=8,-6,CORE_LITE,,,10,10,1,0.314420720839468,NaN,0.300000000000001,NaN,22.5000000000001,NaN,0.147213595499958,NaN,0.49071198499986,NaN,0.212478672477061,NaN,0,0,173.6,395.6,0.15584265,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=8,-6,CORE_PLUS,,,10,10,1,0.299906073531266,NaN,0.281944523060392,NaN,26.0233015345415,NaN,0.0999989829815309,NaN,0.33332994327177,NaN,0.212028407247065,NaN,0.7,0.3,1602.9,3255.7,1.30262915,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|WHITE|L=8,-6,TANGENT_PROFILE_SAFE,,,10,10,1,0.314420720839468,NaN,0.300000000000001,NaN,22.5000000000001,NaN,0.147213595499958,NaN,0.49071198499986,NaN,0.212478672477061,NaN,0,1,404.5,883.4,4.32249425,NaN,0,0,0,0,NaN,NaN,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=8,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,10,0,0,0,NaN
PAIRWISE,EXACT_CELL,-6|P1|WHITE|L=8,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,2,4,4,0.333333333333333,0,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=1,-6,CORE_LITE,,,10,10,1,0.509974110253459,NaN,0.504950975679639,NaN,40.2688388959872,NaN,0.1,NaN,0.333333333333334,NaN,0.212478672477061,NaN,0,0,149,345,0.12752865,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=1,-6,CORE_PLUS,,,10,10,1,0.510467223338816,NaN,0.504950975679639,NaN,40.7756242817886,NaN,0.123606797749979,NaN,0.412022659166596,NaN,0.203591196561966,NaN,0.8,0.2,1176.4,2401.6,0.6374359,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=1,-6,TANGENT_PROFILE_SAFE,,,10,10,1,0.509974110253459,NaN,0.504950975679639,NaN,40.2688388959872,NaN,0.1,NaN,0.333333333333334,NaN,0.212478672477061,NaN,0,1,332.8,738.6,4.1851737,NaN,0,0,0,0,NaN,NaN,NaN
PAIRWISE,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=1,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,0,10,0,0,0,NaN
PAIRWISE,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=1,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,4,3,3,0.571428571428571,0,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=4,-6,CORE_LITE,,,10,10,1,0.31729998603709,NaN,0.26180339887499,NaN,45,NaN,0.1,NaN,0.333333333333334,NaN,0.247920644563966,NaN,0,0,160.1,368.1,0.15494055,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=4,-6,CORE_PLUS,,,10,10,1,0.410521236919546,NaN,0.26180339887499,NaN,45,NaN,0.147213595499958,NaN,0.490711984999861,NaN,0.299281438013773,NaN,0.5,0.5,1472.8,2995.1,0.84858395,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=4,-6,TANGENT_PROFILE_SAFE,,,10,10,1,0.31729998603709,NaN,0.245508300426165,NaN,45,NaN,0.1,NaN,0.333333333333334,NaN,0.299241771985796,NaN,0.2,0.8,399.2,872.3,4.37005675,NaN,0,0,0,0,NaN,NaN,NaN
PAIRWISE,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=4,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,2,8,0,1,0,NaN
PAIRWISE,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=4,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,5,3,2,0.714285714285714,-0.0040216198726214,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=8,-6,CORE_LITE,,,10,10,1,0.42291889257068,NaN,0.358113883008419,NaN,37.9818782660368,NaN,0.147213595499958,NaN,0.49071198499986,NaN,0.312394617519413,NaN,0,0,155.4,357.4,0.13712215,NaN,0,0,0,0,NaN,NaN,NaN
METHOD,EXACT_CELL,-6|P1|STAGE5_TOEPLITZ_CORRELATED|L=8,-6,CORE_PLUS,,,10,10,1,0.406077467837156,NaN,0.334416188989105,NaN,35.9116254436361,NaN,0.115993750863284,NaN,0.386645836210948,NaN,0.314352686710611,NaN,0.4,0.6,1725.2,3498.4,1.14300045,NaN,0,0,0,0,NaN,NaN,NaN
