row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
METHOD,SNR_X_PROFILE,-6|P1,-6,CORE_LITE,,,60,60,1,0.50278660733479,0.584715174098404,0.412310562561765,0.545492457945087,45,73.4085460593704,0.1,0.9,0.333333333333334,3.00000000000001,0.212478672477061,0.987942459763371,0,0,160.083333333333,368.083333333333,0.14724825,0.18156058,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P1,-6,CORE_PLUS,,,60,60,1,0.495126019861324,0.649445072951319,0.393348927839004,0.631970762078705,44.556155113512,75.4464365362049,0.1,0.321550423261052,0.333333333333334,1.07183474420351,0.25829682310999,0.466437904876378,0.583333333333333,0.416666666666667,1519.6,3088.68333333333,0.8553212,1.76713108,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P1,-6,TANGENT_PROFILE_SAFE,,,60,60,1,0.425777872328288,0.584715174098404,0.378320631978096,0.545492457945087,45,74.9543657281248,0.1,0.562159012611179,0.333333333333334,1.8738633753706,0.212478672477061,0.62798807090567,0.116666666666667,0.883333333333333,376.2,826.316666666667,4.3339494,4.75849161,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,-6|P1,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,6,53,1,0.857142857142857,0,0
PAIRWISE,SNR_X_PROFILE,-6|P1,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,20,24,16,0.555555555555556,0,0.103422416245979
METHOD,SNR_X_PROFILE,-6|P2,-6,CORE_LITE,,,60,60,1,0.360555127546399,0.728010988928051,0.316227766016838,0.728010988928051,45,90,0.0828427124746187,0.889329665284211,0.414213562373095,4.44664832642107,0.282842712474618,0.904984471899924,0,0,162.733333333333,373.4,0.1497315,0.18063283,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P2,-6,CORE_PLUS,,,60,60,1,0.43632237169712,0.803973150274563,0.336145138230267,0.796169381422307,48.4882813833894,88.9160233169665,0.118425816259108,0.707956897613798,0.592129081295544,3.539784488069,0.203653714830593,0.727035472266068,0.716666666666667,0.283333333333333,1472.43333333333,2994.4,0.887657,1.84150919,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_PROFILE,-6|P2,-6,TANGENT_PROFILE_SAFE,,,60,60,1,0.360555127546399,0.715529657461661,0.308113883008419,0.709197201960697,45,90,0.0828427124746199,0.712687768042614,0.414213562373101,3.56343884021308,0.282842712474618,0.738441948683509,0.133333333333333,0.866666666666667,389.783333333333,853.5,4.34530595,4.69820153,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_PROFILE,-6|P2,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,8,52,0,1,0,0
PAIRWISE,SNR_X_PROFILE,-6|P2,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,29,17,14,0.674418604651163,0,0.105451491640447
