trial_id,global_trial_index,element_trial_hash,measurement_hash,noise_profile_id,L,profile_id,white_beamspace_snr_target_db,replicate_id,base_realization_index,source_seed,noise_seed,snr_control_domain,white_snr_scaling_relative_error,whitening_residual,N_element,raw_beam_count,whitening_rank,element_signal_energy,element_noise_expected_energy,element_noise_realized_energy,element_snr_expected_db,element_snr_realized_db,raw_beam_signal_energy,raw_beam_noise_expected_energy,raw_beam_noise_realized_energy,raw_beam_snr_expected_db,raw_beam_snr_realized_db,white_beam_signal_energy,white_beam_noise_expected_energy,white_beam_noise_realized_energy,white_beam_snr_expected_db,white_beam_snr_realized_db,raw_receive_gain_db,white_receive_gain_db,raw_peak_beam_index,raw_peak_beam_snr_expected_db,raw_median_beam_snr_expected_db,true_center_projected_signal_energy,true_center_projected_noise_expected_energy,true_center_projected_noise_realized_energy,k2_projected_snr_expected_db,k2_projected_snr_realized_db,raw_covariance_residual,whitening_covariance_residual,whitening_trace,truth_only_diagnostic_flag,fitting_rerun_flag
MC1_K2_N1_L1_SM6_P1_R01,1,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,-6,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.88578058618805e-16,5.79666056593029e-09,2080,15,15,3.76783040257318,2080,2120.98031441772,-27.419719888473,-27.5044529157629,35.9732268520114,15,7.31560161416164,3.79888137371853,6.91729349361014,3.76782964172436,14.9999999779448,15.5612268438231,-6.00000000000001,-6.15952575271166,31.2186012621915,21.419719888473,8,5.6951394272155,4.47366468946473,0.0566332033334236,13.9999999779449,15.1408538594599,-23.9305690775419,-24.2707924039414,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP0_P1_R01,2,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,0,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.44249065417534e-15,5.79666056593029e-09,2080,15,15,15.0000030069385,2080,2120.98031441772,-21.419719888473,-21.5044529157629,143.211995577333,15,7.31560161416164,9.79888137371853,12.9172934936101,14.9999999779448,14.9999999779448,15.5612268438231,-1.06076021320862e-14,-0.159525752711665,31.2186012621916,21.419719888473,8,11.6951394272155,10.4736646894647,0.225460843384521,13.9999999779449,15.1408538594599,-17.9305690775415,-18.270792403941,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP6_P1_R01,3,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,6,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,2.4541036533248e-15,5.79666056593029e-09,2080,15,15,59.7160875538625,2080,2120.98031441772,-15.419719888473,-15.5044529157629,570.137223486121,15,7.31560161416164,15.7988813737185,18.9172934936101,59.7160754952213,14.9999999779448,15.5612268438231,5.99999999999999,5.84047424728834,31.2186012621915,21.419719888473,8,17.6951394272155,16.4736646894647,0.897575784304131,13.9999999779449,15.1408538594599,-11.9305690775417,-12.2707924039412,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP10_P1_R01,4,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,10,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.24344978758018e-15,5.79666056593029e-09,2080,15,15,150.000030069385,2080,2120.98031441772,-11.419719888473,-11.5044529157629,1432.11995577334,15,7.31560161416164,19.7988813737185,22.9172934936101,149.999999779448,14.9999999779448,15.5612268438231,9.99999999999999,9.84047424728834,31.2186012621916,21.419719888473,8,21.6951394272155,20.4736646894647,2.2546084338452,13.9999999779449,15.1408538594599,-7.9305690775415,-8.27079240394105,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP14_P1_R01,5,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,14,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,3.53590197613494e-15,5.79666056593029e-09,2080,15,15,376.783040257318,2080,2120.98031441772,-7.41971988847302,-7.50445291576287,3597.32268520114,15,7.31560161416164,23.7988813737185,26.9172934936101,376.782964172435,14.9999999779448,15.5612268438231,14,13.8404742472883,31.2186012621916,21.419719888473,8,25.6951394272155,24.4736646894647,5.66332033334275,13.9999999779449,15.1408538594599,-3.93056907754155,-4.2707924039411,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP18_P1_R01,6,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,18,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,6.75680606915327e-16,5.79666056593029e-09,2080,15,15,946.436206445285,2080,2120.98031441772,-3.41971988847301,-3.50445291576287,9036.06604271835,15,7.31560161416164,27.7988813737185,30.9172934936101,946.436015328703,14.9999999779448,15.5612268438231,18,17.8404742472883,31.2186012621915,21.419719888473,8,29.6951394272155,28.4736646894647,14.2256175026157,13.9999999779449,15.1408538594599,0.0694309224583654,-0.270792403941183,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP22_P1_R01,7,397bb5a88b26d751af582ada7cd3609e6af5c3cae017d31057d2e5da9f955a23,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,22,1,0,430100000,430200000,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.07597317846772e-15,5.79666056593029e-09,2080,15,15,2377.34026525931,2080,2120.98031441772,0.580280111526986,0.495547084237129,22697.5716869287,15,7.31560161416164,31.7988813737185,34.9172934936101,2377.33978519616,14.9999999779448,15.5612268438231,22,21.8404742472883,31.2186012621915,21.419719888473,8,33.6951394272155,32.4736646894647,35.7331355846685,13.9999999779449,15.1408538594599,4.06943092245872,3.72920759605917,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SM6_P1_R02,8,8364cc992f0feb462ae746eb499697f7f56e9c174320c47daa7dc269b0e495b2,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,-6,2,1,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,5.55111512312578e-17,5.79666056593029e-09,2080,15,15,3.76782993020159,2080,2101.13841341731,-27.4197204329465,-27.4636337102026,36.1840951220873,15,33.3262956206896,3.82426457373075,0.357306740224291,3.76782964172437,14.9999999779448,18.2576368645979,-6,-6.85353306507316,31.2439850066773,21.4197204329465,8,5.73611247833995,4.51216875297549,0.0214546318183648,13.9999999779449,16.2858730426625,-28.1460696896269,-28.8028997887429,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP0_P1_R02,9,86e2d6abb8b45df7884aeead1f2ca1a49eb096acd34001519f3160cc2150872c,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,0,2,1,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.55431223447522e-15,5.79666056593029e-09,2080,15,15,15.0000011263934,2080,2101.13841341731,-21.4197204329465,-21.4636337102026,144.051477280928,15,33.3262956206896,9.82426457373075,6.35730674022429,14.9999999779448,14.9999999779448,18.2576368645979,-6.75029226587301e-15,-0.853533065073164,31.2439850066773,21.4197204329465,8,11.7361124783399,10.5121687529755,0.0854124276847684,13.9999999779449,16.2858730426625,-22.1460696896266,-22.8028997887426,0,5.79666056593029e-09,14.9999999779448,1,0
MC1_K2_N1_L1_SP6_P1_R02,10,8aa07ffd783457d9fa1ffd1a5787806d4f1d32ec0dbe8a4f48073374c8982abe,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,WHITE,1,P1,6,2,1,430100001,430200001,WHITENED_SEQUENTIAL_BEAMSPACE_EXPECTED_TOTAL_SNR,1.67325249090327e-15,5.79666056593029e-09,2080,15,15,59.7160800672773,2080,2101.13841341731,-15.4197204329465,-15.4636337102026,573.479260343615,15,33.3262956206896,15.8242645737308,12.3573067402243,59.7160754952213,14.9999999779448,18.2576368645979,5.99999999999999,5.14646693492683,31.2439850066773,21.4197204329465,8,17.7361124783399,16.5121687529755,0.340032999156856,13.9999999779449,16.2858730426625,-16.1460696896269,-16.8028997887429,0,5.79666056593029e-09,14.9999999779448,1,0
