row_type,scope_type,scope_value,white_beamspace_snr_target_db,method_id,reference_method_id,comparison_id,total_count,valid_count,valid_rate,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,upgrade_rate,fallback_rate,mean_score_call_count,mean_SVD_call_count,median_runtime_sec,p90_runtime_sec,paired_count,wins,ties,losses,non_tie_win_rate,median_paired_delta_deg,p90_paired_delta_deg
METHOD,SNR,-6,-6,CORE_LITE,,,240,240,1,0.455992250140432,0.628987281270456,0.380277563773199,0.608276253029822,45,90,0.132842712474619,0.916552506059644,0.999999999999997,4.54772675074123,0.257842712474619,1.00055732146696,0,0,160.166666666667,368.333333333333,0.1466588,0.17862053,0,0,0,0,NaN,NaN,NaN
METHOD,SNR,-6,-6,CORE_PLUS,,,240,240,1,0.457680541787489,0.649480414578098,0.371646904237757,0.632290952672934,45,85.823659338837,0.147213595499958,0.799984471899923,0.993064680696555,3.47213595499958,0.211672059792454,0.809608284603739,0.6125,0.3875,1562.0625,3173.67916666667,0.9796951,1.84964335,0,0,0,0,NaN,NaN,NaN
METHOD,SNR,-6,-6,TANGENT_PROFILE_SAFE,,,240,240,1,0.438477509083189,0.62665367568059,0.337337833201402,0.608276253029822,45,90,0.132842712474619,0.879329665284211,0.99160429542746,3.86517801127027,0.249999999999999,0.986109399699573,0.120833333333333,0.879166666666667,380.975,835.95,4.3201058,4.69187262,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR,-6,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,26,211,3,0.896551724137931,0,0
PAIRWISE,SNR,-6,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240,89,93,58,0.605442176870748,0,0.109699335470736
METHOD,SNR_X_NOISE,-6|WHITE,-6,CORE_LITE,,,120,120,1,0.50062460986252,0.62665367568059,0.412310562561766,0.618465843842648,45,90,0.1,0.628441948683509,0.885618083164138,3.47213595499959,0.249999999999999,0.709598076585265,0,0,160.925,370.258333333333,0.1466588,0.17207338,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,-6|WHITE,-6,CORE_PLUS,,,120,120,1,0.484109560532166,0.649479479376352,0.412310562561766,0.633082519198203,45,84.8048061945332,0.132033371421187,0.377362435657681,0.990806639928955,3.38625777919824,0.205423376503603,0.462123718783586,0.675,0.325,1511.85833333333,3073.71666666667,0.96741465,1.66485396,0,0,0,0,NaN,NaN,NaN
METHOD,SNR_X_NOISE,-6|WHITE,-6,TANGENT_PROFILE_SAFE,,,120,120,1,0.48026532276897,0.625323330897613,0.412310562561766,0.615744477632427,45,90,0.107529373110798,0.576110255092798,0.990705673851282,3.47213595499958,0.249449052678148,0.655831894563998,0.0916666666666667,0.908333333333333,379.966666666667,834.341666666667,4.29333945,4.66143366,0,0,0,0,NaN,NaN,NaN
PAIRWISE,SNR_X_NOISE,-6|WHITE,-6,TANGENT_PROFILE_SAFE,CORE_LITE,TANGENT_VS_CORE_LITE,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,9,109,2,0.818181818181818,0,0
PAIRWISE,SNR_X_NOISE,-6|WHITE,-6,TANGENT_PROFILE_SAFE,CORE_PLUS,TANGENT_VS_CORE_PLUS,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,120,42,42,36,0.538461538461538,0,0.132812030739453
