scope_type,white_snr_db,profile_id,noise_profile_id,L,method_id,total_count,applicable_count,fit_valid_count,valid_rate,stationary_count,converged_count,max_sweep_valid_count,numerical_incomplete_count,median_joint_RMSE_deg,p90_joint_RMSE_deg,median_center_error_deg,p90_center_error_deg,median_axis_error_deg,p90_axis_error_deg,median_rho_error_deg,p90_rho_error_deg,median_rho_relative_error,p90_rho_relative_error,median_separation_vector_error_deg,p90_separation_vector_error_deg,median_score_call_count,median_SVD_call_count,median_eig_call_count,median_runtime_sec,p90_runtime_sec,paired_count,tangent_wins,ties,tangent_losses,non_tie_tangent_win_rate,median_paired_delta_deg,p90_paired_delta_deg,paired_tangent_median_RMSE_deg,paired_tangent_p90_RMSE_deg,paired_baseline_median_RMSE_deg,paired_baseline_p90_RMSE_deg,complete_likelihood_count,complete_tangent_median_RMSE_deg,complete_tangent_p90_RMSE_deg,complete_baseline_median_RMSE_deg,complete_baseline_p90_RMSE_deg,complete_wins,complete_ties,complete_losses,complete_median_delta_deg,complete_p90_delta_deg
EXACT_CELL,-6,P1,WHITE,1,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.546119105088473,0.584715174098403,0.283132000150571,0.545492457945087,45,64.2479590583376,0.114958558739088,0.921388361860415,0.383195195796959,3.07129453953472,0.243978962605854,1.02556367999629,327.5,730.5,0,4.717509,5.49854674,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P1,WHITE,1,FULL4D_BEAMSPACE_CML_MULTISTART,10,10,10,1,5,4,1,0,0.523666936592712,0.649454316209246,0.286990499547201,0.631978838773297,45,64.4033536811953,0.244148310641504,0.921388361860415,0.813827702138348,3.07129453953472,0.33421562455853,1.0255636799963,1795,3590,0,1.59526945,2.97553314,10,4,3,3,0.571428571428571,-3.88578058618805e-16,0.0999994037307722,0.546119105088473,0.584715174098403,0.523666936592712,0.649454316209246,10,0.546119105088473,0.584715174098403,0.523666936592712,0.649454316209246,4,3,3,-3.88578058618805e-16,0.0999994037307722
EXACT_CELL,-6,P1,WHITE,1,BEAMSPACE_MUSIC_K2,10,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P1,WHITE,1,FULL4D_ELEMENT_CML_MULTISTART,10,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P2,WHITE,1,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.565616350468402,0.818535277187244,0.419535568042419,0.806225774829854,54.4506631594049,90,0.085783156508405,1.00165525060596,0.428915782542026,5.00827625302984,0.282842712474618,1.00198039027186,353,781,0,4.4424755,4.99518935,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P2,WHITE,1,FULL4D_BEAMSPACE_CML_MULTISTART,10,10,10,1,5,0,5,0,0.6483465752845,0.801749024095447,0.601809473290969,0.794641928083592,54.1628296601799,77.9416348180307,0.0353545020234408,1.00165525060596,0.176772510117205,5.00827625302984,0.21420817895838,1.00198039027186,1799.5,3599,0,1.67616915,3.29872799,10,4,2,4,0.5,-1.11022302462516e-16,0.171433928216013,0.565616350468402,0.818535277187244,0.6483465752845,0.801749024095447,10,0.565616350468402,0.818535277187244,0.6483465752845,0.801749024095447,4,2,4,-1.11022302462516e-16,0.171433928216013
EXACT_CELL,-6,P2,WHITE,1,BEAMSPACE_MUSIC_K2,10,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P2,WHITE,1,FULL4D_ELEMENT_CML_MULTISTART,10,0,0,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P3,WHITE,1,TANGENT_PROFILE_SAFE,10,10,10,1,0,0,0,0,0.50062460986252,0.621787133803885,0.473606797749979,0.608992838087747,45,90,0.0914213562373098,0.372492235949962,0.609475708248739,2.48328157299977,0.206155281280883,0.409074456908955,333.5,741,0,4.2853059,4.36006594,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN
EXACT_CELL,-6,P3,WHITE,1,FULL4D_BEAMSPACE_CML_MULTISTART,10,10,10,1,4,2,4,0,0.502376521119118,0.621817399128838,0.488993540822482,0.52129506902794,39.9864542944659,90,0.0730794454301743,0.239098433944069,0.487196302867833,1.59398955962714,0.149500813324192,0.316284273062372,2452.5,4905,0,2.21392125,4.52780869,10,4,2,4,0.5,-5.55111512312578e-17,0.146171645347802,0.50062460986252,0.621787133803885,0.502376521119118,0.621817399128838,10,0.50062460986252,0.621787133803885,0.502376521119118,0.621817399128838,4,2,4,-5.55111512312578e-17,0.146171645347802
