global_trial_index,trial_id,element_trial_hash,measurement_hash,checkpoint_valid,scientific_hash,white_target_error_db,runtime_sec
1,MC1_K2_N1_L1_SM6_P1_R01,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,e40ad5e5769e9c54ca313e2e6fab1d0a1107bde0715705fd987a64bdd14628a9,6.21724893790088e-15,2.5496179
2,MC1_K2_N1_L1_SP0_P1_R01,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,13ab7fdbf363fe8766ed25f4a64c17f116e238e3301f08afe6915c23983defee,1.06076021320862e-14,3.2264286
3,MC1_K2_N1_L1_SP6_P1_R01,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,abe7b52f0727cfa93df776aa1d114c4f27c7b6cc4650683b7c7edd436d38e759,1.06581410364015e-14,2.5690256
4,MC1_K2_N1_L1_SP10_P1_R01,e4ab91178c3994a83804c29636c0306f1574dedd82297390c97d94707a1d5308,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,edd6b50e8dfcd9a21a502c9949faae4b5f4dfe952ccf8feeabdc47fa0e25ab18,5.32907051820075e-15,2.8553123
5,MC1_K2_N1_L1_SP14_P1_R01,ad0c428b9977b63ed23d63ccb11986768752282f110ea1293f82d02d13a98e52,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,ae30ab3be6b2d224879bf76c27ca04fa394f7326ca41b45300b7f2c51f32f12b,1.59872115546023e-14,3.5877973
6,MC1_K2_N1_L1_SP18_P1_R01,73aa26cb0940e82f2ab2eff29ca1cfdbaf7e0ebddbb5f0700fe455e90fb33083,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,c09567df05bfc54a4d15bddbcca3a1666d2e421b87873a1876a8b519cc02d565,0,4.9032443
7,MC1_K2_N1_L1_SP22_P1_R01,397bb5a88b26d751af582ada7cd3609e6af5c3cae017d31057d2e5da9f955a23,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,8cc9d6314f805c0849ab1bef4bbe3ab6eee18b3bd182675a69715d07a3689716,3.5527136788005e-15,4.7335766
8,MC1_K2_N1_L1_SM6_P1_R02,8364cc992f0feb462ae746eb499697f7f56e9c174320c47daa7dc269b0e495b2,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,b623698dd4b84322eaa0ef8ef0c27d28fa10b0b737d9dbe0e85a6bf9a8569004,8.88178419700125e-16,3.6958713
9,MC1_K2_N1_L1_SP0_P1_R02,86e2d6abb8b45df7884aeead1f2ca1a49eb096acd34001519f3160cc2150872c,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,78655dcbf30ed2b8b0c1a804f0abd3bc303971aeb6f7127f93df99eb7b12cbf4,6.75029226587301e-15,2.442553
10,MC1_K2_N1_L1_SP6_P1_R02,8aa07ffd783457d9fa1ffd1a5787806d4f1d32ec0dbe8a4f48073374c8982abe,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,e58ffaaf0d312fb1e107d95b0c97304bec13f6b32e9e87e8b78cbfb340f56dd1,7.99360577730113e-15,3.1889515
11,MC1_K2_N1_L1_SP10_P1_R02,ca9be2ce5251246659f747d64e8319128b64f080abcec1b62bffb46b1dadba43,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,22d984b4230bfc6a84ede0cf81d3f6e9f3bff7c4ea997414eaf130e7be3f6ee1,1.77635683940025e-15,5.0616461
12,MC1_K2_N1_L1_SP14_P1_R02,1dd8a3f65fe402573afe1eebf924eff530f3ae1703fdaaf33d97fd99252204fa,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,1,dc2d12674d8616849567af52172ea0756b01d36eadc899ef96e94a6000921f0c,3.5527136788005e-15,6.6522051
