method_id,white_beamspace_snr_target_db,paired_valid_count,new_wins,ties,tangent_wins,delta_rmse_new_minus_tangent_median_deg
CORE_LITE,-6,240,3,211,26,0
CORE_LITE,0,240,23,164,53,0
CORE_LITE,6,240,14,142,84,0
CORE_LITE,10,240,21,113,106,0
CORE_LITE,14,240,18,69,153,0.0542194303561117
CORE_LITE,18,240,16,54,170,0.0763636115720261
CORE_LITE,22,240,23,38,179,0.0796705615672754
CORE_PLUS,-6,240,58,93,89,0
CORE_PLUS,0,240,66,75,99,0
CORE_PLUS,6,240,57,64,119,0
CORE_PLUS,10,240,62,54,124,0.00125220698516548
CORE_PLUS,14,240,49,24,167,0.0513671180901871
CORE_PLUS,18,240,35,20,185,0.0721855416262374
CORE_PLUS,22,240,48,11,181,0.0584074919174045
FULL4D_BEAMSPACE_CML_MULTISTART,-6,240,110,29,101,0
FULL4D_BEAMSPACE_CML_MULTISTART,0,240,90,16,134,0.00596655224465253
FULL4D_BEAMSPACE_CML_MULTISTART,6,240,88,8,144,0.0110714148927135
FULL4D_BEAMSPACE_CML_MULTISTART,10,240,86,5,149,0.019776895580124
FULL4D_BEAMSPACE_CML_MULTISTART,14,240,57,1,182,0.0423410443620558
FULL4D_BEAMSPACE_CML_MULTISTART,18,240,52,0,188,0.0458521643103199
FULL4D_BEAMSPACE_CML_MULTISTART,22,240,63,0,177,0.0293768089924201
BEAMSPACE_MUSIC_K2,-6,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,0,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,6,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,10,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,14,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,18,0,0,0,0,NaN
BEAMSPACE_MUSIC_K2,22,0,0,0,0,NaN
FULL4D_ELEMENT_CML_MULTISTART,-6,0,0,0,0,NaN
FULL4D_ELEMENT_CML_MULTISTART,0,0,0,0,0,NaN
FULL4D_ELEMENT_CML_MULTISTART,6,0,0,0,0,NaN
FULL4D_ELEMENT_CML_MULTISTART,10,40,14,0,26,0.0241205383313531
FULL4D_ELEMENT_CML_MULTISTART,14,40,11,0,29,0.0354078276346628
FULL4D_ELEMENT_CML_MULTISTART,18,40,12,0,28,0.0239222399235337
FULL4D_ELEMENT_CML_MULTISTART,22,40,14,0,26,0.0134254663986687
ELEMENT_MUSIC_K2,-6,3,0,1,2,0.274456264653803
ELEMENT_MUSIC_K2,0,0,0,0,0,NaN
ELEMENT_MUSIC_K2,6,0,0,0,0,NaN
ELEMENT_MUSIC_K2,10,0,0,0,0,NaN
ELEMENT_MUSIC_K2,14,0,0,0,0,NaN
ELEMENT_MUSIC_K2,18,0,0,0,0,NaN
ELEMENT_MUSIC_K2,22,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,-6,5,4,0,1,-0.0195946971483207
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,0,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,6,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,10,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,14,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,18,0,0,0,0,NaN
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,22,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,-6,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,0,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,6,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,10,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,14,1,1,0,0,-0.0558528751410621
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,18,1,0,0,1,0.0346595126956468
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,22,3,2,0,1,-0.00754953270998457
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,-6,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,0,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,6,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,10,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,14,0,0,0,0,NaN
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,18,2,1,0,1,-0.014424279891945
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,22,5,2,0,3,0.00571628478047505
