trial_id,global_trial_index,element_trial_hash,measurement_hash,method_id,noise_profile_id,L,profile_id,replicate_id,white_beamspace_snr_target_db,applicable,applicability_status,applicability_uses_registered_scenario_flag,fit_valid,fit_status,raw_vertical_eigenvalues_top6,fbss_eigenvalues_top6,raw_signal_noise_eigengap,fbss_signal_noise_eigengap,vertical_covariance_condition_proxy,fbss_condition_proxy,vertical_hermitian_residual,fbss_hermitian_residual,fb_structure_residual,noise_whitening_residual,sample_eigenvalues_top6,element_music_sample_rank,element_music_rank_threshold,element_music_local_peak_count,element_music_top10_peaks,elevation_fit_valid,elevation_fit_status,elevations_hat_deg,elevation_selection_values,gfbss_candidate_count,gfbss_top10_elevation_peaks,gfbss_selected_elevations,root_polynomial_degree,all_root_count,registered_root_count,top10_registered_root_elevations,root_moduli,root_phases,selected_roots,esprit_shift_matrix_rank,S1_singular_values,esprit_eigenvalue_real,esprit_eigenvalue_imag,esprit_eigenvalue_modulus,esprit_eigenvalue_phase,conditional_az_cml_executed,conditional_az_cml_valid,conditional_az_cml_status,coarse_candidate_count,continuous_start_count,best_coarse_loglik,selected_start,sweep_count,truth_used_in_fit_flag,profile_used_in_fit_flag
MC1_K2_N1_L1_SM6_P1_R01,1,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,-6,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[2.6430132890122509 2.3825026105463158 2.2905347287480238 2.1192778987966983 1.923538358914729 1.8175290016699523],[1.8066274776776872 1.6489326068487176 1.6111964440447408 1.5246225321247135 1.4163850804653553 1.3816924753194557],1.04015127151054,1.02342120536788,19.7972585083027,4.01873509507592,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SM6_P1_R01,1,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,-6,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[2.6430132890122509 2.3825026105463158 2.2905347287480238 2.1192778987966983 1.923538358914729 1.8175290016699523],[1.8066274776776872 1.6489326068487176 1.6111964440447408 1.5246225321247135 1.4163850804653553 1.3816924753194557],1.04015127151054,1.02342120536788,19.7972585083027,4.01873509507592,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[-0.58809405034987261 0.61815018155743129],[0.2637656255941182 0.075751467078712997],[0.64453620325159011 0.62277438268129059],[2.71997912187775 0.12193744125075041],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SM6_P1_R01,1,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,-6,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS,[2.6430132890122509 2.3825026105463158 2.2905347287480238 2.1192778987966983 1.923538358914729 1.8175290016699523],[1.8066274776776872 1.6489326068487176 1.6111964440447408 1.5246225321247135 1.4163850804653553 1.3816924753194557],1.04015127151054,1.02342120536788,19.7972585083027,4.01873509507592,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SM6_P1_R01,1,09dede20a1672ff4f90b4bc1188c4d3252e65551578e344d7322002addf46344,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,WHITE,1,P1,1,-6,1,APPLICABLE,0,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[2.6430132890122509 2.3825026105463158 2.2905347287480238 2.1192778987966983 1.923538358914729 1.8175290016699523],[1.8066274776776872 1.6489326068487176 1.6111964440447408 1.5246225321247135 1.4163850804653553 1.3816924753194557],1.04015127151054,1.02342120536788,19.7972585083027,4.01873509507592,0,0,0,0,,0,NaN,0,,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP0_P1_R01,2,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[2.6478480423979356 2.4032033759190004 2.3017849891056099 2.135745550287742 1.9452324508151169 1.8168316805272435],[1.8338559343240415 1.6704796928090264 1.6210020229452333 1.5234291762471264 1.4194515141205901 1.3941836831896182],1.04406075601909,1.03052289211453,19.3818220845011,4.03417240000285,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP0_P1_R01,2,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,0,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[2.6478480423979356 2.4032033759190004 2.3017849891056099 2.135745550287742 1.9452324508151169 1.8168316805272435],[1.8338559343240415 1.6704796928090264 1.6210020229452333 1.5234291762471264 1.4194515141205901 1.3941836831896182],1.04406075601909,1.03052289211453,19.3818220845011,4.03417240000285,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[-0.62879466985493038 0.65839824376429867],[0.18512740345927087 0.24923517116408797],[0.65548065749459195 0.70399319452470921],[2.8552663544284713 0.36187738932170355],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP0_P1_R01,2,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,WHITE,1,P1,1,0,1,APPLICABLE,0,0,ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS,[2.6478480423979356 2.4032033759190004 2.3017849891056099 2.135745550287742 1.9452324508151169 1.8168316805272435],[1.8338559343240415 1.6704796928090264 1.6210020229452333 1.5234291762471264 1.4194515141205901 1.3941836831896182],1.04406075601909,1.03052289211453,19.3818220845011,4.03417240000285,0,0,0,0,,0,NaN,0,,0,ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS,[NaN NaN],[NaN NaN],0,,[NaN NaN],59,60,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP0_P1_R01,2,0b8d70d678c03c2ab07f508a16dd4e298c18f86c722b0dfefcfbaee5d3c555f5,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,WHITE,1,P1,1,0,1,APPLICABLE,0,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[2.6478480423979356 2.4032033759190004 2.3017849891056099 2.135745550287742 1.9452324508151169 1.8168316805272435],[1.8338559343240415 1.6704796928090264 1.6210020229452333 1.5234291762471264 1.4194515141205901 1.3941836831896182],1.04406075601909,1.03052289211453,19.3818220845011,4.03417240000285,0,0,0,0,,0,NaN,0,,0,GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS,[NaN NaN],[NaN NaN],1,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],0,,[NaN NaN],[0 0],[NaN NaN],[NaN NaN],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP6_P1_R01,3,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_MUSIC_K2,WHITE,1,P1,1,6,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,0,0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,[2.7702205614682955 2.5656891397145629 2.3285066092184348 2.197194867154272 2.004921015192632 1.8167848887031239],[2.1659282619818914 1.737890355523277 1.6283687248722256 1.5250936955149028 1.459970475961218 1.4100569301361146],1.10186036387319,1.0672584955595,19.9599924622714,4.69561287980499,0,0,0,0,[NaN NaN NaN NaN NaN NaN],0,NaN,0,[NaN NaN],0,NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK,,,0,,,0,0,0,,,,,0,,,,,,0,0,NOT_APPLICABLE,0,0,NaN,,0,0,0
MC1_K2_N1_L1_SP6_P1_R01,3,d9508cb6d9cedd4c8845c02118997f2cd4e377fb725d8a85efe1d41be2dcaf4f,31a85cf10323dcb0ff906b98f8f0dab39e853ab81d2695b1979df50869258a07,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,WHITE,1,P1,1,6,1,APPLICABLE,0,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[2.7702205614682955 2.5656891397145629 2.3285066092184348 2.197194867154272 2.004921015192632 1.8167848887031239],[2.1659282619818914 1.737890355523277 1.6283687248722256 1.5250936955149028 1.459970475961218 1.4100569301361146],1.10186036387319,1.0672584955595,19.9599924622714,4.69561287980499,0,0,0,0,,0,NaN,0,,0,ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN,[NaN NaN],[NaN NaN],0,,[NaN NaN],0,0,0,,[NaN NaN],,[NaN NaN],2,,[0.75661188315848638 -0.66547978421833243],[0.50984514688924121 0.099510282596762062],[0.91236155965885746 0.67287862170362178],[0.59296123313170557 2.9931607925706132],0,0,NOT_RUN_ELEVATION_INVALID,0,0,NaN,,0,0,0
