global_trial_index,trial_id,noise_profile_id,profile_id,white_beamspace_snr_target_db,L,replicate_id,element_music_payload,gfbss_applicable,root_applicable,esprit_applicable
561,MC1_K2_N1_L8_SM6_P1_R01,WHITE,P1,-6,8,1,1,1,1,1
562,MC1_K2_N1_L8_SP0_P1_R01,WHITE,P1,0,8,1,1,1,1,1
563,MC1_K2_N1_L8_SP6_P1_R01,WHITE,P1,6,8,1,1,1,1,1
564,MC1_K2_N1_L8_SP10_P1_R01,WHITE,P1,10,8,1,1,1,1,1
565,MC1_K2_N1_L8_SP14_P1_R01,WHITE,P1,14,8,1,1,1,1,1
566,MC1_K2_N1_L8_SP18_P1_R01,WHITE,P1,18,8,1,1,1,1,1
567,MC1_K2_N1_L8_SP22_P1_R01,WHITE,P1,22,8,1,1,1,1,1
631,MC1_K2_N1_L8_SM6_P2_R01,WHITE,P2,-6,8,1,1,0,0,0
632,MC1_K2_N1_L8_SP0_P2_R01,WHITE,P2,0,8,1,1,0,0,0
633,MC1_K2_N1_L8_SP6_P2_R01,WHITE,P2,6,8,1,1,0,0,0
634,MC1_K2_N1_L8_SP10_P2_R01,WHITE,P2,10,8,1,1,0,0,0
635,MC1_K2_N1_L8_SP14_P2_R01,WHITE,P2,14,8,1,1,0,0,0
636,MC1_K2_N1_L8_SP18_P2_R01,WHITE,P2,18,8,1,1,0,0,0
637,MC1_K2_N1_L8_SP22_P2_R01,WHITE,P2,22,8,1,1,0,0,0
701,MC1_K2_N1_L8_SM6_P3_R01,WHITE,P3,-6,8,1,1,1,1,1
702,MC1_K2_N1_L8_SP0_P3_R01,WHITE,P3,0,8,1,1,1,1,1
703,MC1_K2_N1_L8_SP6_P3_R01,WHITE,P3,6,8,1,1,1,1,1
704,MC1_K2_N1_L8_SP10_P3_R01,WHITE,P3,10,8,1,1,1,1,1
705,MC1_K2_N1_L8_SP14_P3_R01,WHITE,P3,14,8,1,1,1,1,1
706,MC1_K2_N1_L8_SP18_P3_R01,WHITE,P3,18,8,1,1,1,1,1
707,MC1_K2_N1_L8_SP22_P3_R01,WHITE,P3,22,8,1,1,1,1,1
771,MC1_K2_N1_L8_SM6_P4_R01,WHITE,P4,-6,8,1,1,1,1,1
772,MC1_K2_N1_L8_SP0_P4_R01,WHITE,P4,0,8,1,1,1,1,1
773,MC1_K2_N1_L8_SP6_P4_R01,WHITE,P4,6,8,1,1,1,1,1
774,MC1_K2_N1_L8_SP10_P4_R01,WHITE,P4,10,8,1,1,1,1,1
775,MC1_K2_N1_L8_SP14_P4_R01,WHITE,P4,14,8,1,1,1,1,1
776,MC1_K2_N1_L8_SP18_P4_R01,WHITE,P4,18,8,1,1,1,1,1
777,MC1_K2_N1_L8_SP22_P4_R01,WHITE,P4,22,8,1,1,1,1,1
1401,MC1_K2_N2_L8_SM6_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,-6,8,1,1,1,0,0
1402,MC1_K2_N2_L8_SP0_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,0,8,1,1,1,0,0
1403,MC1_K2_N2_L8_SP6_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,6,8,1,1,1,0,0
1404,MC1_K2_N2_L8_SP10_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,10,8,1,1,1,0,0
1405,MC1_K2_N2_L8_SP14_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,14,8,1,1,1,0,0
1406,MC1_K2_N2_L8_SP18_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,18,8,1,1,1,0,0
1407,MC1_K2_N2_L8_SP22_P1_R01,STAGE5_TOEPLITZ_CORRELATED,P1,22,8,1,1,1,0,0
