method_id,white_beamspace_snr_target_db,total_count,applicable_count,elevation_valid_count,elevation_valid_rate,conditional_executed_count,conditional_valid_count,conditional_valid_rate,end_to_end_valid_count,end_to_end_valid_rate,raw_eigengap_median,fbss_eigengap_median,registered_root_count_median
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,-6,240,90,0,0,0,0,NaN,0,0,1.0468880173908,1.02466629351639,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,0,240,90,0,0,0,0,NaN,0,0,1.05061756686694,1.03158539327019,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,6,240,90,0,0,0,0,NaN,0,0,1.05996940427275,1.03709640959781,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,10,240,90,0,0,0,0,NaN,0,0,1.05908780724525,1.03477177997332,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,14,240,90,0,0,0,0,NaN,0,0,1.0618920792784,1.03425977917158,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,18,240,90,2,0.0222222222222222,2,2,1,2,0.0222222222222222,1.06330751448748,1.03532977050198,0
ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,22,240,90,5,0.0555555555555556,5,5,1,5,0.0555555555555556,1.06284082833968,1.04332206961771,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,-6,240,90,0,0,0,0,NaN,0,0,1.0468880173908,1.02466629351639,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,0,240,90,0,0,0,0,NaN,0,0,1.05061756686694,1.03158539327019,0
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,6,240,90,0,0,0,0,NaN,0,0,1.05996940427275,1.03709640959781,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,10,240,90,0,0,0,0,NaN,0,0,1.05908780724525,1.03477177997332,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,14,240,90,1,0.0111111111111111,1,1,1,1,0.0111111111111111,1.0618920792784,1.03425977917158,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,18,240,90,1,0.0111111111111111,1,1,1,1,0.0111111111111111,1.06330751448748,1.03532977050198,1
ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,22,240,90,3,0.0333333333333333,3,3,1,3,0.0333333333333333,1.06284082833968,1.04332206961771,1
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,-6,240,180,5,0.0277777777777778,5,5,1,5,0.0277777777777778,1.07074977260731,1.05050557717932,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,0,240,180,0,0,0,0,NaN,0,0,1.07014507422103,1.04928684771546,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,6,240,180,0,0,0,0,NaN,0,0,1.08372250847315,1.06001048398285,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,10,240,180,0,0,0,0,NaN,0,0,1.0825285108887,1.06012013264246,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,14,240,180,0,0,0,0,NaN,0,0,1.08474199733135,1.06015064672175,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,18,240,180,0,0,0,0,NaN,0,0,1.08612304781567,1.06611170781092,0
ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,22,240,180,0,0,0,0,NaN,0,0,1.08875239573733,1.06737346275764,0
