measurement_identity,case_type,case_id,angle1_az,angle1_el,angle2_az,angle2_el,key1,key2,exact_key_error_deg,legacy_vs_direct_G_rel_error,legacy_vs_direct_G_abs_error,direct_vs_dictionary_G_rel_error,direct_vs_dictionary_G_abs_error,singular_value_abs_error,sigma1_direct,sigma2_direct,sigma1_dictionary,sigma2_dictionary,rank_threshold_direct,rank_threshold_dictionary,rank_threshold_abs_difference,rank_direct,rank_dictionary,rank_match,first_column_rel_error,second_column_rel_error,continuous_numeric_pass,discrete_decision_pass,static_pass,failure_reason
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_01,7.4,9.8,NaN,NaN,OMEGA_01,NOT_APPLICABLE,0,0,0,1.16621811489873e-12,5.22860586054041e-11,1.4210854715202e-14,45.6070096665254,NaN,45.6070096665255,NaN,1.51901856648236e-13,1.51901856648236e-13,5.04870979341448e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_02,7.4,10,NaN,NaN,OMEGA_02,NOT_APPLICABLE,0,0,0,3.86743461256189e-11,1.75910877949761e-09,6.3948846218409e-14,45.6070170039656,NaN,45.6070170039656,NaN,1.51901881086821e-13,1.51901881086821e-13,2.01948391736579e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_03,7.4,10.2,NaN,NaN,OMEGA_03,NOT_APPLICABLE,0,0,0,7.94363547374999e-12,3.61790249291167e-10,4.2632564145606e-14,45.6070096935993,NaN,45.6070096935993,NaN,1.5190185673841e-13,1.5190185673841e-13,1.26217744835362e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_04,7.6,9.8,NaN,NaN,OMEGA_04,NOT_APPLICABLE,0,0,0,9.215966068334e-12,4.19044193774141e-10,1.4210854715202e-14,45.607009370521,NaN,45.607009370521,NaN,1.51901855662343e-13,1.51901855662343e-13,5.04870979341448e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_05,7.6,10,NaN,NaN,OMEGA_05,NOT_APPLICABLE,0,0,0,6.27733797177411e-11,2.86221161671188e-09,1.63424829224823e-13,45.6070167105165,NaN,45.6070167105166,NaN,1.51901880109439e-13,1.51901880109439e-13,5.3011452830852e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_06,7.6,10.2,NaN,NaN,OMEGA_06,NOT_APPLICABLE,0,0,0,1.44646855646433e-11,6.5822303159015e-10,2.8421709430404e-14,45.6070094065887,NaN,45.6070094065887,NaN,1.51901855782473e-13,1.51901855782473e-13,1.0097419586829e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_07,7.8,9.8,NaN,NaN,OMEGA_07,NOT_APPLICABLE,0,0,0,3.55626543285816e-12,1.56858175816212e-10,2.8421709430404e-14,45.6070094378273,NaN,45.6070094378273,NaN,1.51901855886518e-13,1.51901855886518e-13,1.0097419586829e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_08,7.8,10,NaN,NaN,OMEGA_08,NOT_APPLICABLE,0,0,0,3.48628818297313e-11,1.58796550805391e-09,2.1316282072803e-14,45.6070167762242,NaN,45.6070167762242,NaN,1.5190188032829e-13,1.5190188032829e-13,7.57306469012171e-29,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_09,7.8,10.2,NaN,NaN,OMEGA_09,NOT_APPLICABLE,0,0,0,1.95621136034599e-12,8.44227158584111e-11,4.2632564145606e-14,45.6070094698203,NaN,45.6070094698202,NaN,1.51901855993076e-13,1.51901855993076e-13,1.51461293802434e-28,1,1,1,NaN,NaN,1,1,1,
208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,SINGLE,SINGLE_10,8,9.8,NaN,NaN,OMEGA_10,NOT_APPLICABLE,0,0,0,3.24096061067325e-11,1.47684577503302e-09,5.6843418860808e-14,45.6070096674562,NaN,45.6070096674563,NaN,1.51901856651336e-13,1.51901856651336e-13,1.76704842769507e-28,1,1,1,NaN,NaN,1,1,1,
