schema_version,row_kind,cache_candidate_canonical_mode_id,cache_layer,lifecycle_setting,fixed_measurement_hash,batch_trial_count,paired_repeat_count,AB_count,BA_count,micro_warmup_repeat_count,micro_measured_repeat_count,build_sec,load_sec,validate_sec,setup_sec,hash_sec,lookup_hit_sec,lookup_miss_sec,store_sec,copy_sec,reset_sec,entry_count,bytes_peak,break_even_model_id,break_even_N,N_balanced_cycles,net_saving_sec,lifecycle_model_residual_sec
STAGE8_K2_TECS_LIFECYCLE_V1,OPERATION_SUMMARY,NaN,C1,,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,36,0,0,0,5,30,0.31589075,0.0014427,0.0012595,0.00032535,0.000123372,0.000207464,2.5892e-05,0.0005980395,0.000320958,2.095e-05,121,136486,,NaN,NaN,NaN,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,OPERATION_SUMMARY,NaN,C1,,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,36,0,0,0,5,30,0.3139845,0.00144875,0.00128605,0.0003308,0.0001223165,0.000210982,2.55035e-05,0.0006004075,0.0003250105,2.145e-05,121,136528,,NaN,NaN,NaN,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,C1,COLD_BUILD,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,36,10,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,16686,,NaN,NaN,-0.500405350000008,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,C1,COLD_BUILD,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,36,10,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,16728,,NaN,NaN,-0.304602950000003,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,,COLD_BUILD,OVERALL_2_IDENTITIES,36,20,10,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,NaN,NaN,-0.805008300000011,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,C1,COLD_LOAD,208ac1cfafa1a4e0367aa0af9d46f0a362b14343fad97aaa06a7888e73a536fe,36,10,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,16686,,NaN,NaN,-0.731678700000003,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,C1,COLD_LOAD,e965700fc8d335f6546924993f4e20988aa34b85d5e11899ed0fb3136c3a5c16,36,10,5,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,16728,,NaN,NaN,-0.304206450000009,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,LIFECYCLE_POINT,NaN,,COLD_LOAD,OVERALL_2_IDENTITIES,36,20,10,10,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,NaN,NaN,-1.03588515000001,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,BREAK_EVEN_CURVE,NaN,C1,COLD_BUILD,,36,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,BALANCED_TWO_IDENTITY_UNIFORM_FROZEN_REGISTRY_AVERAGE_MODEL,Inf,1,-0.644888680555556,NaN
STAGE8_K2_TECS_LIFECYCLE_V1,BREAK_EVEN_CURVE,NaN,C1,COLD_BUILD,,36,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,BALANCED_TWO_IDENTITY_UNIFORM_FROZEN_REGISTRY_AVERAGE_MODEL,Inf,2,-0.653808961111111,NaN
