schema_version,stage_id,architectural_role,cache_eligible,call_count,column_count,cache_hit_count,cache_miss_count,fallback_count,status
STAGE8_K2_TFBC_EXPOSURE_V1,K1_INIT_CONVENTIONAL,CONVENTIONAL_REGISTERED_G_ONLY,1,1512,1512,1512,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K1_FIXED_REGISTERED_REFINEMENT,K1_FIXED_REFINEMENT,1,1604,1604,1604,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K1_FIXED_FINAL_CERTIFICATION,K1_FINAL_CERTIFICATION,1,144,144,144,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K2_INIT_CONVENTIONAL,CONVENTIONAL_REGISTERED_G_ONLY,1,1512,1512,1512,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K2_HELPER_K1,K2_HELPER_K1_FIXED_FIT,1,1748,1748,1748,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K2_NESTED_ANCHOR,K2_NESTED_ANCHOR_REGISTERED_CANDIDATES,1,1512,3024,3024,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K2_REGISTERED_REFINEMENT,K2_FIXED_REFINEMENT,1,6104,12208,12208,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,K2_FINAL_CERTIFICATION,K2_FINAL_CERTIFICATION,1,144,288,288,0,0,EXACT_REGISTERED_CACHE_HIT
STAGE8_K2_TFBC_EXPOSURE_V1,T4_CONTINUOUS_PROFILE,LEGACY_CONTINUOUS_MANIFOLD,0,0,0,0,0,0,FINITE_REGISTERED_CACHE_BYPASSED
STAGE8_K2_TFBC_EXPOSURE_V1,OVERALL,FIXED_REGISTERED_BACKBONE,1,14280,22040,22040,0,0,COMPLETE_ELIGIBLE_CACHE_COVERAGE
