case_index,trial_id,center_offset,noise_profile_id,profile_id,element_trial_hash,decision_equal,trajectory_equal,angle_error_deg,K1_angle_error_deg,direction_error,rho_error_deg,raw_angle_error_deg,rss_error,loglik_error,t4_cache_query_count,truth_leakage_count,fixed_fallback_reason,pass
1,MC24_C+001_N1_P1,1,WHITE,P1,94e82ed001db796b75dd44ea03fc5f95e89f6ad539fab12130f5cacef2d6f107,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
2,MC24_C+001_N1_P2,1,WHITE,P2,e662cc3130a42e07457a9e996097a869479e094937a6c5a72b58744eddd6dda8,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
3,MC24_C+001_N1_P3,1,WHITE,P3,94b4730d292d566bafb24b5c18275a0df7222fcc3fb94799bf09c01310d0131e,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
4,MC24_C+001_N1_P4,1,WHITE,P4,5f05efccb23e80212b02befb968cf38636fbcb39c470abbd431078ee8ad29153,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
5,MC24_C+001_N2_P1,1,STAGE5_TOEPLITZ_CORRELATED,P1,013991332a25a400610a64f7f9f24b6293098dc9c9ef0500098606c7c7f61721,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
6,MC24_C+001_N2_P2,1,STAGE5_TOEPLITZ_CORRELATED,P2,b360d344b703e3fed40900f02a053e455450930df6675e5ce18e09e3e60a91e0,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
7,MC24_C+001_N2_P3,1,STAGE5_TOEPLITZ_CORRELATED,P3,16832c3baf33403ffb1176e7e42ee9ac9affbe64e712b8faa3e04bd272088c94,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
8,MC24_C+001_N2_P4,1,STAGE5_TOEPLITZ_CORRELATED,P4,abdb0d8cfce54516bf4ba7ecda68a47b635c047705863ce4291f7d8252b3f226,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
9,MC24_C-008_N1_P1,-8,WHITE,P1,98eaea7334d28a7ab0e63b446cc82ce3760bb246a9ccb6ba3beb2c7a97b7354d,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
10,MC24_C-008_N1_P2,-8,WHITE,P2,7a694c4b21aff10e7bfbdb4e9d9070cdbaa13ceedced3337ca822b507ae6d8b2,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
11,MC24_C-008_N1_P3,-8,WHITE,P3,5c8390e5cd8aaf6c78c61469509267bdff98fc9e64369da51c6f9f583a6031bf,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
12,MC24_C-008_N1_P4,-8,WHITE,P4,aa5ae74e12ec80123230c3a105176dd1a4379bf0b1c829f206ac907ce91909d3,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
13,MC24_C-008_N2_P1,-8,STAGE5_TOEPLITZ_CORRELATED,P1,40b073c1820e8b5953972c6fb19140986cb560dfd05c5f560b0f12dc60a6850d,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
14,MC24_C-008_N2_P2,-8,STAGE5_TOEPLITZ_CORRELATED,P2,60ccc2e18eb8512b01bf8393a3caabe67e71cb1b9f06892e0f189c33affb3232,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
15,MC24_C-008_N2_P3,-8,STAGE5_TOEPLITZ_CORRELATED,P3,8e178c6e1f007d1eecd092e369b275c3353d15780a11779297bcd7237467105b,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
16,MC24_C-008_N2_P4,-8,STAGE5_TOEPLITZ_CORRELATED,P4,37ba8554d277aba7aeca1d499cff5b31e778f9ebc98cd0301ada8e35832af787,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
17,MC24_C+096_N1_P1,96,WHITE,P1,97f9368a2c775db72e33db71f80d168ca5d1e0be19fcf1e634aaeb6a66d5b8f3,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
18,MC24_C+096_N1_P2,96,WHITE,P2,7d61f653806ff103313affc89ebc7cb080537325da8d26cee751d1683740dfbf,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
19,MC24_C+096_N1_P3,96,WHITE,P3,3f5db62071ceb0016a700bd1d91f79ea17c5291fc5d1450380b8f067f30dadeb,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
20,MC24_C+096_N1_P4,96,WHITE,P4,91f681bfe9d07dfa02572107c45718120066242fdd124d65be90bc41639bc3c9,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
21,MC24_C+096_N2_P1,96,STAGE5_TOEPLITZ_CORRELATED,P1,d24700d74679503ba24099707768e5ff2f7305700338256b5f8f6461b6f86bd4,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
22,MC24_C+096_N2_P2,96,STAGE5_TOEPLITZ_CORRELATED,P2,6fdef72f484d4231789a52b27d7e9cbb8caee1893f5306878f46e83f4c47476e,1,1,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE,1
