metric,value,metric_role,gate_threshold,gate_status
GEOMETRY_192_COUNT,192,GATED_PHYSICAL_ROTATION_EQUIVALENCE,192,PASS
GEOMETRY_192_MAX_RELATIVE_ERROR,0,GATED_PHYSICAL_ROTATION_EQUIVALENCE,1e-13,PASS
GEOMETRY_192_MAX_STEERING_ERROR,1.70499534868008e-14,GATED_PHYSICAL_ROTATION_EQUIVALENCE,1e-13,PASS
PRODUCTION_MODEL_COUNT,16,GATED_PRODUCTION_MODEL_COUNT,16,PASS
MAX_W_ERROR,0,GATED_CANONICAL_ONLINE_EQUIVALENCE,1e-11,PASS
MAX_C_ERROR,0,GATED_CANONICAL_ONLINE_EQUIVALENCE,1e-11,PASS
MAX_CANONICAL_ONLINE_T_ERROR,0,GATED_REFERENCE_PSD_COORDINATE_EQUIVALENCE,1e-10,PASS
MAX_RAW_REBUILT_W_ERROR,1.03197443560904e-14,GATED_PHYSICAL_ROTATION_EQUIVALENCE,1e-11,PASS
MAX_RAW_REBUILT_C_ERROR,9.1017722933276e-15,GATED_PHYSICAL_ROTATION_EQUIVALENCE,1e-11,PASS
MAX_RAW_REBUILT_T_ERROR,0.00162023988502468,DIAGNOSTIC_ONLY_EIGENBASIS_DEPENDENT,NaN,DIAGNOSTIC_ONLY
MAX_RAW_WHITENING_RESIDUAL,2.98213555782065e-08,DIAGNOSTIC_ONLY_ILL_CONDITIONED_FORWARD_EVALUATION,NaN,DIAGNOSTIC_ONLY
MAX_REFERENCE_WHITENING_RESIDUAL,5.34557191205556e-08,DIAGNOSTIC_ONLY_ILL_CONDITIONED_FORWARD_EVALUATION,NaN,DIAGNOSTIC_ONLY
MAX_RAW_WHITENING_BACKWARD_ERROR,3.28350857433993e-15,GATED_BASIS_INVARIANT_WHITENING_BACKWARD_STABILITY,1e-10,PASS
MAX_REFERENCE_WHITENING_BACKWARD_ERROR,9.20166863674306e-15,GATED_BASIS_INVARIANT_WHITENING_BACKWARD_STABILITY,1e-10,PASS
MAX_WHITENER_Q_UNITARITY_ERROR,5.22429471926255e-08,GATED_CONDITIONING_INVESTIGATED_COORDINATE_MAP,1e-07,PASS
MAX_WHITENER_ALIGNMENT_ERROR,8.54177560760816e-16,GATED_BASIS_INVARIANT_COORDINATE_MAP,1e-10,PASS
MAX_WHITENER_ROW_SPACE_PROJECTOR_ERROR,7.43153060389754e-12,FALLBACK_ONLY_RANK_DEFICIENT_COORDINATE_MAP,1e-10,NOT_APPLICABLE
MAX_G_ERROR,3.77090691898517e-11,GATED_SHARED_PROVIDER_EQUIVALENCE,1e-10,PASS
RANK_MISMATCH,0,GATED_SHARED_PROVIDER_EQUIVALENCE,0,PASS
NEGATIVE_CONTROL_COUNT,3,GATED_FAIL_CLOSED_ADMISSION,3,PASS
ROTATION_CLASS_HASH_UNIQUE,2,GATED_TWO_LEVEL_IDENTITY,2,PASS
ACTUAL_CENTER_HASH_UNIQUE,16,GATED_TWO_LEVEL_IDENTITY,16,PASS
