scenario_id,profile_id,L,replicate_id,nominal_snr_db,K1_center_az_deg,K1_center_el_deg,K1_fit_valid,K1_status,K1_coarse_count,metric_rank,metric_condition,direction_az,direction_el,rho_hat_deg,rho_max_deg,profile_node_count,fit_valid,fit_status,axis_error_deg,rho_error_deg
RTC_S01_B001,P1,1,1,-6,8.2568734000741,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94119424312685,0.116825519802352,0.993152454521918,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B002,P1,1,2,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.973920810502752,0.226888199053329,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B003,P1,1,3,-6,7.4,9.95741798932719,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94124240429744,-0.720275470208991,0.69368814824474,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B004,P1,1,4,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.729464916565814,0.684018227461542,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B005,P1,1,5,-6,8.42413662829234,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94105773205454,-0.0682231475610517,0.99767008682072,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B006,P1,1,6,-6,7.92038776539779,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9413854769565,-0.248452383132584,0.968644110762947,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B007,P1,1,7,-6,7.4,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94069602604041,-0.232761968914174,0.972533735058685,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B008,P1,1,8,-6,8.53849543761189,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94094775788068,0.0424753518856009,0.999097515001511,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B009,P1,1,9,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,-0.348291902825554,0.937386126644807,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B010,P1,1,10,-6,8.6,10.0541231253566,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94047499591671,0.999541898585796,0.0302653757865562,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B011,P1,1,11,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.177910292636903,0.984046710158543,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B012,P1,1,12,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,0.0248747980327164,0.999690574339296,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B013,P1,1,13,-6,7.77042316522293,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94066779952898,-0.00299332506584282,0.99999551999249,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B014,P1,1,14,-6,7.40971205393132,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146597315658,-0.983697408282318,0.179831612734388,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B015,P1,1,15,-6,7.8195714080991,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94142210707382,0.187245421641393,0.982313163952483,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B016,P1,1,16,-6,7.8926224504256,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94139652709902,-0.374915908739077,0.927058823038944,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B017,P1,1,17,-6,7.4594218684127,10.0227984973773,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94112572467876,0.683970574179376,0.729509598056622,0.00103768874338517,0.173755628256357,43,1,RAW_TANGENT_CORE_VALID,1.84529767214721,0.298962311256614
RTC_S01_B018,P1,1,18,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,0.0538898494596593,0.998546886292885,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B019,P1,1,19,-6,7.4,10.1206991907911,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94089157155525,-0.178653629413993,0.983912028942226,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B020,P1,1,20,-6,7.95381077607342,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94137121991579,0.175250749078603,0.9845238315792,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B021,P2,1,1,-6,7.4,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94146495920444,0.28968723251116,0.957121364989845,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B022,P2,1,2,-6,8.6,9.8,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.9408832344633,-0.0609433848419422,0.998141224398635,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
RTC_S01_B023,P2,1,3,-6,8.24713774539283,9.91908600793153,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94103841485677,-0.385924466280564,0.922530382332236,0.001,0.25817254415072,43,1,RAW_TANGENT_CORE_VALID,67.2988557445201,0.198999999999999
RTC_S01_B024,P2,1,4,-6,8.6,10.2,1,K1_WHITE_SINGLE_TARGET_DML_CENTER_VALID,21,2,1.94012059288914,0.81130959085964,0.584616752906691,NaN,0,0,0,TANGENT_PROFILE_NO_FEASIBLE_SCALE,NaN,NaN
