domain,nominal_snr_db,observations,mean_deviation_db,std_deviation_db,min_deviation_db,P05_deviation_db,median_deviation_db,P95_deviation_db,max_deviation_db
BEAMSPACE,-6,240,0.010485822004138,0.82460357130904,-2.49054515714341,-1.26752681652739,-0.00250618102408007,1.31771945559008,3.42491997760235
BEAMSPACE,0,240,0.0104858220041378,0.82460357130904,-2.49054515714341,-1.26752681652738,-0.00250618102408401,1.31771945559007,3.42491997760235
BEAMSPACE,6,240,0.010485822004138,0.82460357130904,-2.49054515714341,-1.26752681652739,-0.00250618102408495,1.31771945559008,3.42491997760235
BEAMSPACE,10,240,0.0104858220041377,0.824603571309038,-2.49054515714341,-1.26752681652739,-0.00250618102408051,1.31771945559005,3.4249199776024
BEAMSPACE,14,240,0.0104858220041355,0.824603571309039,-2.4905451571434,-1.2675268165274,-0.00250618102410005,1.31771945559005,3.4249199776024
BEAMSPACE,18,240,0.0104858220041357,0.824603571309038,-2.4905451571434,-1.2675268165274,-0.00250618102410094,1.31771945559005,3.4249199776024
BEAMSPACE,22,240,0.0104858220041365,0.824603571309038,-2.4905451571434,-1.2675268165274,-0.00250618102410094,1.31771945559005,3.4249199776024
ELEMENT,-6,240,0.00257719762377862,0.0698631226496124,-0.26176387798261,-0.104433848162985,0.00296084290265997,0.122674003164225,0.23614253373562
ELEMENT,0,240,0.00257719762377839,0.0698631226496124,-0.261763877982607,-0.104433848162984,0.0029608429026576,0.122674003164226,0.236142533735616
ELEMENT,6,240,0.0025771976237781,0.0698631226496126,-0.26176387798261,-0.104433848162985,0.00296084290265997,0.122674003164225,0.23614253373562
ELEMENT,10,240,0.00257719762377719,0.0698631226496109,-0.261763877982609,-0.104433848162985,0.00296084290264975,0.1226740031642,0.236142533735601
ELEMENT,14,240,0.00257719762377665,0.0698631226496106,-0.261763877982601,-0.104433848163,0.00296084290264975,0.1226740031642,0.236142533735601
ELEMENT,18,240,0.00257719762377742,0.0698631226496107,-0.261763877982599,-0.104433848163,0.00296084290265064,0.1226740031642,0.236142533735599
ELEMENT,22,240,0.00257719762377825,0.0698631226496114,-0.261763877982599,-0.104433848163,0.00296084290265064,0.1226740031642,0.236142533735599
