domain,method_id,nominal_snr_db,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13782310714286,0.0296668504464286,0.0311500504464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.36763640714286,0.0304160004464286,0.0357446004464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.09734390714286,0.0296154504464286,0.0308450004464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,10,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.13919380714286,0.0296050504464286,0.0317708004464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,14,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.05678710714286,0.0293101004464286,0.0302382504464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,18,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.09854880714286,0.0291209004464286,0.0305391504464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,22,240,160,1,80,159,0.00625,0.00625,0,0.0907043344884324,0.0907043344884324,0.18720713058623,0.18720713058623,18.434948822918,18.434948822918,0.2888196601125,0.2888196601125,4.86193890714286,0.0281013004464286,0.0293518004464286,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[159,80]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,-6,240,240,240,0,0,1,0.145833333333333,0.00416666666666667,0.202355460270632,0.289226401823724,0.454661256099204,0.665603677611047,43.1088523994108,83.6284831872989,0.0991121596443477,0.408636425264708,595.652928,2.35000985,4.25536555,562447,1124894,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,0,240,240,240,0,0,1,0.279166666666667,0.0125,0.180871436032345,0.286763161983517,0.388209906083112,0.647899871059164,41.0908483117138,80.8268332135087,0.105139376030406,0.761683806564805,677.3106592,2.8296312,4.75994845,681018,1362036,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,6,240,240,240,0,0,1,0.383333333333333,0.0208333333333333,0.133443501179123,0.282317564491512,0.304116730173698,0.563596759770062,31.6497339746021,73.5119817972058,0.148990352219315,0.746810927386412,739.0410538,3.2722131,4.63447995,830585,1661170,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,240,240,240,0,0,1,0.45,0.0416666666666667,0.112525117868507,0.271514142312174,0.255800671050939,0.51480309226848,24.3413913235855,66.6091241122557,0.148876210691071,0.663197527286294,852.810872,3.8547075,4.81177635,934609,1869218,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,14,240,240,240,0,0,1,0.525,0.0875,0.0919739435270418,0.269229630029639,0.221993036892947,0.501047233167783,17.2776812146065,61.2784406915364,0.17222824312511,0.638589440603722,907.8624404,4.17866865,4.6815005,1025342,2050684,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,18,240,240,240,0,0,1,0.654166666666667,0.129166666666667,0.0706166671436588,0.199476495506722,0.174952142061403,0.380592829960314,9.61013744985852,51.6525713696499,0.148531500681125,0.507203501982802,948.0765613,4.19257785,4.63798885,1061243,2122486,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,22,240,240,240,0,0,1,0.7375,0.225,0.0571740885754658,0.163257380800487,0.131025229684003,0.310709228377269,5.26040708600593,37.3815391633003,0.123083418267513,0.389898683909464,900.7712995,4.1173968,4.3139938,1064548,2129096,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,-6,240,240,89,0,151,0.370833333333333,0.179166666666667,0,0.104855706836285,0.204731345457155,0.245479458876775,0.437389898534352,47.4282060936492,83.063224256493,0.180250012710517,0.299000000000001,20.7723701,0.0813939,0.12595485,33967,68174,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":151}"
BEAMSPACE,TANGENT_PROFILE_CORE,0,240,240,166,0,74,0.691666666666667,0.4375,0.00416666666666667,0.0844312241859737,0.166839402529365,0.193445022470665,0.366864890731855,41.1137901847113,80.5456702196891,0.193686562329501,0.337592541863911,23.5947552,0.1042069,0.1357686,40109,80458,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":74}"
BEAMSPACE,TANGENT_PROFILE_CORE,6,240,240,208,0,32,0.866666666666667,0.6875,0.0291666666666667,0.0645846380152114,0.123246109935952,0.154216063376743,0.263495975638446,29.2760280182182,73.0047912791424,0.148999999999999,0.320033893872001,22.7866534,0.09929805,0.11035275,41670,83580,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":32}"
BEAMSPACE,TANGENT_PROFILE_CORE,10,240,240,224,0,16,0.933333333333333,0.829166666666667,0.0625,0.0561598259358284,0.101539046998743,0.127378411016828,0.229631879165391,22.2032938239886,69.3072236329869,0.149,0.29902548642086,23.6566537,0.099793,0.1128794,42196,84632,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":16}"
BEAMSPACE,TANGENT_PROFILE_CORE,14,240,240,234,0,6,0.975,0.920833333333333,0.116666666666667,0.0470133827020673,0.0872235343504333,0.107323229833672,0.193385466385332,15.0081395004309,62.4738702535956,0.148999999999999,0.299,23.5028689,0.099771,0.1084374,42446,85132,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":6}"
BEAMSPACE,TANGENT_PROFILE_CORE,18,240,240,237,0,3,0.9875,0.95,0.204166666666667,0.0383514151651262,0.076124511166438,0.0940570158758223,0.165398135857833,9.35541525194223,54.99048937482,0.148939370024401,0.298999999999998,23.5956942,0.0979171,0.10699755,42353,84946,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":3}"
BEAMSPACE,TANGENT_PROFILE_CORE,22,240,240,238,0,2,0.991666666666667,0.970833333333333,0.275,0.0314735651374854,0.0691893612135029,0.0776366541895387,0.150866621424097,5.84710575802628,42.8773401619738,0.117316975622288,0.232840438176409,21.9181533,0.0947152,0.0992824,41398,83036,480,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":2}"
ELEMENT,ELEMENT_MUSIC_K2,-6,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,842.899712328571,5.25761699553571,5.32304849553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,0,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,840.285608028571,5.23476464553571,5.31121524553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,6,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,876.749820828571,5.44215319553571,5.72746699553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,10,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,870.847039028571,5.40643929553571,5.68043699553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,14,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,857.022487828571,5.30060234553571,5.58626669553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,18,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,869.044995528571,5.43261804553571,5.61629914553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_MUSIC_K2,22,240,160,0,80,160,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,870.642449428571,5.41710354553571,5.64923274553571,3123360,0,160,"{""reason"":[""MUSIC_FEWER_THAN_TWO_PEAKS"",""NOT_APPLICABLE_INSUFFICIENT_SAMPLE_SUBSPACE_RANK""],""count"":[160,80]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,-6,240,180,1,60,179,0.00555555555555556,0.00555555555555556,0,0.0777691129801669,0.0777691129801669,0.165468847481797,0.165468847481797,2.18815284823973,2.18815284823973,0.265747131444299,0.265747131444299,2.4849877,0.00061275,0.00089485,5092,5272,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[179,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,0,240,180,5,60,175,0.0277777777777778,0.0277777777777778,0.0166666666666667,0.0318627976085388,0.0405722801066955,0.0801400917507549,0.101640384532221,1.96440737768508,2.8725465689984,0.111491046184475,0.179499287460289,10.7927161,0.0006032,0.0008273,24319,24499,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[175,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,6,240,180,19,60,161,0.105555555555556,0.105555555555556,0.0166666666666667,0.0443908980362331,0.0640589035006107,0.104328024003237,0.139800050403011,1.25215730628933,5.94628708641204,0.0824048658554702,0.252507888891363,40.0988591,0.00067365,1.52206905,86187,86367,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[161,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,10,240,180,40,60,140,0.222222222222222,0.222222222222222,0.0388888888888889,0.0358000675623174,0.0587521347243891,0.090011728233167,0.136264575951408,0.667503287062166,1.98387424387433,0.129208483386939,0.256145596334351,82.6306578,0.0006957,2.1917856,182635,182815,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[140,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,14,240,180,60,60,120,0.333333333333333,0.333333333333333,0.138888888888889,0.0343162618285123,0.0566485212073018,0.078968921851155,0.139833045131395,0.500109104070478,2.08139718695766,0.132187838043145,0.250380893632196,110.6839595,0.00076005,2.0608939,266327,266507,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[120,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,18,240,180,82,60,98,0.455555555555556,0.455555555555556,0.227777777777778,0.0246190389111977,0.0559607522948506,0.0646432775580039,0.144204365866021,0.412991144397234,2.14497579243722,0.0863109512381418,0.240390692203789,148.789674,0.0009536,2.12801975,354532,354712,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[98,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_LS_ESPRIT_AZ_CML,22,240,180,104,60,76,0.577777777777778,0.577777777777778,0.35,0.0185886955450051,0.0521238506190454,0.0493253807114926,0.125453856672305,0.29497937409526,1.65190668209321,0.0595042069444557,0.163279858057692,190.7401834,1.4467616,2.25046935,443056,443236,360,"{""reason"":[""ESPRIT_ELEVATION_OUTSIDE_LOCAL_DOMAIN"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[76,60]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,-6,240,180,0,60,180,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3742681,0.00180485,0.0023167,10980,0,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,176,4]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,0,240,180,7,60,173,0.0388888888888889,0.0388888888888889,0.00555555555555556,0.0311855271745656,0.0522940518934426,0.0798705261399265,0.13658197865021,2.09906247876687,3.73836368112333,0.114637897108792,0.156790594895587,13.9885169,0.00179215,0.0022548,43315,32335,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,170,3]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,6,240,180,21,60,159,0.116666666666667,0.116666666666667,0.0222222222222222,0.0398846706404662,0.0511177080972871,0.0934522391173863,0.124108192981959,1.02727779120545,2.59419099334879,0.0855274568096729,0.217192758801699,42.5449327,0.00184975,1.68056815,104955,93975,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,155,4]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,10,240,180,40,60,140,0.222222222222222,0.222222222222222,0.0666666666666667,0.0444805521271568,0.0558844808372564,0.0976841478951621,0.134835911907985,0.670488145413833,1.53528375844602,0.157614953275225,0.255211197437464,83.2299212,0.001818,2.1281724,190660,179680,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,137,3]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,14,240,180,64,60,116,0.355555555555556,0.355555555555556,0.161111111111111,0.0373407490327137,0.0563193116764331,0.084802556824579,0.143996432761581,0.53929745105494,1.73782137804327,0.0903803552947278,0.277188789714165,120.9923795,0.0019456,2.0867787,293549,282569,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,114,2]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,18,240,180,83,60,97,0.461111111111111,0.461111111111111,0.277777777777778,0.0245269326858208,0.0505218185002579,0.0619073107646635,0.132421823533164,0.405604026100987,1.67171919777807,0.0730479516998029,0.211604173261796,148.9271889,0.00241935,1.9923372,364839,353859,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""ROOT_MUSIC_FEWER_THAN_TWO_REGISTERED_ROOTS""],""count"":[60,96,1]}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,22,240,180,110,60,70,0.611111111111111,0.611111111111111,0.388888888888889,0.0183276202235117,0.0436058098526222,0.043967618474705,0.104371535820504,0.299093690651969,1.48411622063027,0.0533007215461654,0.169346376091472,194.9103403,1.5148855,2.0689183,472781,461801,180,"{""reason"":[""NOT_APPLICABLE_EQUAL_ELEVATION"",""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS""],""count"":[60,70]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,-6,240,180,0,60,180,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2665086,0.00130445,0.0016679,72180,0,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[180,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,0,240,180,0,60,180,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2286631,0.00122025,0.00147625,72180,0,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[180,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,6,240,180,2,60,178,0.0111111111111111,0.0111111111111111,0,0.0459332570656351,0.0470034452254975,0.122871686812664,0.130683941755745,0.370437425389001,0.470113650649392,0.244471049131756,0.261100516686175,3.3763841,0.00130825,0.001651,80965,8785,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[178,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,10,240,180,2,60,178,0.0111111111111111,0.0111111111111111,0,0.0445685568637461,0.0466707391318473,0.121607171974747,0.131309868961433,0.253971303232579,0.324647780006683,0.242050135665669,0.26250720879763,3.4496871,0.0012714,0.0015086,80968,8788,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[178,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,14,240,180,3,60,177,0.0166666666666667,0.0166666666666667,0.0111111111111111,0.0351484850021314,0.0420889334438684,0.0923835233962716,0.120175596321699,0.2298155431195,0.427581073148428,0.18250461017589,0.239484248145674,5.5812717,0.00125875,0.0016083,86023,13843,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[177,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,18,240,180,7,60,173,0.0388888888888889,0.0388888888888889,0.0388888888888889,0.011551239260991,0.0308503171258091,0.0323114969654329,0.0870081341413338,0.145384220717597,0.252600597437126,0.0630023488329653,0.172591755530796,13.810765,0.00127235,0.00173345,104001,31821,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[173,60]}"
ELEMENT,ELEMENT_VERTICAL_GFBSS_MUSIC_AZ_CML,22,240,180,22,60,158,0.122222222222222,0.122222222222222,0.116666666666667,0.0138432435884168,0.0231164282767028,0.0317461666387712,0.0607488729063494,0.129114537451652,0.463997791454649,0.0592730150595374,0.120118947741199,43.0201088,0.0013166,1.6760008,168084,95904,180,"{""reason"":[""GFBSS_MUSIC_FEWER_THAN_TWO_ELEVATION_PEAKS"",""NOT_APPLICABLE_EQUAL_ELEVATION""],""count"":[158,60]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,-6,240,240,240,0,0,1,0.566666666666667,0.104166666666667,0.0848015222930857,0.209601348587941,0.215543225140435,0.447361184018971,16.5357280296422,57.3415652232309,0.173504529357418,0.534646845022347,773.1179526,3.50124635,4.21950045,962312,962312,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,0,240,240,240,0,0,1,0.758333333333333,0.2,0.0606420738956385,0.149029632300663,0.14112037839679,0.297327561466279,5.0968742340269,40.3646708762964,0.158913226101209,0.3396527591943,817.0371382,3.69275395,4.1900043,1012612,1012612,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,6,240,240,240,0,0,1,0.854166666666667,0.345833333333333,0.0410564170095726,0.11131670171589,0.0955360736107523,0.221635513241967,2.46498777159347,20.2822326872087,0.113027596326381,0.274901546951428,867.0534325,3.7106555,4.6114749,1030513,1030513,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,10,240,240,240,0,0,1,0.925,0.408333333333333,0.0346477586565677,0.0906705570320525,0.0754188079841581,0.179111172316324,1.53507401494683,14.6555391446468,0.0878413092155039,0.244717575652898,864.0279498,3.7726051,4.5206924,1032577,1032577,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,14,240,240,240,0,0,1,0.958333333333333,0.504166666666667,0.0230909200612116,0.0744244799643251,0.0533442006669395,0.160950251794692,1.01189486378866,10.8689936347959,0.0649355522286243,0.198978579755559,826.1198244,3.63262845,4.45602305,1010542,1010542,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,18,240,240,240,0,0,1,0.970833333333333,0.591666666666667,0.015241571027107,0.0583599563722102,0.0355877017638135,0.136057251800123,0.605790360059417,8.40545654507864,0.0502074443890648,0.173183098301378,858.8280644,4.03219065,4.42507005,994669,994669,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,22,240,240,240,0,0,1,0.979166666666667,0.658333333333333,0.0101639474469036,0.0508489520699912,0.0251050376995731,0.111407491155956,0.385419171087989,6.92227729327314,0.0410206376820857,0.161434559655586,883.4123162,3.99063285,4.6590994,989654,989654,0,"{""reason"":[],""count"":[]}"
