domain,method_id,profile_id,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,140,140,12,0,128,0.0857142857142857,5,0,0,0.0357142857142857,0,0.105308443733666,0.136911515974033,0.228505885936512,0.262237400892276,3.43494882292318,3.43494882292637,0.438819660112503,0.438819660112503,5.74246075,0.0407209103571429,0.0420600603571429,2732940,0,140,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":128}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,140,140,8,0,132,0.0571428571428571,4,3,0,0.0285714285714286,0.0214285714285714,0.105119904565671,0.139163221254964,0.228115228550869,0.264568404801074,3.43494882291819,3.43494882292637,0.438819660112502,0.438819660112503,5.74216575,0.0406266603571429,0.0419059603571429,2732940,0,140,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":132}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_A,140,140,140,0,0,1,95,78,0,0.678571428571429,0.557142857142857,0.0587970934686979,0.1749005135603,0.137296395923488,0.376543519144546,5.73243461999433,32.6851185817779,0.123888400935999,0.292297552162544,452.5823723,3.7860013,4.0963694,539585,1079170,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,SC_B,140,140,140,0,0,1,87,64,0,0.621428571428571,0.457142857142857,0.0766343877854855,0.185571983621899,0.161633342710835,0.433868374866122,4.79835978229956,57.0494898347289,0.127882600560531,0.345870536275351,459.8462946,3.7094687,4.17364185,550598,1101196,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_A,140,140,123,0,17,0.878571428571429,101,77,25,0.721428571428571,0.55,0.0378104742655675,0.115243426823091,0.0968295751337462,0.258427652015915,4.2932550510583,29.3336691778622,0.133344712149277,0.449000000000001,12.9897626,0.09386305,0.10432305,23790,47720,280,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":17}"
BEAMSPACE,TANGENT_PROFILE_CORE,SC_B,140,140,130,0,10,0.928571428571429,74,41,25,0.528571428571429,0.292857142857143,0.0922503770748194,0.154354194126289,0.20179864344371,0.302666591570041,4.08930673277344,59.1804425384984,0.197799572707693,0.449000000000001,12.8902288,0.0941104,0.1017281,24637,49414,280,"{""reason"":""TANGENT_PROFILE_NO_FEASIBLE_SCALE"",""count"":10}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_A,140,140,79,0,61,0.564285714285714,79,57,0,0.564285714285714,0.407142857142857,0.0324423434254109,0.083036396812844,0.0796932424265077,0.188772424727701,0.517219886185735,1.47296058924674,0.0602060110768589,0.370143248019917,136.4537731,1.525272,1.9288625,331283,322743,140,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":61}"
ELEMENT,ELEMENT_VERTICAL_FBSS_ROOT_MUSIC_AZ_CML,SC_B,140,140,80,0,60,0.571428571428571,71,62,0,0.507142857142857,0.442857142857143,0.0332328421542774,0.100866534085155,0.0782233826844584,0.201389686042534,0.521431939393955,1.33880486934953,0.128570237760795,0.343065563491898,144.5669525,1.5895704,1.95670585,343313,334773,140,"{""reason"":""ROOT_MUSIC_FEWER_THAN_TWO_DISTINCT_ELEVATIONS"",""count"":60}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_A,140,140,140,0,0,1,139,135,0,0.992857142857143,0.964285714285714,0.00791296983750217,0.0444173601122034,0.0179293507615217,0.105612272965088,0.54311610963104,4.46291136947064,0.0222494783932052,0.137294002302529,535.2419597,3.9892093,4.08841965,633560,633560,0,"{""reason"":[],""count"":[]}"
ELEMENT,FULL4D_ELEMENT_CML_MULTISTART,SC_B,140,140,140,0,0,1,140,138,0,1,0.985714285714286,0.00792080850679978,0.0382071304973696,0.0175345836742883,0.0818112820678176,0.471092050108573,3.28112814437024,0.0261649112374018,0.0957580001475109,545.3948661,4.0523154,4.18224795,645026,645026,0,"{""reason"":[],""count"":[]}"
