domain,method_id,profile_id,nominal_snr_db,fit_status,elevation_status,conditional_status,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,-6,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.852501807142857,0.0413328603571429,0.0473492603571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,0,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812782307142857,0.0404326103571429,0.0418061103571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,6,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.816961607142857,0.0406721103571429,0.0416524603571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,10,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.812486107142857,0.0404935103571429,0.0414638103571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,14,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.809979707142857,0.0403212103571429,0.0413090603571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,18,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.819953307142857,0.0408269603571429,0.0429469103571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,22,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,8,8,0,0,8,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.324523782857143,0.0404810103571429,0.0417662003571429,156168,0,8,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":8}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_A,22,MUSIC_K2_VALID,NOT_A_STAGE,NOT_A_STAGE,12,12,12,0,0,1,5,0,0,0.416666666666667,0,0.105308443733666,0.136911515974033,0.228505885936512,0.262237400892276,3.43494882292318,3.43494882292637,0.438819660112503,0.438819660112503,0.493272124285714,0.0407401103571429,0.0429424103571429,234252,0,12,"{""reason"":[],""count"":[]}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,-6,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.814985507142857,0.0407449603571429,0.0414411103571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,SC_B,0,MUSIC_FEWER_THAN_TWO_PEAKS,NOT_A_STAGE,NOT_A_STAGE,20,20,0,0,20,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.841284907142857,0.0407178103571429,0.0425275603571429,390420,0,20,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":20}"
