domain,method_id,nominal_snr_db,total,applicable,valid,structural_na,algorithmic_invalid,valid_rate,localization_success_count,resolution_success_count,rho_lower_bound_hit_count,localization_success_rate,resolution_success_rate,median_d_max_bw,P90_d_max_bw,median_joint_RMSE_deg,P90_joint_RMSE_deg,median_axis_error_deg,P90_axis_error_deg,median_rho_error_deg,P90_rho_error_deg,runtime_total_sec,runtime_median_sec,runtime_P90_sec,score_call_count,SVD_call_count,eig_call_count,failure_reasons
BEAMSPACE,BEAMSPACE_MUSIC_K2,-6,40,40,0,0,40,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.66748731428571,0.0409936603571429,0.0430811103571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":40}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,0,40,40,0,0,40,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.65406721428571,0.0405873103571429,0.0418763103571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":40}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,6,40,40,0,0,40,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.63391931428571,0.0406516603571429,0.0414125603571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":40}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,10,40,40,0,0,40,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.62402001428571,0.0404874603571429,0.0413408103571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":40}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,14,40,40,1,0,39,0.025,0,0,0,0,0,0.12461430645746,0.12461430645746,0.244287623185223,0.244287623185223,3.43494882292637,3.43494882292637,0.438819660112503,0.438819660112503,1.63100311428571,0.0404369603571429,0.0415910103571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":39}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,18,40,40,2,0,38,0.05,0,0,0,0,0,0.129058137738224,0.145398470453895,0.253194715213935,0.273041101011341,3.43494882292228,3.43494882292637,0.438819660112503,0.438819660112503,1.63300641428571,0.0405514103571429,0.0426164103571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":38}"
BEAMSPACE,BEAMSPACE_MUSIC_K2,22,40,40,17,0,23,0.425,9,3,0,0.225,0.075,0.0975220041087887,0.13346409574218,0.222882127685208,0.257878398615693,3.43494882291819,3.43494882292637,0.438819660112502,0.438819660112503,1.64112311428571,0.0406084103571429,0.0430229603571429,780840,0,40,"{""reason"":""MUSIC_FEWER_THAN_TWO_PEAKS"",""count"":23}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,-6,40,40,40,0,0,1,6,2,0,0.15,0.05,0.175154038120667,0.252895049841037,0.354565643220606,0.563136366788139,43.8845393715139,76.8732572458146,0.231569766581954,0.368690848084943,77.6675684,1.57867405,3.74912055,87099,174198,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,0,40,40,40,0,0,1,7,2,0,0.175,0.05,0.15868070726986,0.253352048677476,0.307059061796925,0.539819900324283,30.0000000000001,76.7446699093805,0.236664621427086,0.448569500950266,94.7922688,2.2441098,3.88949175,111655,223310,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,6,40,40,40,0,0,1,19,8,0,0.475,0.2,0.103199681972652,0.164218955597467,0.234419882855734,0.321234297508397,12.1688080858525,37.8735719520832,0.198083124993443,0.383895311639354,132.8744588,3.70666425,4.30056465,160217,320434,0,"{""reason"":[],""count"":[]}"
BEAMSPACE,FULL4D_BEAMSPACE_CML_MULTISTART,10,40,40,40,0,0,1,31,21,0,0.775,0.525,0.0657608874424711,0.130343715748589,0.145274240818964,0.249207000301674,5.19398045794802,13.0953207011677,0.150820205766315,0.328812487949422,144.2089209,3.7967998,4.1489022,173734,347468,0,"{""reason"":[],""count"":[]}"
